scope,sample,model,h,metric,n,block,draws,seed,eligible_blocks,n_origins_in_blocks,mean_loss_difference,ci_low,ci_high,bootstrap_probability_improvement,status
paired_BLEND_LINEAR_RF_R15,full,BLEND_LINEAR_RF_R15,3,headline_yy_squared_error,2,12,2000,1509,0,0,-0.024803369079659673,,,,insufficient_contiguous_support
paired_BLEND_LINEAR_RF_R15,origins_2019_2021,BLEND_LINEAR_RF_R15,3,headline_yy_squared_error,2,12,2000,1509,0,0,-0.024803369079659673,,,,insufficient_contiguous_support
paired_BLEND_LINEAR_RF_R15,origins_2022_2023,BLEND_LINEAR_RF_R15,3,headline_yy_squared_error,0,12,2000,1509,0,0,,,,,insufficient_contiguous_support
paired_BLEND_LINEAR_RF_R15,origins_2024plus,BLEND_LINEAR_RF_R15,3,headline_yy_squared_error,0,12,2000,1509,0,0,,,,,insufficient_contiguous_support
paired_BLEND_LINEAR_RF_R15,recent_targets,BLEND_LINEAR_RF_R15,3,headline_yy_squared_error,0,12,2000,1509,0,0,,,,,insufficient_contiguous_support
paired_BLEND_LINEAR_RF_R15,full,BLEND_LINEAR_RF_R15,6,headline_yy_squared_error,2,12,2000,1509,0,0,0.030306272578159633,,,,insufficient_contiguous_support
paired_BLEND_LINEAR_RF_R15,origins_2019_2021,BLEND_LINEAR_RF_R15,6,headline_yy_squared_error,2,12,2000,1509,0,0,0.030306272578159633,,,,insufficient_contiguous_support
paired_BLEND_LINEAR_RF_R15,origins_2022_2023,BLEND_LINEAR_RF_R15,6,headline_yy_squared_error,0,12,2000,1509,0,0,,,,,insufficient_contiguous_support
paired_BLEND_LINEAR_RF_R15,origins_2024plus,BLEND_LINEAR_RF_R15,6,headline_yy_squared_error,0,12,2000,1509,0,0,,,,,insufficient_contiguous_support
paired_BLEND_LINEAR_RF_R15,recent_targets,BLEND_LINEAR_RF_R15,6,headline_yy_squared_error,0,12,2000,1509,0,0,,,,,insufficient_contiguous_support
paired_BLEND_LINEAR_RF_R15,full,BLEND_LINEAR_RF_R15,9,headline_yy_squared_error,2,12,2000,1509,0,0,-0.09860094233621179,,,,insufficient_contiguous_support
paired_BLEND_LINEAR_RF_R15,origins_2019_2021,BLEND_LINEAR_RF_R15,9,headline_yy_squared_error,2,12,2000,1509,0,0,-0.09860094233621179,,,,insufficient_contiguous_support
paired_BLEND_LINEAR_RF_R15,origins_2022_2023,BLEND_LINEAR_RF_R15,9,headline_yy_squared_error,0,12,2000,1509,0,0,,,,,insufficient_contiguous_support
paired_BLEND_LINEAR_RF_R15,origins_2024plus,BLEND_LINEAR_RF_R15,9,headline_yy_squared_error,0,12,2000,1509,0,0,,,,,insufficient_contiguous_support
paired_BLEND_LINEAR_RF_R15,recent_targets,BLEND_LINEAR_RF_R15,9,headline_yy_squared_error,0,12,2000,1509,0,0,,,,,insufficient_contiguous_support
