scope,metric,origin,target,h,model,forecast,baseline,actual,loss_difference,absolute_loss_difference
all_models_common,headline_yy,2019-03,2019-04,1,INDEPENDENT_BRIDGE,2.937094221029207,2.89195819663152,2.769818529130847,0.013063058722900063,0.045136024397686825
all_models_common,headline_yy,2019-03,2019-04,1,STABLE_LOCAL_CORE_R14B,2.939394510974609,2.89195819663152,2.769818529130847,0.013837915241100859,0.047436314343088704
all_models_common,headline_yy,2019-03,2019-04,1,STATE_SLOW_R15,2.915839050368483,2.89195819663152,2.769818529130847,0.006403894245335837,0.023880853736962582
all_models_common,headline_yy,2019-03,2019-04,1,STATE_MID_R15,2.9316204003677995,2.89195819663152,2.769818529130847,0.011261747158604339,0.03966220373627927
all_models_common,headline_yy,2019-03,2019-04,1,STATE_FAST_R15,2.9383756042254587,2.89195819663152,2.769818529130847,0.013493389187275573,0.04641740759393853
all_models_common,headline_yy,2019-03,2019-04,1,STATE_ADAPT_R15,2.9316204003677995,2.89195819663152,2.769818529130847,0.011261747158604339,0.03966220373627927
all_models_common,headline_yy,2019-03,2019-04,1,ENET_DOMESTIC_R15,2.9306594998013953,2.89195819663152,2.769818529130847,0.010951719469069166,0.03870130316987508
all_models_common,headline_yy,2019-03,2019-04,1,ENET_IMPORTED_R15,2.85900988044966,2.89195819663152,2.769818529130847,-0.006963001227099043,-0.032948316181860005
all_models_common,headline_yy,2019-03,2019-04,1,ENET_BOTH_R15,2.8893762982240716,2.89195819663152,2.769818529130847,-0.0006240382266261939,-0.0025818984074486018
all_models_common,headline_yy,2019-03,2019-04,1,ENET_WIDE_R15,2.8567751940346713,2.89195819663152,2.769818529130847,-0.0073566368059790185,-0.03518300259684892
all_models_common,headline_yy,2019-03,2019-04,1,RF_RESIDUAL_R15,2.9320820105906704,2.89195819663152,2.769818529130847,0.01141133903828745,0.04012381395915021
all_models_common,headline_yy,2019-03,2019-04,1,BLEND_LINEAR_RF_R15,2.9107251448243994,2.89195819663152,2.769818529130847,0.004936575969035453,0.018766948192879163
all_models_common,headline_yy,2019-03,2019-04,1,BLEND_WIDE_STATE_R15,2.894185478027883,2.89195819663152,2.769818529130847,0.0005490396007829176,0.0022272813963626348
all_models_common,headline_mm,2019-03,2019-04,1,INDEPENDENT_BRIDGE,0.34301094895950196,0.2990123824116199,0.0930232558139509,0.02006232644776368,0.043998566547882034
all_models_common,headline_mm,2019-03,2019-04,1,STABLE_LOCAL_CORE_R14B,0.3452532700675915,0.2990123824116199,0.0930232558139509,0.0211884598139212,0.046240887655971535
all_models_common,headline_mm,2019-03,2019-04,1,STATE_SLOW_R15,0.3222914227433119,0.2990123824116199,0.0930232558139509,0.010132372090678826,0.02327904033169198
all_models_common,headline_mm,2019-03,2019-04,1,STATE_MID_R15,0.3376750722212208,0.2990123824116199,0.0930232558139509,0.017422990994905976,0.03866268980960086
all_models_common,headline_mm,2019-03,2019-04,1,STATE_FAST_R15,0.3442600404465341,0.2990123824116199,0.0930232558139509,0.02068840167604845,0.04524765803491412
all_models_common,headline_mm,2019-03,2019-04,1,STATE_ADAPT_R15,0.3376750722212208,0.2990123824116199,0.0930232558139509,0.017422990994905976,0.03866268980960086
all_models_common,headline_mm,2019-03,2019-04,1,ENET_DOMESTIC_R15,0.33673838698850467,0.2990123824116199,0.0930232558139509,0.016965544886959436,0.03772600457688474
all_models_common,headline_mm,2019-03,2019-04,1,ENET_IMPORTED_R15,0.26689438572242635,0.2990123824116199,0.0930232558139509,-0.012200350460820568,-0.03211799668919357
all_models_common,headline_mm,2019-03,2019-04,1,ENET_BOTH_R15,0.29649554956211804,0.2990123824116199,0.0930232558139509,-0.0010305459533300962,-0.002516832849501882
all_models_common,headline_mm,2019-03,2019-04,1,ENET_WIDE_R15,0.26471601489212887,0.2990123824116199,0.0930232558139509,-0.01295311675659325,-0.034296367519491056
all_models_common,headline_mm,2019-03,2019-04,1,RF_RESIDUAL_R15,0.33812504955930534,0.2990123824116199,0.0930232558139509,0.01764336902071975,0.03911266714768541
all_models_common,headline_mm,2019-03,2019-04,1,BLEND_LINEAR_RF_R15,0.31730639102189906,0.2990123824116199,0.0930232558139509,0.00787140446223624,0.018294008610279133
all_models_common,headline_mm,2019-03,2019-04,1,BLEND_WIDE_STATE_R15,0.3011835348346885,0.2990123824116199,0.0930232558139509,0.0008991814855208238,0.0021711524230685897
all_models_common,headline_mm,2019-02,2019-06,4,INDEPENDENT_BRIDGE,0.17741077288815393,0.1192644744141548,0.1846722068328699,-0.0042254430372247595,-0.05814629847399913
