"Ukazatel","IndicatorType","Reprezentant","REPRCENZEM","Měsíce, jejich kumulace, čtvrtletí, roky","CASMKMQR","ČR a kraje-Stát","UZ02HU.STAT","ČR a kraje-Kraj","UZ02HU.KRAJ","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2010","2010-01","Česko","CZ","","","2661.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2010","2010-01K","Česko","CZ","","","2661.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","únor 2010","2010-02","Česko","CZ","","","2733.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - únor 2010","2010-02K","Česko","CZ","","","2697.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","březen 2010","2010-03","Česko","CZ","","","2756.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - březen 2010","2010-03K","Česko","CZ","","","2717.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","duben 2010","2010-04","Česko","CZ","","","2741.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - duben 2010","2010-04K","Česko","CZ","","","2723.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","květen 2010","2010-05","Česko","CZ","","","2731.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - květen 2010","2010-05K","Česko","CZ","","","2724.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","červen 2010","2010-06","Česko","CZ","","","2810.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - červen 2010","2010-06K","Česko","CZ","","","2739.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","červenec 2010","2010-07","Česko","CZ","","","2916.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - červenec 2010","2010-07K","Česko","CZ","","","2764.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","srpen 2010","2010-08","Česko","CZ","","","3426.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - srpen 2010","2010-08K","Česko","CZ","","","2847.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","září 2010","2010-09","Česko","CZ","","","4218.0","koruna česká","Kč"
