date,gross_petrol95,gross_diesel
2005-01-03,25.138,25.23697
2005-01-10,24.75402,24.97209
2005-01-17,24.519,24.70703
2005-01-24,24.351080000000003,24.590880000000002
2005-01-31,24.39411,24.52612
2005-02-07,24.51887,24.544919999999998
2005-02-14,24.44309,24.440990000000003
2005-02-21,24.70001,24.53185
2005-02-28,24.74707,24.54809
2005-03-07,24.97507,25.21295
2005-03-14,25.05014,25.263080000000002
2005-03-21,25.105130000000003,25.30287
2005-04-04,26.31793,26.021939999999997
2005-04-11,27.30613,26.965
2005-04-18,27.53388,27.178849999999997
2005-04-25,27.576,27.19201
2005-05-02,27.72601,27.12894
2005-05-09,27.807959999999998,27.17514
2005-05-16,27.75195,27.14191
2005-05-23,27.7299,27.12707
2005-05-30,27.7039,27.106849999999998
2005-06-06,27.85493,27.4239
2005-06-13,28.32591,28.252119999999998
2005-06-20,28.34314,28.31107
2005-06-27,28.61408,28.537950000000002
2005-07-04,28.61409,28.537860000000002
2005-07-11,28.739150000000002,28.61396
2005-07-18,29.65496,29.45502
2005-07-25,29.64907,29.432
2005-08-01,29.63393,29.39215
2005-08-08,29.667080000000002,29.375
2005-08-15,29.64393,29.3171
2005-08-22,29.65593,29.33902
2005-08-29,29.67209,29.34393
2005-09-05,32.18493,30.70588
2005-09-12,33.62396,30.88886
2005-09-19,33.338860000000004,30.75891
2005-09-26,32.81811,30.45608
2005-10-03,32.63691,30.29194
2005-10-10,32.62095,30.29786
2005-10-17,32.47594,30.22892
2005-10-24,32.00389,30.05197
2005-11-07,31.26293,29.866139999999998
2005-11-14,30.60905,29.62904
2005-11-21,29.87098,29.30002
2005-11-28,29.371959999999998,28.99109
2005-12-05,29.024939999999997,28.713099999999997
2005-12-12,28.57394,28.306900000000002
2005-12-19,28.38692,28.141
2006-01-09,27.98093,27.77712
2006-01-16,28.136860000000002,27.85092
2006-01-23,28.23209,27.933139999999998
2006-01-30,28.530990000000003,28.23201
2006-02-06,28.50501,28.25311
2006-02-13,28.42709,28.16593
2006-02-20,28.240959999999998,27.98413
2006-02-27,28.05405,27.82109
2006-03-06,27.92998,27.68505
2006-03-13,27.99095,27.851080000000003
2006-03-20,28.04993,27.90498
2006-03-27,28.79988,28.653080000000003
2006-04-03,28.769009999999998,28.612080000000002
2006-04-10,29.51003,28.985080000000004
2006-04-24,30.78609,30.10286
2006-05-01,31.00395,30.25309
2006-05-08,30.98612,30.20393
2006-05-15,30.96586,30.137990000000002
2006-05-22,30.90004,30.07312
2006-05-29,30.82588,29.989099999999997
2006-06-05,30.752110000000002,29.888090000000002
2006-06-12,30.99207,29.89702
2006-06-19,31.0899,29.87688
2006-06-26,31.05501,29.842
2006-07-03,31.015990000000002,29.81498
2006-07-10,31.73602,30.12387
2006-07-17,31.68204,30.05186
2006-07-24,31.8981,30.114939999999997
2006-07-31,31.83411,30.05197
2006-08-07,31.819,30.00189
2006-08-14,31.794990000000002,30.13997
2006-08-21,31.77399,30.13107
2006-08-28,31.61891,30.0411
2006-09-04,31.407040000000002,29.984009999999998
2006-09-11,31.00809,29.80096
2006-09-18,30.59395,29.59687
2006-09-25,30.005959999999998,29.282970000000002
2006-10-02,29.64413,29.03113
2006-10-09,29.12797,28.76091
2006-10-16,28.80194,28.55609
2006-10-23,28.540110000000002,28.42795
2006-10-30,28.403869999999998,28.308040000000002
