sample,clock,model,omitted_report,n,mae,rmse,bias,report_count,unique_target_quarters,cnb_rmse,cnb_mae,rmse_gain_vs_cnb,mae_gain_vs_cnb,full_rmse_gain_vs_cnb,full_mae_gain_vs_cnb,scope
full,cutoff,ANCHOR_HL12_R21,2022-02-10,62,1.2441350924874122,2.0879598341183256,-0.3559768975425684,17,17,1.4762985730425087,0.7040305251471131,-0.611661261075817,-0.5401045673402991,-0.10078512627305836,-0.3857600982563958,within_clock_common
full,cutoff,ANCHOR_HL12_R21,2022-05-12,62,1.169750046082707,1.9086515369162296,-0.28159185113786367,17,18,2.011588414712717,0.8639058580347869,0.10293687779648764,-0.30584418804792013,-0.10078512627305836,-0.3857600982563958,within_clock_common
full,cutoff,ANCHOR_HL12_R21,2022-08-11,62,1.426618715143539,2.4195582731720533,-0.5903521053464209,17,18,2.3011132855836207,1.025782452630478,-0.11844498758843258,-0.40083626251306104,-0.10078512627305836,-0.3857600982563958,within_clock_common
full,cutoff,ANCHOR_HL12_R21,2022-11-10,62,1.417352018500968,2.413750600264449,-0.5782880171279197,17,18,2.3277027370360734,1.0273077011297567,-0.08604786322837565,-0.39004431737121137,-0.10078512627305836,-0.3857600982563958,within_clock_common
full,cutoff,ANCHOR_HL12_R21,2023-02-09,62,1.3399382939395263,2.319385989368121,-0.4517800989946829,17,18,2.3679762558638635,1.1198213144271685,0.04859026649574272,-0.22011697951235787,-0.10078512627305836,-0.3857600982563958,within_clock_common
full,cutoff,ANCHOR_HL12_R21,2023-05-11,62,1.384307167792476,2.38593402936327,-0.8067738377567275,17,18,2.364701449100045,1.0977174807353174,-0.021232580263224943,-0.2865896870571587,-0.10078512627305836,-0.3857600982563958,within_clock_common
full,cutoff,ANCHOR_HL12_R21,2023-08-10,62,1.5159534172276161,2.470549696487727,-0.66303203189892,17,18,2.3661721828347044,1.1073596899799842,-0.10437751365302272,-0.4085937272476319,-0.10078512627305836,-0.3857600982563958,within_clock_common
full,cutoff,ANCHOR_HL12_R21,2023-11-09,62,1.4719843512214823,2.4579207910869627,-0.7190966543277211,17,18,2.366849088210777,1.1139947860587205,-0.0910717028761856,-0.3579895651627618,-0.10078512627305836,-0.3857600982563958,within_clock_common
full,cutoff,ANCHOR_HL12_R21,2024-02-15,62,1.5229527548579624,2.4713976575682874,-0.6347945599131187,17,18,2.366056213976598,1.1097687047272502,-0.10534144359168929,-0.41318405013071224,-0.10078512627305836,-0.3857600982563958,within_clock_common
full,cutoff,ANCHOR_HL12_R21,2024-05-09,62,1.5329939276699291,2.472112090009502,-0.6580870778792742,17,18,2.367256203681473,1.113370885039828,-0.10485588632802934,-0.4196230426301011,-0.10078512627305836,-0.3857600982563958,within_clock_common
full,cutoff,ANCHOR_HL12_R21,2024-08-08,62,1.5266108528593347,2.471763445534866,-0.6384526579144912,17,18,2.364628764398905,1.0964902903161784,-0.10713468113596125,-0.43012056254315634,-0.10078512627305836,-0.3857600982563958,within_clock_common
full,cutoff,ANCHOR_HL12_R21,2024-11-14,62,1.519953181267751,2.4707216048432485,-0.6711278242814523,17,18,2.3679521920645064,1.1182254788429142,-0.10276941277874219,-0.4017277024248367,-0.10078512627305836,-0.3857600982563958,within_clock_common
full,cutoff,ANCHOR_HL12_R21,2025-02-13,62,1.5265748785489626,2.471484715584515,-0.6640196588556608,17,18,2.3680554601341135,1.119703276802938,-0.10342925545040149,-0.40687160174602455,-0.10078512627305836,-0.3857600982563958,within_clock_common
full,cutoff,ANCHOR_HL12_R21,2025-05-15,62,1.5015614956337646,2.465723205714926,-0.689519509915439,17,18,2.366627053457412,1.1143983776256081,-0.099096152257514,-0.3871631180081565,-0.10078512627305836,-0.3857600982563958,within_clock_common
full,cutoff,ANCHOR_HL12_R21,2025-08-14,62,1.502487302865612,2.4665200143082924,-0.6885937026835914,17,18,2.3639882587009775,1.0970690968318144,-0.10253175560731487,-0.40541820603379763,-0.10078512627305836,-0.3857600982563958,within_clock_common
full,cutoff,ANCHOR_HL12_R21,2025-11-13,63,1.4823010427686447,2.4474666864747228,-0.6740008992004124,17,18,2.3483463711487516,1.0994653920351358,-0.09912031532597121,-0.3828356507335089,-0.10078512627305836,-0.3857600982563958,within_clock_common
full,cutoff,ANCHOR_HL12_R21,2026-02-12,64,1.482048627996062,2.432592008434305,-0.621645376643245,17,18,2.3300770237781605,1.0845651369983424,-0.10251498465614439,-0.3974834909977196,-0.10078512627305836,-0.3857600982563958,within_clock_common
full,cutoff,ANCHOR_HL12_R21,2026-05-14,65,1.4634803694776832,2.41425327926807,-0.6264738204307877,17,18,2.3129842313782722,1.074816815601965,-0.10126904788979774,-0.38866355387571816,-0.10078512627305836,-0.3857600982563958,within_clock_common
full,cutoff,ANCHOR_HL24_R21,2022-02-10,62,1.1888710499852277,1.988226883499744,-0.2070163446272088,17,17,1.4762985730425087,0.7040305251471131,-0.5119283104572354,-0.4848405248381147,0.03653264976431814,-0.3111636163352882,within_clock_common
full,cutoff,ANCHOR_HL24_R21,2022-05-12,62,1.1135850590979735,1.8105063031647737,-0.1317303537399547,17,18,2.011588414712717,0.8639058580347869,0.20108211154794353,-0.24967920106318653,0.03653264976431814,-0.3111636163352882,within_clock_common
full,cutoff,ANCHOR_HL24_R21,2022-08-11,62,1.3682984236318145,2.2912424122192583,-0.4482573219573854,17,18,2.3011132855836207,1.025782452630478,0.009870873364362431,-0.34251597100133657,0.03653264976431814,-0.3111636163352882,within_clock_common
full,cutoff,ANCHOR_HL24_R21,2022-11-10,62,1.3635213785331095,2.2824125807473776,-0.43337867765185273,17,18,2.3277027370360734,1.0273077011297567,0.045290156288695815,-0.33621367740335284,0.03653264976431814,-0.3111636163352882,within_clock_common
