scope,benchmark,model,metric,h,sample,n,block,draws,seed,eligible_blocks,n_origins_in_blocks,mean_loss_difference,ci_low,ci_high,bootstrap_probability_improvement,status
paired_fast_ANCHOR_HL12_R21,STATE_FAST_R15,ANCHOR_HL12_R21,headline_yy,1,full,89,12,2000,1509,78,89,0.007523322868400718,-0.0039027334706262843,0.02798492961775505,0.175,ok
paired_fast_ANCHOR_HL12_R21,STATE_FAST_R15,ANCHOR_HL12_R21,headline_yy,1,origins_2019_2021,35,12,2000,1509,24,35,-0.0003331957944644926,-0.003062638254551438,0.005421435957387556,0.562,ok
paired_fast_ANCHOR_HL12_R21,STATE_FAST_R15,ANCHOR_HL12_R21,headline_yy,1,origins_2022_2023,24,12,2000,1509,13,24,0.02923650376588312,-0.01014040782954243,0.061468905426452024,0.2505,ok
paired_fast_ANCHOR_HL12_R21,STATE_FAST_R15,ANCHOR_HL12_R21,headline_yy,1,origins_2024plus,30,12,2000,1509,19,30,-0.0006812834095758001,-0.0011048545573285162,-0.00018657378137110586,0.999,ok
paired_fast_ANCHOR_HL12_R21,STATE_FAST_R15,ANCHOR_HL12_R21,headline_yy,1,recent_targets,31,12,2000,1509,20,31,-0.0005427979194451423,-0.0010364240723473913,-7.325827846535766e-05,0.985,ok
paired_fast_ANCHOR_HL12_R21,STATE_FAST_R15,ANCHOR_HL12_R21,headline_yy,2,full,88,12,2000,1509,77,88,0.0379115178848535,-0.011933472798545815,0.12771603749221433,0.127,ok
paired_fast_ANCHOR_HL12_R21,STATE_FAST_R15,ANCHOR_HL12_R21,headline_yy,2,origins_2019_2021,35,12,2000,1509,24,35,0.0049482720747242095,-0.013500948404884942,0.01876323174500071,0.542,ok
paired_fast_ANCHOR_HL12_R21,STATE_FAST_R15,ANCHOR_HL12_R21,headline_yy,2,origins_2022_2023,24,12,2000,1509,13,24,0.13636841830360705,-0.0221175602423301,0.27107008625417733,0.0735,ok
paired_fast_ANCHOR_HL12_R21,STATE_FAST_R15,ANCHOR_HL12_R21,headline_yy,2,origins_2024plus,29,12,2000,1509,18,29,-0.0037868271736140884,-0.0048978831005414844,-0.0012372495262348284,1.0,ok
paired_fast_ANCHOR_HL12_R21,STATE_FAST_R15,ANCHOR_HL12_R21,headline_yy,2,recent_targets,31,12,2000,1509,20,31,-0.0030878588952972493,-0.004444083566696431,-0.0013018492429363294,1.0,ok
paired_fast_ANCHOR_HL12_R21,STATE_FAST_R15,ANCHOR_HL12_R21,headline_yy,3,full,87,12,2000,1509,76,87,0.11873206411272022,-0.022073976352283274,0.3797189696768034,0.08,ok
paired_fast_ANCHOR_HL12_R21,STATE_FAST_R15,ANCHOR_HL12_R21,headline_yy,3,origins_2019_2021,35,12,2000,1509,24,35,0.06745627871899039,-0.03301360252780089,0.10335531631220031,0.5285,ok
