period,luci_total,luci_wages_labour_costs,luci_employment,luci_unemployment,luci_demand_for_labour,luci_other,available_from_assumed,source
2000Q1,-0.22,-0.06,-0.07,-0.05,-0.02,-0.02,2000-08-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2000Q2,-0.35,-0.11,-0.1,-0.07,-0.05,-0.02,2000-11-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2000Q3,-0.42,-0.14,-0.11,-0.08,-0.07,-0.02,2001-02-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2000Q4,-0.36,-0.13,-0.1,-0.06,-0.08,0.0,2001-05-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2001Q1,-0.31,-0.11,-0.09,-0.03,-0.08,0.0,2001-08-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2001Q2,-0.29,-0.1,-0.09,-0.01,-0.09,0.01,2001-11-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2001Q3,-0.3,-0.09,-0.11,0.0,-0.1,0.0,2002-02-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2001Q4,-0.34,-0.07,-0.15,0.0,-0.11,0.0,2002-05-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2002Q1,-0.4,-0.06,-0.21,0.0,-0.12,-0.02,2002-08-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2002Q2,-0.49,-0.05,-0.28,-0.01,-0.13,-0.03,2002-11-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2002Q3,-0.59,-0.04,-0.35,-0.02,-0.14,-0.04,2003-02-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2002Q4,-0.68,-0.03,-0.42,-0.03,-0.15,-0.05,2003-05-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2003Q1,-0.76,-0.02,-0.48,-0.04,-0.15,-0.06,2003-08-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2003Q2,-0.83,-0.02,-0.53,-0.06,-0.15,-0.07,2003-11-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2003Q3,-0.88,-0.01,-0.57,-0.07,-0.16,-0.07,2004-02-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2003Q4,-0.91,-0.01,-0.59,-0.08,-0.15,-0.07,2004-05-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2004Q1,-0.91,-0.01,-0.6,-0.08,-0.15,-0.07,2004-08-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2004Q2,-0.89,-0.01,-0.58,-0.09,-0.14,-0.07,2004-11-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2004Q3,-0.85,-0.02,-0.54,-0.09,-0.14,-0.06,2005-02-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2004Q4,-0.78,-0.03,-0.49,-0.09,-0.12,-0.06,2005-05-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2005Q1,-0.7,-0.04,-0.41,-0.08,-0.11,-0.05,2005-08-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2005Q2,-0.6,-0.05,-0.34,-0.08,-0.1,-0.04,2005-11-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2005Q3,-0.51,-0.06,-0.27,-0.07,-0.09,-0.03,2006-02-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2005Q4,-0.41,-0.06,-0.2,-0.06,-0.07,-0.02,2006-05-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2006Q1,-0.3,-0.06,-0.14,-0.04,-0.05,-0.01,2006-08-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2006Q2,-0.18,-0.06,-0.08,-0.02,-0.03,0.01,2006-11-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2006Q3,-0.03,-0.04,-0.01,0.01,-0.01,0.03,2007-02-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2006Q4,0.14,-0.03,0.06,0.05,0.02,0.04,2007-05-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2007Q1,0.33,0.0,0.14,0.09,0.04,0.06,2007-08-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2007Q2,0.53,0.02,0.23,0.14,0.07,0.08,2007-11-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2007Q3,0.73,0.04,0.32,0.18,0.09,0.09,2008-02-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2007Q4,0.9,0.07,0.41,0.22,0.11,0.1,2008-05-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
2008Q1,1.01,0.09,0.47,0.24,0.11,0.1,2008-08-15,CNB ARAD snapshot 95 (Monetary Policy Report Summer 2026 baseline)
