geo,origin,band,label_end,f,r,mu,phase,momentum,change,last_month
AT,2003-03,1,2003-06,0.04482583435716939,0.0342476756587116,,building,0.7978765731804742,0.7978765731804742,2003-01
AT,2003-03,2,2003-09,0.05181004960394092,0.2531879536024487,,building,0.7978765731804742,0.7978765731804742,2003-01
AT,2003-03,3,2003-12,0.05538596781028795,0.0869841081781375,,building,0.7978765731804742,0.7978765731804742,2003-01
AT,2003-03,4,2004-03,0.05721683793193763,0.2220014026474948,,building,0.7978765731804742,0.7978765731804742,2003-01
AT,2003-06,1,2003-09,0.07089493598427049,0.2501131680050841,,fading,-0.13289038500539618,-0.39884798858122394,2003-04
AT,2003-06,2,2003-12,0.07315662313105188,0.08390932258077287,,fading,-0.13289038500539618,-0.39884798858122394,2003-04
AT,2003-06,3,2004-03,0.07431460695020398,0.2213723871078667,,fading,-0.13289038500539618,-0.39884798858122394,2003-04
AT,2003-06,4,2004-06,0.07490749466560982,-0.05431608676243252,,fading,-0.13289038500539618,-0.39884798858122394,2003-04
AT,2003-09,1,2003-12,0.1651373566536147,0.0930330350475279,,fading,-0.7978765731804742,-1.5957531463609484,2003-07
AT,2003-09,2,2004-03,0.15941261927790587,0.23049609957462178,,fading,-0.7978765731804742,-1.5957531463609484,2003-07
AT,2003-09,3,2004-06,0.15648155374154296,-0.039997582580528455,,fading,-0.7978765731804742,-1.5957531463609484,2003-07
AT,2003-09,4,2004-09,0.15498084818692517,0.19609302969502554,,fading,-0.7978765731804742,-1.5957531463609484,2003-07
AT,2003-12,1,2004-03,0.14130561478914294,0.23459799676065285,,fading,-0.26631174194835694,-0.13342135694296076,2003-10
AT,2003-12,2,2004-06,0.1392258178505129,-0.03589568539449736,,fading,-0.26631174194835694,-0.13342135694296076,2003-10
AT,2003-12,3,2004-09,0.13816096181793433,0.1828480363261776,,fading,-0.26631174194835694,-0.13342135694296076,2003-10
AT,2003-12,4,2004-12,0.1376157555292541,0.2238664640055498,,fading,-0.26631174194835694,-0.13342135694296076,2003-10
AT,2004-03,1,2004-06,0.20180973205020894,-0.031481861034459234,,building,1.1944402125151328,1.992316785695607,2004-01
AT,2004-03,2,2004-09,0.1950413291494555,0.18726186068621575,,building,1.1944402125151328,1.992316785695607,2004-01
AT,2004-03,3,2004-12,0.19157590686426973,0.22770037971462595,,building,1.1944402125151328,1.992316785695607,2004-01
