origin,as_of,status,czech_phase,cz_status,cz_last_month,cz_momentum,cz_momentum_before,cz_change,mu_own
2019-02,2019-03-10T22:59:00+00:00,estimated,fading,estimated,2019-01,-0.3237995273775027,2.178735418490703,-2.502534945868206,0.06622087519231434
2019-03,2019-04-09T21:59:00+00:00,estimated,fading,estimated,2019-02,-0.10758473334630025,3.057006608467816,-3.1645913418141163,0.06629976850347905
2019-04,2019-05-12T21:59:00+00:00,estimated,fading,estimated,2019-03,0.0,2.939787098566569,-2.939787098566569,0.06633320260720117
2019-05,2019-06-10T21:59:00+00:00,estimated,fading,estimated,2019-04,0.10643960557865739,3.3571100606969253,-3.250670455118268,0.06636663671092331
2019-06,2019-07-10T21:59:00+00:00,estimated,fading,estimated,2019-05,0.6369448285479962,2.152935685257546,-1.51599085670955,0.07052291303227924
2019-07,2019-08-11T21:59:00+00:00,estimated,building,estimated,2019-06,1.287571436004498,0.10804971337535108,1.179521722629147,0.07467918935363517
2019-08,2019-09-09T21:59:00+00:00,estimated,building,estimated,2019-07,1.1821738965166446,-0.3237995273775027,1.5059734238941473,0.074695839436819
2019-09,2019-10-09T21:59:00+00:00,estimated,building,estimated,2019-08,0.8574543424583112,-0.10758473334630025,0.9650390758046115,0.07471248952000284
2019-10,2019-11-10T22:59:00+00:00,estimated,building,estimated,2019-09,0.6417134320632272,0.0,0.6417134320632272,0.07885209914135867
2019-11,2019-12-09T22:59:00+00:00,estimated,fading,estimated,2019-10,-0.5333345975362249,0.10643960557865739,-0.6397742031148823,0.08299170876271451
2019-12,2020-01-12T22:59:00+00:00,estimated,fading,estimated,2019-11,-1.3852112808150991,0.6369448285479962,-2.0221561093630953,0.08299170876271451
2020-01,2020-02-13T22:59:00+00:00,estimated,fading,estimated,2019-12,-0.5344748158880179,1.287571436004498,-1.822046251892516,0.08299170876271451
2020-02,2020-03-09T22:59:00+00:00,estimated,fading,estimated,2020-01,0.0,1.1821738965166446,-1.1821738965166446,0.08303345086444769
2020-03,2020-04-13T21:59:00+00:00,estimated,fading,estimated,2020-02,-0.9651549452221388,0.8574543424583112,-1.82260928768045,0.08307519296618086
2020-04,2020-05-12T21:59:00+00:00,estimated,fading,estimated,2020-03,-1.8289912750917665,0.6417134320632272,-2.4707047071549937,0.08307519296618086
2020-05,2020-06-09T21:59:00+00:00,estimated,fading,estimated,2020-04,-2.053016461455684,-0.5333345975362249,-1.519681863919459,0.08307519296618086
2020-06,2020-07-09T21:59:00+00:00,estimated,building,estimated,2020-05,-1.1872778430285393,-1.3852112808150991,0.1979334377865598,0.0830876431467832
2020-07,2020-08-12T21:59:00+00:00,estimated,fading,estimated,2020-06,-1.2945164592037486,-0.5344748158880179,-0.7600416433157307,0.08310009332738552
2020-08,2020-09-09T21:59:00+00:00,estimated,fading,estimated,2020-07,-1.615544022228562,0.0,-1.615544022228562,0.087222826847552
2020-09,2020-10-11T21:59:00+00:00,estimated,fading,estimated,2020-08,-1.0834342165709927,-0.9651549452221388,-0.11827927134885385,0.09134556036771847
2020-10,2020-11-09T22:59:00+00:00,estimated,building,estimated,2020-09,0.0,-1.8289912750917665,1.8289912750917665,0.09134569435497335
2020-11,2020-12-09T22:59:00+00:00,estimated,building,estimated,2020-10,0.9777372838295264,-2.053016461455684,3.0307537452852102,0.09134582834222821
2020-12,2021-01-12T22:59:00+00:00,estimated,building,estimated,2020-11,-0.10863662122204687,-1.1872778430285393,1.0786412218064925,0.09135417002558659
2021-01,2021-02-11T22:59:00+00:00,estimated,building,estimated,2020-12,0.10851873012870783,-1.2945164592037486,1.4030351893324564,0.09136251170894498
2021-02,2021-03-09T22:59:00+00:00,estimated,building,estimated,2021-01,1.2945164592037486,-1.615544022228562,2.9100604814323106,0.0913834370587443
2021-03,2021-04-12T21:59:00+00:00,estimated,building,estimated,2021-02,2.5807883955872057,-1.0834342165709927,3.6642226121581984,0.09140436240854365
2021-04,2021-05-10T21:59:00+00:00,estimated,building,estimated,2021-03,4.043103862813155,0.0,4.043103862813155,0.09537345970682332
2021-05,2021-06-09T21:59:00+00:00,estimated,building,estimated,2021-04,4.440475794086808,0.9777372838295264,3.4627385102572816,0.09934255700510301
2021-06,2021-07-12T21:59:00+00:00,estimated,building,estimated,2021-05,6.215797248742433,-0.10863662122204687,6.32443386996448,0.09950046899502156
2021-07,2021-08-09T21:59:00+00:00,estimated,building,estimated,2021-06,7.0149108066118515,0.10851873012870783,6.906392076483144,0.09965838098494008
2021-08,2021-09-09T21:59:00+00:00,estimated,building,estimated,2021-07,7.830981950626494,1.2945164592037486,6.536465491422746,0.09965838098494008
