sample,model,h,metric,policy,n_intended,n,rmse,mae,bias
full,CORE_GAP_ADAPT_R14,1,yy,short,90,73,0.9267507729875651,0.5679305937012721,-0.020451888682516253
full,CORE_GAP_ADAPT_R14,1,yy,extended,90,88,0.8686887750863425,0.5229997925870221,-0.07114926971365515
full,CORE_GAP_ADAPT_R14,1,core_mm,short,90,73,0.42980098655695104,0.3316927352673852,0.09266193679026784
full,CORE_GAP_ADAPT_R14,1,core_mm,extended,90,89,0.38420746097028924,0.3003892004617325,0.02152881029127381
full,CORE_GAP_ADAPT_R14,1,core_log,short,90,73,0.4268004623399905,0.32965855546056555,0.09211092663056415
full,CORE_GAP_ADAPT_R14,1,core_log,extended,90,89,0.38180221604505193,0.2987698794894167,0.02167803970203121
full,CORE_GAP_ADAPT_R14,2,yy,short,90,72,1.3213879461225808,0.8802983754857705,-0.025262854527265018
full,CORE_GAP_ADAPT_R14,2,yy,extended,90,86,1.2353095355484784,0.8046375544186708,-0.11091915669262412
full,CORE_GAP_ADAPT_R14,2,core_mm,short,90,72,0.45593417550777365,0.3454242331062042,0.0993789166974181
full,CORE_GAP_ADAPT_R14,2,core_mm,extended,90,88,0.4109549756345632,0.31636202636943,0.01734227336919744
full,CORE_GAP_ADAPT_R14,2,core_log,short,90,72,0.8392483597515873,0.6180002379900456,0.19029130864881735
full,CORE_GAP_ADAPT_R14,2,core_log,extended,90,88,0.7286960735104926,0.5467297246458934,0.03851447034828807
full,CORE_GAP_ADAPT_R14,3,yy,short,90,71,1.6062822958203182,1.1334120126395475,-0.09820274498626518
full,CORE_GAP_ADAPT_R14,3,yy,extended,90,84,1.4979326140370555,1.0211940840435092,-0.20642537455650853
full,CORE_GAP_ADAPT_R14,3,core_mm,short,90,71,0.48982432033667417,0.36438594594059615,0.09422188593532287
full,CORE_GAP_ADAPT_R14,3,core_mm,extended,90,87,0.4376284908881062,0.3341583991525129,0.014224545941886352
full,CORE_GAP_ADAPT_R14,3,core_log,short,90,71,1.2802374132649543,0.914997204474847,0.2801880672844425
full,CORE_GAP_ADAPT_R14,3,core_log,extended,90,87,1.085540224430098,0.7841082529262475,0.0493064088005411
full,CORE_GAP_ADAPT_R14,4,yy,short,90,67,2.0405841459051,1.4279685023357047,-0.19305049242587594
full,CORE_GAP_ADAPT_R14,4,yy,extended,90,83,1.7447583789857748,1.1733745232003696,-0.24361782813560076
full,CORE_GAP_ADAPT_R14,4,core_mm,short,90,67,0.6113041888590621,0.4507274882918132,0.12992551959359044
full,CORE_GAP_ADAPT_R14,4,core_mm,extended,90,86,0.5801575219926258,0.41366376283747,0.1209454484260262
full,CORE_GAP_ADAPT_R14,4,core_log,short,90,67,1.8564341362069903,1.3198926669251874,0.39655572351255697
full,CORE_GAP_ADAPT_R14,4,core_log,extended,90,86,1.506641515949351,1.0435319379423882,0.16387508850321542
full,CORE_GAP_ADAPT_R14,5,yy,short,90,66,2.475777274643967,1.6756145142458625,-0.25721720921193175
full,CORE_GAP_ADAPT_R14,5,yy,extended,90,82,2.0643314882654225,1.3272690002182,-0.2819472371188082
full,CORE_GAP_ADAPT_R14,5,core_mm,short,90,66,0.6548055044457094,0.4787694331781074,0.13279121695719234
full,CORE_GAP_ADAPT_R14,5,core_mm,extended,90,85,0.6237497411611915,0.44130980059646635,0.12055781193379292
full,CORE_GAP_ADAPT_R14,5,core_log,short,90,66,2.4657342957617003,1.7494481441903689,0.5232761189412926
full,CORE_GAP_ADAPT_R14,5,core_log,extended,90,85,2.016642773106176,1.3791163241274027,0.2795556600349665
full,CORE_GAP_ADAPT_R14,6,yy,short,90,65,2.9153029693482697,1.9297890513543823,-0.31399773109822027
full,CORE_GAP_ADAPT_R14,6,yy,extended,90,81,2.4045295226986187,1.4551451058044205,-0.3122720604089775
full,CORE_GAP_ADAPT_R14,6,core_mm,short,90,65,0.6899262333622368,0.5088004637749364,0.1326044431029459
full,CORE_GAP_ADAPT_R14,6,core_mm,extended,90,84,0.6530185055845831,0.4640396274001908,0.1264531370731539
full,CORE_GAP_ADAPT_R14,6,core_log,short,90,65,3.123046142946403,2.2265127125495594,0.6616186026671801
full,CORE_GAP_ADAPT_R14,6,core_log,extended,90,84,2.588328420936998,1.7439745281020753,0.4097506196040285
full,CORE_GAP_ADAPT_R14,7,yy,short,90,61,3.5553362809873534,2.4216176903004305,-0.38342216346373664
full,CORE_GAP_ADAPT_R14,7,yy,extended,90,80,2.9408399614989325,1.81443644398384,-0.38557750787227035
