sample,model,h,metric,policy,n_intended,n,rmse,mae,bias
full,CORE_GAP_ADAPT_R14,7,core_mm,short,90,61,0.869128032954238,0.6215733417105092,0.17770414463003972
full,CORE_GAP_ADAPT_R14,7,core_mm,extended,90,83,0.6422550530155448,0.4752428921381389,0.07566043067590764
full,CORE_GAP_ADAPT_R14,7,core_log,short,90,61,4.033453660317628,2.8973000755091993,0.840345709273974
full,CORE_GAP_ADAPT_R14,7,core_log,extended,90,83,3.150202202560921,2.114061191605788,0.49144274824306833
full,CORE_GAP_ADAPT_R14,8,yy,short,90,60,4.183200637748646,2.899306965255101,-0.42085242319866967
full,CORE_GAP_ADAPT_R14,8,yy,extended,90,79,3.47335719318059,2.1305249834610334,-0.4602937469288174
full,CORE_GAP_ADAPT_R14,8,core_mm,short,90,60,0.8887241072572513,0.6355932734306313,0.19422817076234658
full,CORE_GAP_ADAPT_R14,8,core_mm,extended,90,82,0.6545196442499457,0.4841165198572309,0.06938421365902515
full,CORE_GAP_ADAPT_R14,8,core_log,short,90,60,4.912551134234284,3.5386471998515185,1.0512784734908558
full,CORE_GAP_ADAPT_R14,8,core_log,extended,90,82,3.750224981177333,2.5088985653544724,0.5745444524922408
full,CORE_GAP_ADAPT_R14,9,yy,short,90,59,4.904805601418177,3.4989017660836117,-0.45994386608581106
full,CORE_GAP_ADAPT_R14,9,yy,extended,90,78,4.0724778853694374,2.5680173566651394,-0.5370749401554216
full,CORE_GAP_ADAPT_R14,9,core_mm,short,90,59,0.9037862766210788,0.6365858987468338,0.21067385433346755
full,CORE_GAP_ADAPT_R14,9,core_mm,extended,90,81,0.6669272050859866,0.490829545688659,0.07204573636750605
full,CORE_GAP_ADAPT_R14,9,core_log,short,90,59,5.820320597165966,4.189682526352789,1.2794489422307005
full,CORE_GAP_ADAPT_R14,9,core_log,extended,90,81,4.3743873116892065,2.921038652303182,0.6573437576467365
full,CORE_GAP_ADAPT_R14,10,yy,short,90,55,5.736731694594512,4.252184805920234,-0.211346972332414
full,CORE_GAP_ADAPT_R14,10,yy,extended,90,77,4.622076065594423,3.0013401087546505,-0.5057062554546968
full,CORE_GAP_ADAPT_R14,10,core_mm,short,90,55,1.137365260202566,0.74526240506533,0.512784004248255
full,CORE_GAP_ADAPT_R14,10,core_mm,extended,90,80,0.9979018197310257,0.6080241751318181,0.248508662284731
full,CORE_GAP_ADAPT_R14,10,core_log,short,90,55,7.00439329298442,4.982128755390349,2.046162838364144
full,CORE_GAP_ADAPT_R14,10,core_log,extended,90,80,5.242497282014135,3.443046002825196,0.9108393374095598
full,CORE_GAP_ADAPT_R14,11,yy,short,90,54,6.480995470964488,4.906577921047854,-0.013632733392464826
full,CORE_GAP_ADAPT_R14,11,yy,extended,90,76,5.244898716280654,3.5113987636408313,-0.47735356082918995
full,CORE_GAP_ADAPT_R14,11,core_mm,short,90,54,1.1513085794715263,0.7603062747058019,0.5437719457749102
full,CORE_GAP_ADAPT_R14,11,core_mm,extended,90,79,1.0202307555184904,0.62627495899751,0.24921683968045033
full,CORE_GAP_ADAPT_R14,11,core_log,short,90,54,8.116212715545355,5.744344757384959,2.6171517114895355
full,CORE_GAP_ADAPT_R14,11,core_log,extended,90,79,6.1528196957194945,3.968138256343224,1.1651642688889061
full,CORE_GAP_ADAPT_R14,12,yy,short,90,53,7.11578782776153,5.43870033287973,0.2239116522980704
full,CORE_GAP_ADAPT_R14,12,yy,extended,90,75,5.807422350968602,3.9684488104057216,-0.4287796232735255
full,CORE_GAP_ADAPT_R14,12,core_mm,short,90,53,1.1840835903334594,0.7962225505365992,0.5644420827776783
full,CORE_GAP_ADAPT_R14,12,core_mm,extended,90,78,1.0474136378533512,0.6550164452086057,0.2588173041297762
full,CORE_GAP_ADAPT_R14,12,core_log,short,90,53,9.284698079312644,6.564847594957013,3.219298308523435
full,CORE_GAP_ADAPT_R14,12,core_log,extended,90,78,7.112791614424956,4.534374549537731,1.4347161446091112
full,CORE_GAP_RF_R14,1,yy,short,90,73,0.9327453828667762,0.5647460695864688,-0.024531738905908016
full,CORE_GAP_RF_R14,1,yy,extended,90,88,0.8665908398056004,0.5194846593725081,-0.052156869743406914
full,CORE_GAP_RF_R14,1,core_mm,short,90,73,0.4272693251283054,0.3184138189154455,0.08662235599101635
full,CORE_GAP_RF_R14,1,core_mm,extended,90,89,0.4020332660644616,0.30343592169383393,0.05391076155752276
full,CORE_GAP_RF_R14,1,core_log,short,90,73,0.42417409053580357,0.3164118617506303,0.0862007763801307
full,CORE_GAP_RF_R14,1,core_log,extended,90,89,0.3993753140763791,0.30171840487821305,0.05381056621837763
full,CORE_GAP_RF_R14,2,yy,short,90,72,1.3216825747088514,0.8792516630536847,-0.03098006334989314
full,CORE_GAP_RF_R14,2,yy,extended,90,86,1.2295690641135062,0.804975616555251,-0.07257642157327213
full,CORE_GAP_RF_R14,2,core_mm,short,90,72,0.451881757206275,0.3337505955814961,0.09577386138579035
full,CORE_GAP_RF_R14,2,core_mm,extended,90,88,0.4273863061146939,0.3194359405152167,0.05131230416824583
full,CORE_GAP_RF_R14,2,core_log,short,90,72,0.832361135096131,0.5980349915578942,0.18334764453273622
full,CORE_GAP_RF_R14,2,core_log,extended,90,88,0.7654306384075644,0.5498041955728389,0.10595500631588273
full,CORE_GAP_RF_R14,3,yy,short,90,71,1.5986976219206608,1.1224614963455946,-0.10327540837888753
full,CORE_GAP_RF_R14,3,yy,extended,90,84,1.4879233851788605,1.020303455876522,-0.1485130295898794
full,CORE_GAP_RF_R14,3,core_mm,short,90,71,0.4900072861494566,0.36529616721460073,0.09292963450290809
full,CORE_GAP_RF_R14,3,core_mm,extended,90,87,0.4591044725164496,0.3429826395011682,0.049903072634513344
full,CORE_GAP_RF_R14,3,core_log,short,90,71,1.2751307950187192,0.8927084602565369,0.2766512259440149
full,CORE_GAP_RF_R14,3,core_log,extended,90,87,1.1489913670359615,0.7856122186236567,0.15552022244192432
full,CORE_GAP_RF_R14,4,yy,short,90,67,1.990439264291512,1.4064576475909483,-0.19890875433196242
full,CORE_GAP_RF_R14,4,yy,extended,90,83,1.8044011090240186,1.2158417480842558,-0.20543220624806574
full,CORE_GAP_RF_R14,4,core_mm,short,90,67,0.5688207309795306,0.43160980654993303,0.12769111725773966
full,CORE_GAP_RF_R14,4,core_mm,extended,90,86,0.5224290783961726,0.3950150320090823,0.08863201861751793
full,CORE_GAP_RF_R14,4,core_log,short,90,67,1.8216046732624747,1.2915516075381035,0.3979139916571304
full,CORE_GAP_RF_R14,4,core_log,extended,90,86,1.5982676909928526,1.0813924123195742,0.2451598592406118
full,CORE_GAP_RF_R14,5,yy,short,90,66,2.408836781441056,1.6609499035197246,-0.2604294335905879
full,CORE_GAP_RF_R14,5,yy,extended,90,82,2.169213032764718,1.4113105153280756,-0.26257247910307685
full,CORE_GAP_RF_R14,5,core_mm,short,90,66,0.6009176973440731,0.4539000231012296,0.13318257414299148
full,CORE_GAP_RF_R14,5,core_mm,extended,90,85,0.5474487536892294,0.4102077867841178,0.09008346568604327
full,CORE_GAP_RF_R14,5,core_log,short,90,66,2.3880634772062805,1.6991014995251428,0.5355129229489092
full,CORE_GAP_RF_R14,5,core_log,extended,90,85,2.0833949922753425,1.3929581619550642,0.33864021384264853
full,CORE_GAP_RF_R14,6,yy,short,90,65,2.842612022810959,1.8884474204270945,-0.3191595496279301
full,CORE_GAP_RF_R14,6,yy,extended,90,81,2.5486278171665164,1.5916495472775714,-0.31508162334147016
full,CORE_GAP_RF_R14,6,core_mm,short,90,65,0.6285365758889421,0.47476146428279403,0.13244823790236285
full,CORE_GAP_RF_R14,6,core_mm,extended,90,84,0.5688896106815453,0.42529441851292493,0.09641671606408642
full,CORE_GAP_RF_R14,6,core_log,short,90,65,2.9883608564147828,2.1392004594341065,0.6763822987798794
full,CORE_GAP_RF_R14,6,core_log,extended,90,84,2.6000552028863075,1.7236702184986017,0.44184551359458135
full,CORE_GAP_RF_R14,7,yy,short,90,61,3.4574568682358056,2.3825253762855234,-0.4022081947630345
full,CORE_GAP_RF_R14,7,yy,extended,90,80,3.0173663470056535,1.9098213157337969,-0.3595544682394457
full,CORE_GAP_RF_R14,7,core_mm,short,90,61,0.6925398151334594,0.5443845055339073,0.17410299333364412
full,CORE_GAP_RF_R14,7,core_mm,extended,90,83,0.6195468122385591,0.4704894438817863,0.12271418399609327
full,CORE_GAP_RF_R14,7,core_log,short,90,61,3.7258855317875743,2.732357858629735,0.8436138401118255
full,CORE_GAP_RF_R14,7,core_log,extended,90,83,3.176258257751254,2.124363308620306,0.5736154634249961
full,CORE_GAP_RF_R14,8,yy,short,90,60,4.038425359138427,2.851272400560339,-0.4503066793230073
full,CORE_GAP_RF_R14,8,yy,extended,90,79,3.5150561856527047,2.2652266968225026,-0.41031394515616726
full,CORE_GAP_RF_R14,8,core_mm,short,90,60,0.7055160089917782,0.556084226389875,0.18982014719779924
full,CORE_GAP_RF_R14,8,core_mm,extended,90,82,0.6304064374483943,0.4807178397425544,0.1163084608762526
full,CORE_GAP_RF_R14,8,core_log,short,90,60,4.425030202953548,3.2941609338019577,1.0462502769542044
full,CORE_GAP_RF_R14,8,core_log,extended,90,82,3.768616092235877,2.5396305056647854,0.6982472091584371
full,CORE_GAP_RF_R14,9,yy,short,90,59,4.692906210428219,3.439169297521463,-0.5002309446855342
full,CORE_GAP_RF_R14,9,yy,extended,90,78,4.076136358656815,2.6955122415643555,-0.459933815146148
full,CORE_GAP_RF_R14,9,core_mm,short,90,59,0.7240251819130363,0.5740970657896174,0.20519230100588354
full,CORE_GAP_RF_R14,9,core_mm,extended,90,81,0.6500644062900132,0.5046460620972856,0.11920941091002941
full,CORE_GAP_RF_R14,9,core_log,short,90,59,5.1483733635030235,3.890098273383227,1.265866679864058
full,CORE_GAP_RF_R14,9,core_log,extended,90,81,4.377325089950934,2.946751441093082,0.8281599291795375
full,CORE_GAP_RF_R14,10,yy,short,90,55,5.432084401623896,4.100024825535443,-0.35210547568040207
full,CORE_GAP_RF_R14,10,yy,extended,90,77,4.628041281006359,3.1414142332975596,-0.4706984863538647
full,CORE_GAP_RF_R14,10,core_mm,short,90,55,0.7658793458224602,0.6073367370370526,0.35877870741217766
full,CORE_GAP_RF_R14,10,core_mm,extended,90,80,0.6939309672986791,0.5383059103084081,0.18056624411752664
full,CORE_GAP_RF_R14,10,core_log,short,90,55,5.982763864999405,4.551889071854122,1.8849001249253867
full,CORE_GAP_RF_R14,10,core_log,extended,90,80,5.01261540855105,3.380007184003065,1.019655595876491
full,CORE_GAP_RF_R14,11,yy,short,90,54,6.051624523815837,4.672385287973895,-0.2583514604249608
full,CORE_GAP_RF_R14,11,yy,extended,90,76,5.1875599917329716,3.5862406944401224,-0.48537646203476553
full,CORE_GAP_RF_R14,11,core_mm,short,90,54,0.7698225770276826,0.6143431759101128,0.38699363986027174
full,CORE_GAP_RF_R14,11,core_mm,extended,90,79,0.7086131732000497,0.5551434438609447,0.18045942259015432
full,CORE_GAP_RF_R14,11,core_log,short,90,54,6.748054428759204,5.199757438755269,2.3022435004946344
full,CORE_GAP_RF_R14,11,core_log,extended,90,79,5.661207026599786,3.8335001723582582,1.2136462903459515
full,CORE_GAP_RF_R14,12,yy,short,90,53,6.5317078719450645,5.147804598900836,-0.13327895229414277
full,CORE_GAP_RF_R14,12,yy,extended,90,75,5.644837893182248,3.9866129543646918,-0.4852258023441502
full,CORE_GAP_RF_R14,12,core_mm,short,90,53,0.8021949745265421,0.6418469374067339,0.4040377478047765
full,CORE_GAP_RF_R14,12,core_mm,extended,90,78,0.7352650990280176,0.5792752275177359,0.18867194859768605
full,CORE_GAP_RF_R14,12,core_log,short,90,53,7.55368075100096,5.88174155425029,2.737655712737661
full,CORE_GAP_RF_R14,12,core_log,extended,90,78,6.340458931558804,4.314250168843613,1.4162627201172002
full,CORE_GAP_RIDGE_R14,1,yy,short,90,73,0.9294787182199086,0.5642401409141529,-0.037066812210493426
full,CORE_GAP_RIDGE_R14,1,yy,extended,90,88,0.8697807099261607,0.5211956123304904,-0.06765355776401218
full,CORE_GAP_RIDGE_R14,1,core_mm,short,90,73,0.4025163778001161,0.3061199545464646,0.06516855424019537
full,CORE_GAP_RIDGE_R14,1,core_mm,extended,90,89,0.37167165770949784,0.28782811139824704,0.028313283514183465
full,CORE_GAP_RIDGE_R14,1,core_log,short,90,73,0.39970539411759276,0.3042806191148565,0.06482115382155404
full,CORE_GAP_RIDGE_R14,1,core_log,extended,90,89,0.3693125275054797,0.28627157813492304,0.028418083077714842
full,CORE_GAP_RIDGE_R14,2,yy,short,90,72,1.319043175902497,0.8708693949640376,-0.05819984488417648
full,CORE_GAP_RIDGE_R14,2,yy,extended,90,86,1.2387792121067474,0.8056331079425145,-0.10442327737346997
full,CORE_GAP_RIDGE_R14,2,core_mm,short,90,72,0.4275483233466149,0.31845821409522634,0.07196688063361646
full,CORE_GAP_RIDGE_R14,2,core_mm,extended,90,88,0.4000523720401527,0.30268130991607073,0.024408415778387812
full,CORE_GAP_RIDGE_R14,2,core_log,short,90,72,0.7808092647728084,0.5658464137938313,0.13587409212414908
full,CORE_GAP_RIDGE_R14,2,core_log,extended,90,88,0.7032287998062658,0.5176543063465471,0.05255004807959563
full,CORE_GAP_RIDGE_R14,3,yy,short,90,71,1.591818387360918,1.1054372996311195,-0.14706686554868081
full,CORE_GAP_RIDGE_R14,3,yy,extended,90,84,1.4935622446666088,1.0116848782392185,-0.19772290196573938
full,CORE_GAP_RIDGE_R14,3,core_mm,short,90,71,0.4614218108823777,0.33728833265761715,0.06700064503377616
full,CORE_GAP_RIDGE_R14,3,core_mm,extended,90,87,0.42938177874240396,0.3221894348712134,0.021703036443489195
full,CORE_GAP_RIDGE_R14,3,core_log,short,90,71,1.1901235442247549,0.8360810791329347,0.19911567790392387
full,CORE_GAP_RIDGE_R14,3,core_log,extended,90,87,1.049877062153106,0.737888248933599,0.07153676043870145
full,CORE_GAP_RIDGE_R14,4,yy,short,90,67,2.00271987399957,1.3775555427754416,-0.25099327611646166
full,CORE_GAP_RIDGE_R14,4,yy,extended,90,83,1.805826926126027,1.1855167849410169,-0.28174402760364586
full,CORE_GAP_RIDGE_R14,4,core_mm,short,90,67,0.5960831487404951,0.4373590518668657,0.11866983076343586
full,CORE_GAP_RIDGE_R14,4,core_mm,extended,90,86,0.49474861632533795,0.37032694987911613,0.04788282457168173
full,CORE_GAP_RIDGE_R14,4,core_log,short,90,67,1.7482649210327874,1.2215323926679083,0.30122936075637846
full,CORE_GAP_RIDGE_R14,4,core_log,extended,90,86,1.4655458059431643,1.0077451721661876,0.11553094081100311
full,CORE_GAP_RIDGE_R14,5,yy,short,90,66,2.4247705810180085,1.6187795785312409,-0.32208766371189673
full,CORE_GAP_RIDGE_R14,5,yy,extended,90,82,2.147455492771271,1.3599797161125098,-0.36814026702808744
full,CORE_GAP_RIDGE_R14,5,core_mm,short,90,66,0.6388449655406728,0.4618216225426902,0.12136873148155022
full,CORE_GAP_RIDGE_R14,5,core_mm,extended,90,85,0.5269925893217613,0.38746026535735406,0.04707407401947693
full,CORE_GAP_RIDGE_R14,5,core_log,short,90,66,2.3422612947422228,1.6361521042049363,0.41709913073716737
full,CORE_GAP_RIDGE_R14,5,core_log,extended,90,85,1.921158838255218,1.2929908284854776,0.15958161610212115
full,CORE_GAP_RIDGE_R14,6,yy,short,90,65,2.852100493269674,1.8647225954712119,-0.38823760590349704
full,CORE_GAP_RIDGE_R14,6,yy,extended,90,81,2.4972379858048233,1.5272302650365976,-0.44838845214732304
full,CORE_GAP_RIDGE_R14,6,core_mm,short,90,65,0.674034073414089,0.4896325412978595,0.11970904449002416
full,CORE_GAP_RIDGE_R14,6,core_mm,extended,90,84,0.5509163432289099,0.40562260997408217,0.05244014020982718
full,CORE_GAP_RIDGE_R14,6,core_log,short,90,65,2.983620449525316,2.095398036518922,0.5397913022874612
full,CORE_GAP_RIDGE_R14,6,core_log,extended,90,84,2.4118615758058772,1.6025064826387927,0.21584037249195465
full,CORE_GAP_RIDGE_R14,7,yy,short,90,61,3.4904067838179156,2.357785932062744,-0.4518286027155186
full,CORE_GAP_RIDGE_R14,7,yy,extended,90,80,2.958297251524964,1.825904853418852,-0.5216381395948817
full,CORE_GAP_RIDGE_R14,7,core_mm,short,90,61,0.8706112176763368,0.6319391310668554,0.2004604104393306
full,CORE_GAP_RIDGE_R14,7,core_mm,extended,90,83,0.6421551255591066,0.47603066906313746,0.07714230519739633
full,CORE_GAP_RIDGE_R14,7,core_log,short,90,61,3.8940276669725176,2.767559866307223,0.7297416924655017
full,CORE_GAP_RIDGE_R14,7,core_log,extended,90,83,3.0067137783115303,2.000099627367392,0.2978987944952961
full,CORE_GAP_RIDGE_R14,8,yy,short,90,60,4.121463211028422,2.842343401052931,-0.479375982849627
full,CORE_GAP_RIDGE_R14,8,yy,extended,90,79,3.471670583662673,2.157574788835094,-0.5974635715281632
full,CORE_GAP_RIDGE_R14,8,core_mm,short,90,60,0.8906196052401129,0.6478032635800048,0.21642866304690164
full,CORE_GAP_RIDGE_R14,8,core_mm,extended,90,82,0.6543037669048862,0.48316078865524714,0.07075194009773848
full,CORE_GAP_RIDGE_R14,8,core_log,short,90,60,4.7770496265806806,3.4159897565656383,0.9583994505540707
full,CORE_GAP_RIDGE_R14,8,core_log,extended,90,82,3.6210533779690555,2.407942160382293,0.3796364433701474
full,CORE_GAP_RIDGE_R14,9,yy,short,90,59,4.846160560379756,3.449356026367091,-0.5106689283533422
full,CORE_GAP_RIDGE_R14,9,yy,extended,90,78,4.052270076881441,2.5861070249640674,-0.676076064391415
full,CORE_GAP_RIDGE_R14,9,core_mm,short,90,59,0.9051371439133191,0.647350676668616,0.2318145973204877
full,CORE_GAP_RIDGE_R14,9,core_mm,extended,90,81,0.6678812635892785,0.4896624770252606,0.07293414184991079
full,CORE_GAP_RIDGE_R14,9,core_log,short,90,59,5.687287659909127,4.085827348904613,1.2008763138587244
full,CORE_GAP_RIDGE_R14,9,core_log,extended,90,81,4.249862649230537,2.81479231520108,0.46003029927191696
full,CORE_GAP_RIDGE_R14,10,yy,short,90,55,5.6789654200834505,4.214004976453008,-0.2465510148589929
full,CORE_GAP_RIDGE_R14,10,yy,extended,90,77,4.599228613429275,3.027336038470302,-0.6976393854189855
full,CORE_GAP_RIDGE_R14,10,core_mm,short,90,55,1.1431776428026597,0.7757890896235086,0.5561957689094604
full,CORE_GAP_RIDGE_R14,10,core_mm,extended,90,80,0.7173670017623676,0.5185706739004518,0.16869762187304244
full,CORE_GAP_RIDGE_R14,10,core_log,short,90,55,6.86769914795422,4.908263458342821,1.9968624967879895
full,CORE_GAP_RIDGE_R14,10,core_log,extended,90,80,4.891705442052954,3.2280376396730817,0.6319628261947191
full,CORE_GAP_RIDGE_R14,11,yy,short,90,54,6.423928685325764,4.88010642003549,-0.032692592117916704
full,CORE_GAP_RIDGE_R14,11,yy,extended,90,76,5.1543188542649006,3.4744681192053712,-0.7257135825949352
full,CORE_GAP_RIDGE_R14,11,core_mm,short,90,54,1.1567894614560372,0.7894387503056707,0.5857401945152833
full,CORE_GAP_RIDGE_R14,11,core_mm,extended,90,79,0.7323660952240851,0.537241782032894,0.16765989068190024
full,CORE_GAP_RIDGE_R14,11,core_log,short,90,54,7.981194941868247,5.718293072413677,2.5979144689781055
full,CORE_GAP_RIDGE_R14,11,core_log,extended,90,79,5.549201629486059,3.638259958994839,0.80191656630026
full,CORE_GAP_RIDGE_R14,12,yy,short,90,53,7.060410873051925,5.435874873057347,0.22108619247568603
full,CORE_GAP_RIDGE_R14,12,yy,extended,90,75,5.610143698115629,3.864401875018929,-0.7366728070007689
full,CORE_GAP_RIDGE_R14,12,core_mm,short,90,53,1.1892312658450812,0.8246193738133956,0.6050355525442079
full,CORE_GAP_RIDGE_R14,12,core_mm,extended,90,78,0.7622822899191272,0.5702125857403803,0.17558239803360254
full,CORE_GAP_RIDGE_R14,12,core_log,short,90,53,9.15226745694384,6.57187589068836,3.230279201813569
full,CORE_GAP_RIDGE_R14,12,core_log,extended,90,78,6.2408348513407805,4.089171808519242,0.9845251534276321
full,CORE_LEVEL_RF_R14,1,yy,short,90,73,0.9525274003777073,0.5681684786573895,-0.11526613775964659
full,CORE_LEVEL_RF_R14,1,yy,extended,90,88,0.8877615351461703,0.5264313395794794,-0.1404757122940138
full,CORE_LEVEL_RF_R14,1,core_mm,short,90,73,0.3848399403379955,0.27352827428595256,-0.059356339828607926
full,CORE_LEVEL_RF_R14,1,core_mm,extended,90,89,0.3815483208114537,0.2728019267429378,-0.08947997933683333
full,CORE_LEVEL_RF_R14,1,core_log,short,90,73,0.3822292273239426,0.2720010147560491,-0.05844330471064676
full,CORE_LEVEL_RF_R14,1,core_log,extended,90,89,0.379136939123193,0.271411008556587,-0.08843462055225695
full,CORE_LEVEL_RF_R14,2,yy,short,90,72,1.3563697745169627,0.8623725851866662,-0.2147221864442112
full,CORE_LEVEL_RF_R14,2,yy,extended,90,86,1.2712227836677388,0.8052148925229747,-0.2515502223106122
full,CORE_LEVEL_RF_R14,2,core_mm,short,90,72,0.39528715173092727,0.28474321839263883,-0.052042991438199876
full,CORE_LEVEL_RF_R14,2,core_mm,extended,90,88,0.39708906964233376,0.2892459040578044,-0.093240866295831
full,CORE_LEVEL_RF_R14,2,core_log,short,90,72,0.7280647433410143,0.505317725990015,-0.10958498717943338
full,CORE_LEVEL_RF_R14,2,core_log,extended,90,88,0.7106121291891211,0.49610014496477606,-0.18085006233961068
full,CORE_LEVEL_RF_R14,3,yy,short,90,71,1.6574591283181375,1.0814419639524309,-0.3813215182405103
full,CORE_LEVEL_RF_R14,3,yy,extended,90,84,1.5656108878101958,1.011157221000496,-0.42042043243582117
full,CORE_LEVEL_RF_R14,3,core_mm,short,90,71,0.4191217282675981,0.307612434386798,-0.056359232819535386
full,CORE_LEVEL_RF_R14,3,core_mm,extended,90,87,0.41528075899194433,0.30758221028353555,-0.0958767391303251
full,CORE_LEVEL_RF_R14,3,core_log,short,90,71,1.090358975423461,0.7463896112511718,-0.16719263686154962
full,CORE_LEVEL_RF_R14,3,core_log,extended,90,87,1.0416130131974959,0.7002462906948407,-0.2783828758274092
full,CORE_LEVEL_RF_R14,4,yy,short,90,67,2.0942566094445234,1.4098120586482097,-0.605873038979361
full,CORE_LEVEL_RF_R14,4,yy,extended,90,83,1.9322531763436916,1.2373036378446685,-0.5929398068158903
full,CORE_LEVEL_RF_R14,4,core_mm,short,90,67,0.45851346965271,0.35246274426549107,-0.06322224799510649
full,CORE_LEVEL_RF_R14,4,core_mm,extended,90,86,0.43740134645151263,0.3320506842611821,-0.09299943887053842
full,CORE_LEVEL_RF_R14,4,core_log,short,90,67,1.515042250911561,1.0622929669413375,-0.25191706796800717
full,CORE_LEVEL_RF_R14,4,core_log,extended,90,86,1.3948513248880172,0.9485821116460529,-0.37439162413050514
full,CORE_LEVEL_RF_R14,5,yy,short,90,66,2.5453558253004878,1.6768125293253162,-0.7906390197229839
full,CORE_LEVEL_RF_R14,5,yy,extended,90,82,2.337255013410073,1.4578188492196331,-0.7669740180643769
full,CORE_LEVEL_RF_R14,5,core_mm,short,90,66,0.47687091083419314,0.3597053606683283,-0.06016157676021346
