month,tableware_utensils
2015-01,97.900000000000006
2015-02,97.900000000000006
2015-03,98.400000000000006
2015-04,98.099999999999994
2015-05,99.700000000000003
2015-06,99.799999999999997
2015-07,100.2
2015-08,101
2015-09,101
2015-10,101.7
2015-11,101.7
2015-12,102.59999999999999
2016-01,102.90000000000001
2016-02,102.8
2016-03,102.8
2016-04,103.09999999999999
2016-05,103.5
2016-06,102.90000000000001
2016-07,104.2
2016-08,103.7
2016-09,104.2
2016-10,104
2016-11,103.5
2016-12,100.8
2017-01,103.8
2017-02,103.90000000000001
2017-03,104.7
2017-04,103.5
2017-05,104
2017-06,104.8
2017-07,104.8
2017-08,104.5
2017-09,104.2
2017-10,104.90000000000001
2017-11,105.40000000000001
2017-12,104.3
2018-01,105.90000000000001
2018-02,106.09999999999999
2018-03,104.8
2018-04,106.2
2018-05,106.40000000000001
2018-06,106.7
2018-07,106.90000000000001
2018-08,106.90000000000001
2018-09,106.09999999999999
2018-10,107.8
2018-11,107.40000000000001
2018-12,105.5
2019-01,107.09999999999999
2019-02,107.3
2019-03,107.40000000000001
2019-04,106.09999999999999
2019-05,107.09999999999999
2019-06,108
2019-07,107.3
2019-08,107.5
2019-09,107.8
2019-10,108.09999999999999
2019-11,107.59999999999999
2019-12,105.59999999999999
2020-01,107.2
2020-02,108.5
2020-03,109.2
2020-04,109.09999999999999
2020-05,109.09999999999999
2020-06,109.09999999999999
2020-07,111.09999999999999
2020-08,109.7
2020-09,110
2020-10,106.7
2020-11,108.40000000000001
2020-12,108.3
2021-01,109.5
2021-02,109.09999999999999
2021-03,109.5
2021-04,109.90000000000001
2021-05,111.5
2021-06,111.3
2021-07,111.8
2021-08,111.90000000000001
2021-09,113.40000000000001
2021-10,113.59999999999999
2021-11,113.5
2021-12,114.8
2022-01,117.7
2022-02,118.40000000000001
2022-03,121
2022-04,121.2
2022-05,123.8
2022-06,124
2022-07,124.59999999999999
2022-08,125.40000000000001
2022-09,126.7
2022-10,127.40000000000001
2022-11,128
2022-12,128.40000000000001
2023-01,131.19999999999999
2023-02,133.5
2023-03,133
2023-04,132.90000000000001
2023-05,134.40000000000001
2023-06,134.19999999999999
2023-07,135.69999999999999
2023-08,134.5
2023-09,133.30000000000001
2023-10,134.5
2023-11,134.30000000000001
2023-12,133.40000000000001
2024-01,132.80000000000001
2024-02,132
2024-03,131.19999999999999
2024-04,133.59999999999999
2024-05,132.5
2024-06,132.09999999999999
2024-07,132.80000000000001
2024-08,132.59999999999999
2024-09,131
2024-10,132.80000000000001
2024-11,131.69999999999999
2024-12,130.30000000000001
2025-01,132.09999999999999
2025-02,133.40000000000001
2025-03,133.09999999999999
2025-04,132.19999999999999
2025-05,132.40000000000001
2025-06,133.40000000000001
2025-07,133
2025-08,133.90000000000001
2025-09,132.90000000000001
2025-10,133.5
2025-11,132.90000000000001
2025-12,132.30000000000001
2026-01,133.90000000000001
2026-02,134.19999999999999
2026-03,134.90000000000001
2026-04,134.80000000000001
2026-05,135
2026-06,136
2026-07,135.30000000000001
