model,origin_year,h,n,rmse,mae,bias,mean_squared_gain_vs_bridge
FOOD_TREND_R12,2019,3,8,0.7002985534852346,0.6131367425120277,-0.39016071303030553,0.0
FOOD_TREND_R12,2020,3,12,0.6063834189613394,0.5110503134364001,-0.014969583194821908,0.0
FOOD_TREND_R12,2021,3,12,1.6261031604995997,1.3316829630638165,-1.3142749398449045,0.0
FOOD_TREND_R12,2022,3,12,3.3698948957486734,3.1460335259944476,-1.0767353270097868,0.0
FOOD_TREND_R12,2023,3,12,1.0454027236586132,0.8577297686723638,0.47246723361650994,0.0
FOOD_TREND_R12,2024,3,12,0.6608662689179121,0.5414731547085694,-0.0981080385052931,0.0
FOOD_TREND_R12,2025,3,12,0.4297165901834989,0.3837961017181453,0.22706093690979853,0.0
FOOD_TREND_R12,2026,3,4,0.6345000102183461,0.6034973462510371,-0.11990838475729843,0.0
FOOD_TREND_R12,2019,6,8,0.6737755731969263,0.5829476524208577,-0.5829476524208577,0.0735354325397489
FOOD_TREND_R12,2020,6,12,0.7571772004576803,0.6137430767033193,0.017760825643196216,-0.08057730853697613
FOOD_TREND_R12,2021,6,12,4.865796028833526,4.431623931530761,-4.431623931530761,-0.5571931119459308
FOOD_TREND_R12,2022,6,12,4.049773638217652,3.297980670371033,-0.7106249206396891,-0.5412272269411519
FOOD_TREND_R12,2023,6,12,1.6639255108499824,1.3094140010803499,1.099953217919219,-0.8060187206779403
FOOD_TREND_R12,2024,6,12,0.7437307853894272,0.597699568841502,-0.22839790493771306,-0.0948726873540701
FOOD_TREND_R12,2025,6,12,0.65721751180178,0.4610659750659713,0.3801189452917583,0.06645455042183296
FOOD_TREND_R12,2026,6,1,0.38172210699237197,0.38172210699237197,-0.38172210699237197,-0.1432722916223597
FOOD_TREND_R12,2019,12,8,0.7690221354191338,0.6767749075736067,-0.5259182900932349,0.19482529958045441
FOOD_TREND_R12,2020,12,12,2.478060337934763,1.8556502841366733,-1.0513748926429323,-0.6613452546656836
FOOD_TREND_R12,2021,12,12,11.379947059040502,11.061310579739697,-11.061310579739697,-4.659563429232418
FOOD_TREND_R12,2022,12,12,7.227360263078189,6.795406676054629,1.2326698637496611,-10.428938663548236
FOOD_TREND_R12,2023,12,12,3.3827625698101866,2.7040715520896117,2.3325715239323044,-5.068457821269381
FOOD_TREND_R12,2024,12,12,1.4069169500750585,1.2811466035916963,-0.3905457316318978,-0.17214671515126176
FOOD_TREND_R12,2025,12,7,1.1346848626577837,0.9760548842053962,0.9760548842053962,0.5413966928471303
FOOD_COST_R12,2019,3,8,0.7002985534852346,0.6131367425120277,-0.39016071303030553,0.0
FOOD_COST_R12,2020,3,12,0.6063834189613394,0.5110503134364001,-0.014969583194821908,0.0
FOOD_COST_R12,2021,3,12,1.6261031604995997,1.3316829630638165,-1.3142749398449045,0.0
FOOD_COST_R12,2022,3,12,3.3698948957486734,3.1460335259944476,-1.0767353270097868,0.0
FOOD_COST_R12,2023,3,12,1.0454027236586132,0.8577297686723638,0.47246723361650994,0.0
FOOD_COST_R12,2024,3,12,0.6608662689179121,0.5414731547085694,-0.0981080385052931,0.0
FOOD_COST_R12,2025,3,12,0.4297165901834989,0.3837961017181453,0.22706093690979853,0.0
FOOD_COST_R12,2026,3,4,0.6345000102183461,0.6034973462510371,-0.11990838475729843,0.0
FOOD_COST_R12,2019,6,8,0.6610717372142775,0.5655886608450544,-0.5655886608450544,0.09049311383309264
FOOD_COST_R12,2020,6,12,0.7603507404226791,0.6185024433471741,0.011043326466585754,-0.08539324410536235
FOOD_COST_R12,2021,6,12,4.860325071222262,4.429829547094786,-4.429829547094786,-0.5039819156855115
FOOD_COST_R12,2022,6,12,4.0907000164454805,3.3456906060964293,-0.6046145659820458,-0.8743873306855673
FOOD_COST_R12,2023,6,12,1.669765523282604,1.313533463623098,1.0908114240002982,-0.8254875177637939
FOOD_COST_R12,2024,6,12,0.7477257789484708,0.6007307711682063,-0.23828558077538967,-0.10083104672219335
FOOD_COST_R12,2025,6,12,0.6610644743946581,0.4676044376219719,0.37783466466091026,0.06138316893407041
FOOD_COST_R12,2026,6,1,0.4192921336051094,0.4192921336051094,-0.4192921336051094,-0.17336641795878874
FOOD_COST_R12,2019,12,8,0.7464405155102454,0.6543093713174937,-0.4956617546544881,0.22904690114985815
FOOD_COST_R12,2020,12,12,2.490749903887974,1.8592053332742822,-1.0631021368276594,-0.7243972999382855
FOOD_COST_R12,2021,12,12,11.3744025434618,11.058303717836226,-11.058303717836226,-4.533401583378107
FOOD_COST_R12,2022,12,12,7.3384429319200395,6.912939072914323,1.413099840186721,-12.046946956273805
FOOD_COST_R12,2023,12,12,3.3985179767772418,2.716463881862568,2.316343245003367,-5.175299656038635
FOOD_COST_R12,2024,12,12,1.414188704660712,1.2853456391069653,-0.4078149890580054,-0.19266110313269968
FOOD_COST_R12,2025,12,7,1.1414990006935226,0.9804289234120885,0.9804289234120885,0.5258864618075328
DIRECT_MONTHLY_R12,2019,3,8,0.5178332435937958,0.3931332803418651,-0.301134455003782,0.22226679584264059
DIRECT_MONTHLY_R12,2020,3,12,0.6291672599457465,0.49305093838831254,0.20599208635048685,-0.028150590196395122
DIRECT_MONTHLY_R12,2021,3,12,2.448625464656408,1.9594801871118,-1.9594801871118,-3.3515551775770223
DIRECT_MONTHLY_R12,2022,3,12,3.0719737686333537,2.702094621054231,-0.6732491463592112,1.919168773221554
