model,reference,sample,n,headline_mse_gain,weighted_core_mse_gain,error_cross_term_gain,candidate_rmse,reference_rmse
POOL_SEPARATE,TARGET_OWN,all,90,0.0014161833461597566,0.0001234491523813885,0.001292734193778375,0.4072118113449148,0.40894699246352967
POOL_SEPARATE,TARGET_OWN,recent,31,0.00015520967121963503,-0.0006295382485178729,0.0007847479197375062,0.1974048673899467,0.19779760195832016
POOL_SEPARATE,TARGET_OWN,without_oct2022,89,0.0015798834100063334,0.0001253938384932709,0.0014544895715130593,0.3211016420979992,0.32355238828980676
POOL_12,TARGET_OWN,all,90,0.001968366402486277,-0.00021836200547220748,0.00218672840795848,0.40653324125153645,0.40894699246352967
POOL_12,TARGET_OWN,recent,31,-0.00018464098331791038,-0.001269762429671912,0.001085121446354001,0.19826379478810544,0.19779760195832016
POOL_12,TARGET_OWN,without_oct2022,89,0.0023563242471214348,-0.000219127844144579,0.00257545209126601,0.3198903307712136,0.32355238828980676
POOL_48,TARGET_OWN,all,90,0.0012377848817399424,-0.0013740002755977076,0.002611785157337647,0.40743080119601455,0.40894699246352967
POOL_48,TARGET_OWN,recent,31,-0.001130066285481116,-0.0021228951038325936,0.0009928288183514767,0.20063388952503305,0.19779760195832016
POOL_48,TARGET_OWN,without_oct2022,89,0.002288867456089807,-0.0013819898242641191,0.0036708572803539246,0.31999575077170644,0.32355238828980676
