scope,model,h,metric,sample,n_intended,n_missing_forecasts,n,mae,rmse,bias
original_R16_calendar,STATE_FAST_R15,1,headline_yy,full,88,0,88,0.5064345073174391,0.8615359706774576,-0.1064134919649605
original_R16_calendar,STATE_FAST_R15,2,headline_yy,full,86,0,86,0.771946075999089,1.2306147916797074,-0.195517182377449
original_R16_calendar,STATE_FAST_R15,3,headline_yy,full,84,0,84,0.971408578467714,1.4591809877871644,-0.3306617221757159
original_R16_calendar,STATE_FAST_R15,4,headline_yy,full,83,0,83,1.1559124165337678,1.7127461990319923,-0.4691679781741126
original_R16_calendar,STATE_FAST_R15,5,headline_yy,full,82,0,82,1.3388691607660723,1.993174804270263,-0.6161078116944874
original_R16_calendar,STATE_FAST_R15,6,headline_yy,full,81,0,81,1.5080060139069908,2.290294341334928,-0.7517105337783887
original_R16_calendar,STATE_FAST_R15,7,headline_yy,full,80,0,80,1.7279574085911555,2.649271531596804,-0.8920740752413533
original_R16_calendar,STATE_FAST_R15,8,headline_yy,full,79,0,79,1.9883705883404408,3.068552966867641,-1.033324356387478
original_R16_calendar,STATE_FAST_R15,9,headline_yy,full,78,0,78,2.2455139964413684,3.548456709656722,-1.1802841257361536
original_R16_calendar,STATE_FAST_R15,10,headline_yy,full,77,0,77,2.48548225803084,4.033323170296161,-1.330902461811058
original_R16_calendar,STATE_FAST_R15,11,headline_yy,full,76,0,76,2.7817813716206423,4.495404154299721,-1.4958741860670717
original_R16_calendar,STATE_FAST_R15,12,headline_yy,full,75,0,75,3.0264336489400625,4.869472205001029,-1.6393559194623943
original_R16_calendar,STABLE_LOCAL_CORE_R14B,1,headline_yy,full,88,0,88,0.508322006501021,0.8691519032986068,-0.10604580144084
original_R16_calendar,STABLE_LOCAL_CORE_R14B,2,headline_yy,full,86,0,86,0.7910717235654418,1.2569098112525512,-0.1951888273117278
original_R16_calendar,STABLE_LOCAL_CORE_R14B,3,headline_yy,full,84,0,84,1.0295519869798233,1.537322537940186,-0.3310553165293109
original_R16_calendar,STABLE_LOCAL_CORE_R14B,4,headline_yy,full,83,0,83,1.2348192779935194,1.8686376080881504,-0.4673265350366647
original_R16_calendar,STABLE_LOCAL_CORE_R14B,5,headline_yy,full,82,0,82,1.434034561084043,2.2378312645355964,-0.6131363398693163
original_R16_calendar,STABLE_LOCAL_CORE_R14B,6,headline_yy,full,81,0,81,1.6258969606430034,2.624251525066841,-0.7498792446195656
original_R16_calendar,STABLE_LOCAL_CORE_R14B,7,headline_yy,full,80,0,80,1.8876104002225256,3.052817189329517,-0.8902761758196902
original_R16_calendar,STABLE_LOCAL_CORE_R14B,8,headline_yy,full,79,0,79,2.145005559943734,3.5032957744050406,-1.034541049900898
original_R16_calendar,STABLE_LOCAL_CORE_R14B,9,headline_yy,full,78,0,78,2.4094757443657824,4.005802450518569,-1.1835488170351998
original_R16_calendar,STABLE_LOCAL_CORE_R14B,10,headline_yy,full,77,0,77,2.726471140815644,4.506367426616955,-1.3346043063038602
original_R16_calendar,STABLE_LOCAL_CORE_R14B,11,headline_yy,full,76,0,76,3.0696697997765727,5.004297326158509,-1.494256777234686
original_R16_calendar,STABLE_LOCAL_CORE_R14B,12,headline_yy,full,75,0,75,3.3702160589936043,5.397208838300782,-1.6354642795914578
original_R16_calendar,DAMPED_P95_Q001_R16,1,headline_yy,full,88,0,88,0.5056151623007832,0.8581019950175653,-0.1047554451147319
original_R16_calendar,DAMPED_P95_Q001_R16,2,headline_yy,full,86,0,86,0.76627087078501,1.2208942508595748,-0.1918737991270683
original_R16_calendar,DAMPED_P95_Q001_R16,3,headline_yy,full,84,0,84,0.9611615217245812,1.4387260776011894,-0.3247589339317813
original_R16_calendar,DAMPED_P95_Q001_R16,4,headline_yy,full,83,0,83,1.1358266268861266,1.6812281631071595,-0.4600727522896868
original_R16_calendar,DAMPED_P95_Q001_R16,5,headline_yy,full,82,0,82,1.318483699170702,1.9510966211626444,-0.6033179904573421
original_R16_calendar,DAMPED_P95_Q001_R16,6,headline_yy,full,81,0,81,1.470738597640239,2.239464689623496,-0.7348264543122262
original_R16_calendar,DAMPED_P95_Q001_R16,7,headline_yy,full,80,0,80,1.670012262252588,2.592803103420624,-0.8702634030246721
original_R16_calendar,DAMPED_P95_Q001_R16,8,headline_yy,full,79,0,79,1.9130532273527476,3.006948686593867,-1.0062408666646048
