h,sample,n,rmse_recorded,rmse_lane_forecast_previous_history,rmse_lane_vs_previous_truth,rmse_lane_vs_bbg_truth,rmse_recorded_vs_bbg_truth,max_abs_forecast_change,mean_abs_forecast_change
3,full,84,1.4483370973482854,1.4432810794295414,1.4393326804299056,1.4491979669966593,1.4627373050757901,0.19123801552986475,0.06990253526404121
3,origins_2024plus,28,0.5071741605110427,0.5094040154396636,0.524071644162852,0.5256551328319,0.5284841864516137,0.19123801552986475,0.08297031589673644
6,full,81,2.244603126926088,2.2407654304422198,2.243869573565149,2.2452644906541366,2.248227037405167,0.1659779918052937,0.055587089510022204
6,origins_2024plus,25,0.4629079450005251,0.4637962321930986,0.48626820235074925,0.4632697347400528,0.45445468223400176,0.15672289480347734,0.06488666177952469
12,full,75,4.768932868864873,4.768148188502962,4.768148188502962,4.774629952908423,4.775464205875278,0.020292137339740446,0.004698745318709792
12,origins_2024plus,19,0.659033837640918,0.6602987163854671,0.6602987163854671,0.6323720490534097,0.631327572358021,0.020292137339740446,0.0038392129246602267
