month,household_textiles
2015-01,99.5
2015-02,99.299999999999997
2015-03,100.5
2015-04,100.59999999999999
2015-05,101.3
2015-06,100.40000000000001
2015-07,99.700000000000003
2015-08,100
2015-09,100
2015-10,100
2015-11,99.5
2015-12,99.5
2016-01,100.8
2016-02,99.900000000000006
2016-03,100.3
2016-04,100.5
2016-05,100.90000000000001
2016-06,100.8
2016-07,100.90000000000001
2016-08,100.7
2016-09,101.09999999999999
2016-10,100.90000000000001
2016-11,100.8
2016-12,99.200000000000003
2017-01,100
2017-02,99.599999999999994
2017-03,100.40000000000001
2017-04,100.40000000000001
2017-05,100.59999999999999
2017-06,100
2017-07,99.5
2017-08,100.2
2017-09,101.59999999999999
2017-10,100.8
2017-11,100.7
2017-12,99.599999999999994
2018-01,101.8
2018-02,101.59999999999999
2018-03,103
2018-04,102.59999999999999
2018-05,102.09999999999999
2018-06,102.8
2018-07,103.5
2018-08,103.40000000000001
2018-09,102.8
2018-10,104.90000000000001
2018-11,104.2
2018-12,103.3
2019-01,103.2
2019-02,104.40000000000001
2019-03,105.09999999999999
2019-04,106.7
2019-05,106
2019-06,106.5
2019-07,107.2
2019-08,108.09999999999999
2019-09,106.7
2019-10,110.59999999999999
2019-11,109.2
2019-12,108.09999999999999
2020-01,107.59999999999999
2020-02,109.3
2020-03,109.7
2020-04,110.90000000000001
2020-05,110.2
2020-06,111.5
2020-07,111.8
2020-08,111.40000000000001
2020-09,112
2020-10,113.3
2020-11,111.3
2020-12,110.2
2021-01,111.90000000000001
2021-02,110.3
2021-03,110.8
2021-04,112.59999999999999
2021-05,112
2021-06,111.7
2021-07,114
2021-08,113.7
2021-09,115
2021-10,121.7
2021-11,121.40000000000001
2021-12,121.7
2022-01,123
2022-02,125.8
2022-03,127.40000000000001
2022-04,129.09999999999999
2022-05,130.30000000000001
2022-06,131.59999999999999
2022-07,133.59999999999999
2022-08,136.40000000000001
2022-09,137.59999999999999
2022-10,139.40000000000001
2022-11,141.80000000000001
2022-12,141.09999999999999
2023-01,141.90000000000001
2023-02,145.90000000000001
2023-03,143.59999999999999
2023-04,145.90000000000001
2023-05,144.30000000000001
2023-06,142.30000000000001
2023-07,146.30000000000001
2023-08,145
2023-09,146.09999999999999
2023-10,149.19999999999999
2023-11,148.69999999999999
2023-12,149.19999999999999
2024-01,150.19999999999999
2024-02,151.30000000000001
2024-03,148.90000000000001
2024-04,153.09999999999999
2024-05,152.5
2024-06,152.09999999999999
2024-07,152.5
2024-08,151.30000000000001
2024-09,154.90000000000001
2024-10,157.09999999999999
2024-11,158.69999999999999
2024-12,158.30000000000001
2025-01,159.90000000000001
2025-02,160.90000000000001
2025-03,159.5
2025-04,164.30000000000001
2025-05,162.5
2025-06,164.90000000000001
2025-07,164.90000000000001
2025-08,164.30000000000001
2025-09,165.5
2025-10,166.69999999999999
2025-11,166.59999999999999
2025-12,165.30000000000001
2026-01,168.5
2026-02,167.69999999999999
2026-03,167
2026-04,169.40000000000001
2026-05,168.90000000000001
2026-06,170.19999999999999
2026-07,171
