series,reference_period,value,available_from,source,sha256,adjustment,vintage_kind,release_date,reference_release,availability_precision,release_source,release_page_sha256,raw_file
unemployment_nsa,1993-11,3.925280972604565,2026-08-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/462e072c-5e3e-343a-db04-2a440e9146da/nez083126_2.xlsx?version=1.0,3d90bef839460c5e3bd81de31c82a12137dcd98e22b441bca2181671c16c4a5d,nsa,latest_vintage_snapshot,2026-08-31,2026-07,date_only_next_local_midnight,https://csu.gov.cz/rychle-informace/miry-zamestnanosti-nezamestnanosti-a-ekonomicke-aktivity-cervenec-2026,5dfacfbf37ee2435d455c5264256077c43fbf23c77c224d87fed2c00e67d5ef9,raw/2026-07-nsa.xlsx
unemployment_nsa,1993-12,4.324181700715274,2026-08-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/462e072c-5e3e-343a-db04-2a440e9146da/nez083126_2.xlsx?version=1.0,3d90bef839460c5e3bd81de31c82a12137dcd98e22b441bca2181671c16c4a5d,nsa,latest_vintage_snapshot,2026-08-31,2026-07,date_only_next_local_midnight,https://csu.gov.cz/rychle-informace/miry-zamestnanosti-nezamestnanosti-a-ekonomicke-aktivity-cervenec-2026,5dfacfbf37ee2435d455c5264256077c43fbf23c77c224d87fed2c00e67d5ef9,raw/2026-07-nsa.xlsx
unemployment_nsa,1994-01,4.339372020870013,2026-08-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/462e072c-5e3e-343a-db04-2a440e9146da/nez083126_2.xlsx?version=1.0,3d90bef839460c5e3bd81de31c82a12137dcd98e22b441bca2181671c16c4a5d,nsa,latest_vintage_snapshot,2026-08-31,2026-07,date_only_next_local_midnight,https://csu.gov.cz/rychle-informace/miry-zamestnanosti-nezamestnanosti-a-ekonomicke-aktivity-cervenec-2026,5dfacfbf37ee2435d455c5264256077c43fbf23c77c224d87fed2c00e67d5ef9,raw/2026-07-nsa.xlsx
unemployment_nsa,1994-02,4.323487443763009,2026-08-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/462e072c-5e3e-343a-db04-2a440e9146da/nez083126_2.xlsx?version=1.0,3d90bef839460c5e3bd81de31c82a12137dcd98e22b441bca2181671c16c4a5d,nsa,latest_vintage_snapshot,2026-08-31,2026-07,date_only_next_local_midnight,https://csu.gov.cz/rychle-informace/miry-zamestnanosti-nezamestnanosti-a-ekonomicke-aktivity-cervenec-2026,5dfacfbf37ee2435d455c5264256077c43fbf23c77c224d87fed2c00e67d5ef9,raw/2026-07-nsa.xlsx
unemployment_nsa,1994-03,4.091500133005025,2026-08-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/462e072c-5e3e-343a-db04-2a440e9146da/nez083126_2.xlsx?version=1.0,3d90bef839460c5e3bd81de31c82a12137dcd98e22b441bca2181671c16c4a5d,nsa,latest_vintage_snapshot,2026-08-31,2026-07,date_only_next_local_midnight,https://csu.gov.cz/rychle-informace/miry-zamestnanosti-nezamestnanosti-a-ekonomicke-aktivity-cervenec-2026,5dfacfbf37ee2435d455c5264256077c43fbf23c77c224d87fed2c00e67d5ef9,raw/2026-07-nsa.xlsx
unemployment_nsa,1994-04,4.329810654236116,2026-08-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/462e072c-5e3e-343a-db04-2a440e9146da/nez083126_2.xlsx?version=1.0,3d90bef839460c5e3bd81de31c82a12137dcd98e22b441bca2181671c16c4a5d,nsa,latest_vintage_snapshot,2026-08-31,2026-07,date_only_next_local_midnight,https://csu.gov.cz/rychle-informace/miry-zamestnanosti-nezamestnanosti-a-ekonomicke-aktivity-cervenec-2026,5dfacfbf37ee2435d455c5264256077c43fbf23c77c224d87fed2c00e67d5ef9,raw/2026-07-nsa.xlsx
unemployment_nsa,1994-05,3.875403108995857,2026-08-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/462e072c-5e3e-343a-db04-2a440e9146da/nez083126_2.xlsx?version=1.0,3d90bef839460c5e3bd81de31c82a12137dcd98e22b441bca2181671c16c4a5d,nsa,latest_vintage_snapshot,2026-08-31,2026-07,date_only_next_local_midnight,https://csu.gov.cz/rychle-informace/miry-zamestnanosti-nezamestnanosti-a-ekonomicke-aktivity-cervenec-2026,5dfacfbf37ee2435d455c5264256077c43fbf23c77c224d87fed2c00e67d5ef9,raw/2026-07-nsa.xlsx
unemployment_nsa,1994-06,4.356397552096455,2026-08-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/462e072c-5e3e-343a-db04-2a440e9146da/nez083126_2.xlsx?version=1.0,3d90bef839460c5e3bd81de31c82a12137dcd98e22b441bca2181671c16c4a5d,nsa,latest_vintage_snapshot,2026-08-31,2026-07,date_only_next_local_midnight,https://csu.gov.cz/rychle-informace/miry-zamestnanosti-nezamestnanosti-a-ekonomicke-aktivity-cervenec-2026,5dfacfbf37ee2435d455c5264256077c43fbf23c77c224d87fed2c00e67d5ef9,raw/2026-07-nsa.xlsx
unemployment_nsa,1994-07,4.3342312521087605,2026-08-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/462e072c-5e3e-343a-db04-2a440e9146da/nez083126_2.xlsx?version=1.0,3d90bef839460c5e3bd81de31c82a12137dcd98e22b441bca2181671c16c4a5d,nsa,latest_vintage_snapshot,2026-08-31,2026-07,date_only_next_local_midnight,https://csu.gov.cz/rychle-informace/miry-zamestnanosti-nezamestnanosti-a-ekonomicke-aktivity-cervenec-2026,5dfacfbf37ee2435d455c5264256077c43fbf23c77c224d87fed2c00e67d5ef9,raw/2026-07-nsa.xlsx
unemployment_nsa,1994-08,4.539262867125856,2026-08-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/462e072c-5e3e-343a-db04-2a440e9146da/nez083126_2.xlsx?version=1.0,3d90bef839460c5e3bd81de31c82a12137dcd98e22b441bca2181671c16c4a5d,nsa,latest_vintage_snapshot,2026-08-31,2026-07,date_only_next_local_midnight,https://csu.gov.cz/rychle-informace/miry-zamestnanosti-nezamestnanosti-a-ekonomicke-aktivity-cervenec-2026,5dfacfbf37ee2435d455c5264256077c43fbf23c77c224d87fed2c00e67d5ef9,raw/2026-07-nsa.xlsx
unemployment_nsa,1994-09,4.551041587285492,2026-08-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/462e072c-5e3e-343a-db04-2a440e9146da/nez083126_2.xlsx?version=1.0,3d90bef839460c5e3bd81de31c82a12137dcd98e22b441bca2181671c16c4a5d,nsa,latest_vintage_snapshot,2026-08-31,2026-07,date_only_next_local_midnight,https://csu.gov.cz/rychle-informace/miry-zamestnanosti-nezamestnanosti-a-ekonomicke-aktivity-cervenec-2026,5dfacfbf37ee2435d455c5264256077c43fbf23c77c224d87fed2c00e67d5ef9,raw/2026-07-nsa.xlsx
unemployment_nsa,1994-10,4.39236694574793,2026-08-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/462e072c-5e3e-343a-db04-2a440e9146da/nez083126_2.xlsx?version=1.0,3d90bef839460c5e3bd81de31c82a12137dcd98e22b441bca2181671c16c4a5d,nsa,latest_vintage_snapshot,2026-08-31,2026-07,date_only_next_local_midnight,https://csu.gov.cz/rychle-informace/miry-zamestnanosti-nezamestnanosti-a-ekonomicke-aktivity-cervenec-2026,5dfacfbf37ee2435d455c5264256077c43fbf23c77c224d87fed2c00e67d5ef9,raw/2026-07-nsa.xlsx
unemployment_nsa,1994-11,4.146480359384895,2026-08-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/462e072c-5e3e-343a-db04-2a440e9146da/nez083126_2.xlsx?version=1.0,3d90bef839460c5e3bd81de31c82a12137dcd98e22b441bca2181671c16c4a5d,nsa,latest_vintage_snapshot,2026-08-31,2026-07,date_only_next_local_midnight,https://csu.gov.cz/rychle-informace/miry-zamestnanosti-nezamestnanosti-a-ekonomicke-aktivity-cervenec-2026,5dfacfbf37ee2435d455c5264256077c43fbf23c77c224d87fed2c00e67d5ef9,raw/2026-07-nsa.xlsx
unemployment_nsa,1994-12,4.386503081107551,2026-08-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/462e072c-5e3e-343a-db04-2a440e9146da/nez083126_2.xlsx?version=1.0,3d90bef839460c5e3bd81de31c82a12137dcd98e22b441bca2181671c16c4a5d,nsa,latest_vintage_snapshot,2026-08-31,2026-07,date_only_next_local_midnight,https://csu.gov.cz/rychle-informace/miry-zamestnanosti-nezamestnanosti-a-ekonomicke-aktivity-cervenec-2026,5dfacfbf37ee2435d455c5264256077c43fbf23c77c224d87fed2c00e67d5ef9,raw/2026-07-nsa.xlsx
unemployment_nsa,1995-01,4.314148793325965,2026-08-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/462e072c-5e3e-343a-db04-2a440e9146da/nez083126_2.xlsx?version=1.0,3d90bef839460c5e3bd81de31c82a12137dcd98e22b441bca2181671c16c4a5d,nsa,latest_vintage_snapshot,2026-08-31,2026-07,date_only_next_local_midnight,https://csu.gov.cz/rychle-informace/miry-zamestnanosti-nezamestnanosti-a-ekonomicke-aktivity-cervenec-2026,5dfacfbf37ee2435d455c5264256077c43fbf23c77c224d87fed2c00e67d5ef9,raw/2026-07-nsa.xlsx
unemployment_nsa,1995-02,4.2780252247948045,2026-08-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/462e072c-5e3e-343a-db04-2a440e9146da/nez083126_2.xlsx?version=1.0,3d90bef839460c5e3bd81de31c82a12137dcd98e22b441bca2181671c16c4a5d,nsa,latest_vintage_snapshot,2026-08-31,2026-07,date_only_next_local_midnight,https://csu.gov.cz/rychle-informace/miry-zamestnanosti-nezamestnanosti-a-ekonomicke-aktivity-cervenec-2026,5dfacfbf37ee2435d455c5264256077c43fbf23c77c224d87fed2c00e67d5ef9,raw/2026-07-nsa.xlsx
unemployment_nsa,1995-03,4.3034166078779785,2026-08-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/462e072c-5e3e-343a-db04-2a440e9146da/nez083126_2.xlsx?version=1.0,3d90bef839460c5e3bd81de31c82a12137dcd98e22b441bca2181671c16c4a5d,nsa,latest_vintage_snapshot,2026-08-31,2026-07,date_only_next_local_midnight,https://csu.gov.cz/rychle-informace/miry-zamestnanosti-nezamestnanosti-a-ekonomicke-aktivity-cervenec-2026,5dfacfbf37ee2435d455c5264256077c43fbf23c77c224d87fed2c00e67d5ef9,raw/2026-07-nsa.xlsx
unemployment_nsa,1995-04,4.020521739272458,2026-08-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/462e072c-5e3e-343a-db04-2a440e9146da/nez083126_2.xlsx?version=1.0,3d90bef839460c5e3bd81de31c82a12137dcd98e22b441bca2181671c16c4a5d,nsa,latest_vintage_snapshot,2026-08-31,2026-07,date_only_next_local_midnight,https://csu.gov.cz/rychle-informace/miry-zamestnanosti-nezamestnanosti-a-ekonomicke-aktivity-cervenec-2026,5dfacfbf37ee2435d455c5264256077c43fbf23c77c224d87fed2c00e67d5ef9,raw/2026-07-nsa.xlsx
unemployment_nsa,1995-05,3.822107596383051,2026-08-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/462e072c-5e3e-343a-db04-2a440e9146da/nez083126_2.xlsx?version=1.0,3d90bef839460c5e3bd81de31c82a12137dcd98e22b441bca2181671c16c4a5d,nsa,latest_vintage_snapshot,2026-08-31,2026-07,date_only_next_local_midnight,https://csu.gov.cz/rychle-informace/miry-zamestnanosti-nezamestnanosti-a-ekonomicke-aktivity-cervenec-2026,5dfacfbf37ee2435d455c5264256077c43fbf23c77c224d87fed2c00e67d5ef9,raw/2026-07-nsa.xlsx
unemployment_nsa,1995-06,4.242340345398148,2026-08-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/462e072c-5e3e-343a-db04-2a440e9146da/nez083126_2.xlsx?version=1.0,3d90bef839460c5e3bd81de31c82a12137dcd98e22b441bca2181671c16c4a5d,nsa,latest_vintage_snapshot,2026-08-31,2026-07,date_only_next_local_midnight,https://csu.gov.cz/rychle-informace/miry-zamestnanosti-nezamestnanosti-a-ekonomicke-aktivity-cervenec-2026,5dfacfbf37ee2435d455c5264256077c43fbf23c77c224d87fed2c00e67d5ef9,raw/2026-07-nsa.xlsx
unemployment_nsa,1995-07,4.139280695113594,2026-08-31T22:00:00+00:00,https://csu.gov.cz/docs/107532/462e072c-5e3e-343a-db04-2a440e9146da/nez083126_2.xlsx?version=1.0,3d90bef839460c5e3bd81de31c82a12137dcd98e22b441bca2181671c16c4a5d,nsa,latest_vintage_snapshot,2026-08-31,2026-07,date_only_next_local_midnight,https://csu.gov.cz/rychle-informace/miry-zamestnanosti-nezamestnanosti-a-ekonomicke-aktivity-cervenec-2026,5dfacfbf37ee2435d455c5264256077c43fbf23c77c224d87fed2c00e67d5ef9,raw/2026-07-nsa.xlsx
