group,ticker,retrieved_at,name,source,adjustment,frequency,last_update,status,periodicity,observations,first_date,last_date,last_value,error
ppi_nace_and_aggregates,PPTXCZ Index,2026-09-22T12:46:39.526051+00:00,Eurostat PPI Czech Republic In,Eurostat,Index NSA,Monthly,2026-08-31,ok,MONTHLY,440.0,1990-01-31,2026-08-31,132.6,
ppi_nace_and_aggregates,EPPBE4CZ Index,2026-09-22T12:46:40.600307+00:00,Eurostat Domestic PPI Industry,Eurostat,Index NSA,Monthly,2026-08-31,ok,MONTHLY,332.0,1999-01-31,2026-08-31,133.7,
ppi_nace_and_aggregates,EPP0BDCZ Index,2026-09-22T12:46:41.380752+00:00,Eurostat Domestic PPI Mining a,Eurostat,Index NSA,Monthly,2026-08-31,ok,MONTHLY,332.0,1999-01-31,2026-08-31,132.4,
ppi_nace_and_aggregates,EPPIGKCZ Index,2026-09-22T12:46:42.238288+00:00,Eurostat Domestic PPI Intermed,Eurostat,Index NSA,Monthly,2015-09-30,ok,MONTHLY,201.0,1999-01-31,2015-09-30,105.2,
ppi_nace_and_aggregates,PPIGCZ Index,2026-09-22T12:46:42.946058+00:00,Eurostat PPI Czech Republic In,Eurostat,Index NSA,Monthly,2026-08-31,ok,MONTHLY,392.0,1994-01-31,2026-08-31,123.4,
ppi_nace_and_aggregates,PPENCZ Index,2026-09-22T12:46:43.656607+00:00,Eurostat PPI Czech Republic En,Eurostat,Index NSA,Monthly,2026-08-31,ok,MONTHLY,392.0,1994-01-31,2026-08-31,164.6,
ppi_nace_and_aggregates,EPENBCZ Index,2026-09-22T12:46:44.369150+00:00,Eurostat Domestic PPI Other En,Eurostat,Index NSA,Monthly,2015-04-30,ok,MONTHLY,196.0,1999-01-31,2015-04-30,107.2,
ppi_nace_and_aggregates,PPCGCZ Index,2026-09-22T12:46:45.095776+00:00,Eurostat PPI Czech Republic Ca,Eurostat,Index NSA,Monthly,2026-08-31,ok,MONTHLY,392.0,1994-01-31,2026-08-31,117.3,
ppi_nace_and_aggregates,EPP0CGCZ Index,2026-09-22T12:46:45.755709+00:00,Eurostat Domestic PPI Consumer,Eurostat,Index NSA,Monthly,2026-08-31,ok,MONTHLY,332.0,1999-01-31,2026-08-31,128.3,
ppi_nace_and_aggregates,EPPCG1CZ Index,2026-09-22T12:46:46.460799+00:00,Eurostat Dom PPI Consumer Good,Eurostat,Index NSA,Monthly,2026-08-31,ok,MONTHLY,332.0,1999-01-31,2026-08-31,132.1,
ppi_nace_and_aggregates,PPDGCZ Index,2026-09-22T12:46:47.314787+00:00,Eurostat PPI Czech Republic Du,Eurostat,Index NSA,Monthly,2026-08-31,ok,MONTHLY,392.0,1994-01-31,2026-08-31,126.6,
ppi_nace_and_aggregates,PPNGCZ Index,2026-09-22T12:46:48.040179+00:00,Eurostat PPI Czech Republic No,Eurostat,Index NSA,Monthly,2026-08-31,ok,MONTHLY,392.0,1994-01-31,2026-08-31,128.6,
ppi_nace_and_aggregates,PPXECZ Index,2026-09-22T12:46:48.807834+00:00,Eurostat PPI Czech Republic Al,Eurostat,Index NSA,Monthly,2026-08-31,ok,MONTHLY,332.0,1999-01-31,2026-08-31,122.6,
ppi_nace_and_aggregates,EPPBC3CZ Index,2026-09-22T12:46:49.542997+00:00,Eurostat Dom PPI Mining & Quar,Eurostat,Index NSA,Monthly,2026-08-31,ok,MONTHLY,332.0,1999-01-31,2026-08-31,121.7,
ppi_nace_and_aggregates,EPP00BCZ Index,2026-09-22T12:46:50.444380+00:00,Eurostat Domestic PPI Mining &,Eurostat,Index NSA,Monthly,2026-08-31,ok,MONTHLY,440.0,1990-01-31,2026-08-31,180.8,
ppi_nace_and_aggregates,EPP00CCZ Index,2026-09-22T12:46:51.196929+00:00,,,,,,bdp_error,,,,,,ValueError: no reference data (ticker probably invalid)
ppi_nace_and_aggregates,EPP00DCZ Index,2026-09-22T12:46:51.458642+00:00,Eurostat Domestic PPI Electric,Eurostat,Index NSA,Monthly,2026-08-31,ok,MONTHLY,440.0,1990-01-31,2026-08-31,165.7,
