month,accommodation
2015-01,99
2015-02,98.700000000000003
2015-03,99
2015-04,99.900000000000006
2015-05,100.3
2015-06,100.8
2015-07,101.2
2015-08,101.59999999999999
2015-09,100.90000000000001
2015-10,100.3
2015-11,99.400000000000006
2015-12,99
2016-01,99
2016-02,99.200000000000003
2016-03,99.900000000000006
2016-04,100.59999999999999
2016-05,100.59999999999999
2016-06,100.8
2016-07,102.09999999999999
2016-08,102.09999999999999
2016-09,101.3
2016-10,100.8
2016-11,100
2016-12,100.5
2017-01,100.40000000000001
2017-02,100.90000000000001
2017-03,101.40000000000001
2017-04,102.09999999999999
2017-05,102.8
2017-06,103.40000000000001
2017-07,103.7
2017-08,104.2
2017-09,103
2017-10,102.5
2017-11,101.59999999999999
2017-12,102.09999999999999
2018-01,102
2018-02,102.40000000000001
2018-03,103
2018-04,105.09999999999999
2018-05,106
2018-06,106
2018-07,107.90000000000001
2018-08,108
2018-09,107.40000000000001
2018-10,106.5
2018-11,105.3
2018-12,105.7
2019-01,104.8
2019-02,104.7
2019-03,106
2019-04,108
2019-05,108.7
2019-06,108.8
2019-07,110.2
2019-08,110.5
2019-09,110.59999999999999
2019-10,109.90000000000001
2019-11,108.8
2019-12,109.2
2020-01,109.40000000000001
2020-02,110.7
2020-03,111
2020-04,111
2020-05,111.5
2020-06,111.3
2020-07,111.90000000000001
2020-08,112.2
2020-09,111
2020-10,109.5
2020-11,109.5
2020-12,109.3
2021-01,109.5
2021-02,109.5
2021-03,109.7
2021-04,109.8
2021-05,110.5
2021-06,111
2021-07,113
2021-08,114.2
2021-09,113.59999999999999
2021-10,113.2
2021-11,113.3
2021-12,113.5
2022-01,115
2022-02,117.2
2022-03,121.2
2022-04,125.59999999999999
2022-05,130.5
2022-06,134.5
2022-07,135.69999999999999
2022-08,137.09999999999999
2022-09,137.30000000000001
2022-10,136.5
2022-11,136.19999999999999
2022-12,137.69999999999999
2023-01,137.90000000000001
2023-02,140.80000000000001
2023-03,144.30000000000001
2023-04,147.5
2023-05,149.40000000000001
2023-06,152.69999999999999
2023-07,154.09999999999999
2023-08,155.09999999999999
2023-09,154.09999999999999
2023-10,153.09999999999999
2023-11,152.59999999999999
2023-12,153.40000000000001
2024-01,153.80000000000001
2024-02,154.40000000000001
2024-03,157.30000000000001
2024-04,161.09999999999999
2024-05,164.69999999999999
2024-06,165.09999999999999
2024-07,167.69999999999999
2024-08,168.30000000000001
2024-09,167.69999999999999
2024-10,166.90000000000001
2024-11,166
2024-12,167.19999999999999
2025-01,167.19999999999999
2025-02,167.90000000000001
2025-03,170
2025-04,174.30000000000001
2025-05,177.40000000000001
2025-06,178.09999999999999
2025-07,179.09999999999999
2025-08,179.40000000000001
2025-09,178.69999999999999
2025-10,177.90000000000001
2025-11,177.30000000000001
2025-12,178.30000000000001
2026-01,178.59999999999999
2026-02,179.40000000000001
2026-03,181
2026-04,185.5
2026-05,188.90000000000001
2026-06,189
2026-07,190.5
2026-08,191.5
