sample,horizon,model,n,rmse,mae,bias,first_target,last_target,paper_rmse,difference_vs_paper
paper_window,1,AR3,187,0.7100861017193695,0.3845437887586125,-0.052996399277412294,2011-01,2026-07,,
paper_window,1,AR3_DIRECT,187,0.7100861017193696,0.3845437887586125,-0.0529963992774123,2011-01,2026-07,,
paper_window,1,ARIMA313,187,0.6875989382668091,0.3794717389778756,0.005665405351549641,2011-01,2026-07,,
paper_window,1,QRF_MEAN,187,0.6362465745628897,0.3554649120116959,-0.014919259611892667,2011-01,2026-07,,
paper_window,1,QRF_MEDIAN,187,0.6580324554510717,0.358150627222151,-0.09157448688965168,2011-01,2026-07,,
paper_window,1,RW,187,0.9242496081316491,0.5332405986682618,-0.0005137922613265675,2011-01,2026-07,,
paper_window,1,TVW1,187,0.641466521077219,0.35355929364781996,-0.05826301716254699,2011-01,2026-07,,
paper_window,1,TVW2,187,0.643618854706593,0.3545955191546972,-0.06922883851069588,2011-01,2026-07,,
paper_window,1,TVW3,187,0.6392228659414994,0.35510631490846384,-0.03044922023735059,2011-01,2026-07,,
paper_window,2,AR3,186,0.714661596803795,0.38351304093836946,-0.059326076036193984,2011-02,2026-07,,
paper_window,2,AR3_DIRECT,186,0.7259405265300333,0.3941295800019225,-0.06719840387290547,2011-02,2026-07,,
paper_window,2,ARIMA313,186,0.6935096770719743,0.3855700776127102,0.00552831097612799,2011-02,2026-07,,
paper_window,2,QRF_MEAN,186,0.6757077419017375,0.38172657182571873,-0.01654637194411266,2011-02,2026-07,,
paper_window,2,QRF_MEDIAN,186,0.6870752803000209,0.375904973805755,-0.0886562366596867,2011-02,2026-07,,
paper_window,2,RW,186,0.8955275454528522,0.5414142065873279,0.004631656165356332,2011-02,2026-07,,
paper_window,2,TVW1,186,0.677421818888452,0.37750408323151585,-0.06401318609995083,2011-02,2026-07,,
paper_window,2,TVW2,186,0.6784338108824925,0.37734917978668175,-0.07243909461300099,2011-02,2026-07,,
paper_window,2,TVW3,186,0.6833070355263018,0.3871354769809475,-0.0293160419072334,2011-02,2026-07,,
paper_window,3,AR3,185,0.7187275202382566,0.3798925796115178,-0.06472522895996663,2011-03,2026-07,0.71,0.008727520238256625
paper_window,3,AR3_DIRECT,185,0.7340720081262253,0.39472507743287377,-0.06785685806907318,2011-03,2026-07,,
paper_window,3,ARIMA313,185,0.732102138024047,0.40095700012156393,0.0024742502228829013,2011-03,2026-07,0.716,0.01610213802404703
paper_window,3,QRF_MEAN,185,0.692615195566823,0.3902523803324692,-0.007517945235083215,2011-03,2026-07,0.713,-0.020384804433176917
paper_window,3,QRF_MEDIAN,185,0.7126525358468176,0.3820341514550745,-0.09739850021156835,2011-03,2026-07,0.731,-0.018347464153182336
paper_window,3,RW,185,0.9637531177691088,0.5077197290152711,0.0042047813764639,2011-03,2026-07,0.896,0.06775311776910875
paper_window,3,TVW1,185,0.6966257431770916,0.38112803910868265,-0.07155329688797311,2011-03,2026-07,0.694,0.002625743177091633
paper_window,3,TVW2,185,0.704105769864922,0.38300185176381674,-0.08157333302283572,2011-03,2026-07,0.701,0.003105769864922059
paper_window,3,TVW3,185,0.6935623346411646,0.38795075862580913,-0.04367191244676159,2011-03,2026-07,0.669,0.02456233464116453
paper_window,4,AR3,184,0.7083479786846232,0.3850448791971528,-0.07721518219437086,2011-04,2026-07,,
paper_window,4,AR3_DIRECT,184,0.7143472373666133,0.3909240102264961,-0.062199702614615,2011-04,2026-07,,
paper_window,4,ARIMA313,184,0.7009454765876524,0.4034567144137561,0.0025831844260813096,2011-04,2026-07,,
paper_window,4,QRF_MEAN,184,0.6789008822557536,0.39420492143485025,-0.035757430739440196,2011-04,2026-07,,
paper_window,4,QRF_MEDIAN,184,0.6826113204104968,0.3796629835384374,-0.11211046806573992,2011-04,2026-07,,
paper_window,4,RW,184,0.9644780840205931,0.568966756179286,0.002386044191596389,2011-04,2026-07,,
paper_window,4,TVW1,184,0.678563013348119,0.3870934798043793,-0.08272664204826027,2011-04,2026-07,,
paper_window,4,TVW2,184,0.6819908450615684,0.3850991632458021,-0.09601712991266596,2011-04,2026-07,,
paper_window,4,TVW3,184,0.6774448561206567,0.39552485607505294,-0.054900447677357085,2011-04,2026-07,,
paper_window,5,AR3,183,0.7114749583655751,0.3851398771562147,-0.082238985926221,2011-05,2026-07,,
paper_window,5,AR3_DIRECT,183,0.7048751939069943,0.383726242256274,-0.05191559757993237,2011-05,2026-07,,
paper_window,5,ARIMA313,183,0.7000787831140458,0.4016982807752752,0.0019800730462307525,2011-05,2026-07,,
paper_window,5,QRF_MEAN,183,0.6837549445704999,0.39508742304321054,-0.04136364015467904,2011-05,2026-07,,
paper_window,5,QRF_MEDIAN,183,0.6722765950083436,0.3813982320825598,-0.1222374852578953,2011-05,2026-07,,
paper_window,5,RW,183,0.9482741008686943,0.5805076043048999,0.0004135171493649377,2011-05,2026-07,,
paper_window,5,TVW1,183,0.6780618488657358,0.3924213510172328,-0.08895900017663191,2011-05,2026-07,,
paper_window,5,TVW2,183,0.6782189943799405,0.38770923066353885,-0.102204012631775,2011-05,2026-07,,
paper_window,5,TVW3,183,0.6841629473215136,0.40997591168265396,-0.05145823497028273,2011-05,2026-07,,
paper_window,6,AR3,182,0.7097118518929223,0.38562765747590444,-0.08294912477599478,2011-06,2026-07,0.74,-0.030288148107077695
paper_window,6,AR3_DIRECT,182,0.7105543421742302,0.3867236397941744,-0.05546871468524255,2011-06,2026-07,,
paper_window,6,ARIMA313,182,0.7003762795365669,0.40978817888029256,0.0015648550860201042,2011-06,2026-07,0.736,-0.035623720463433095
paper_window,6,QRF_MEAN,182,0.6863531463356144,0.38706629423235045,-0.07252090747697149,2011-06,2026-07,0.723,-0.03664685366438558
paper_window,6,QRF_MEDIAN,182,0.6843562387974009,0.37449802025832557,-0.16127854239570996,2011-06,2026-07,0.708,-0.023643761202599034
paper_window,6,RW,182,0.8731662531138278,0.5230586840491249,0.0036740215989702596,2011-06,2026-07,0.715,0.15816625311382781
paper_window,6,TVW1,182,0.6826827114776306,0.3810183165996565,-0.10823507957064352,2011-06,2026-07,0.688,-0.005317288522369346
paper_window,6,TVW2,182,0.6803772642010512,0.3776850781004741,-0.12852934130849775,2011-06,2026-07,0.693,-0.012622735798948792
paper_window,6,TVW3,182,0.6818848039290263,0.3879776411123002,-0.06918053794892799,2011-06,2026-07,0.661,0.020884803929026252
paper_window,7,AR3,181,0.7165772789339905,0.3914758838595835,-0.08811559602448843,2011-07,2026-07,,
paper_window,7,AR3_DIRECT,181,0.7302702920966719,0.40604197005214415,-0.06836290074041594,2011-07,2026-07,,
paper_window,7,ARIMA313,181,0.7123390983990363,0.4246703041864545,0.0004790487683618637,2011-07,2026-07,,
paper_window,7,QRF_MEAN,181,0.6754369217892907,0.37698700407846486,-0.08898499923372952,2011-07,2026-07,,
paper_window,7,QRF_MEDIAN,181,0.6895359797467147,0.36968489997647486,-0.16153222137686893,2011-07,2026-07,,
paper_window,7,RW,181,0.953552999059399,0.5802309274629835,-0.0015150281373564644,2011-07,2026-07,,
paper_window,7,TVW1,181,0.6761537307764779,0.3726396892351615,-0.11602002538662214,2011-07,2026-07,,
paper_window,7,TVW2,181,0.6787011211787152,0.3742748183731044,-0.13442081227022137,2011-07,2026-07,,
paper_window,7,TVW3,181,0.6726336385409892,0.38088018760965775,-0.07104881319968633,2011-07,2026-07,,
paper_window,8,AR3,180,0.7207710883538346,0.39336673306311365,-0.09027562976167504,2011-08,2026-07,,
paper_window,8,AR3_DIRECT,180,0.746671343113729,0.4101306196694474,-0.07868524654327322,2011-08,2026-07,,
paper_window,8,ARIMA313,180,0.701466638569236,0.42267665038825725,0.0007730073573087292,2011-08,2026-07,,
paper_window,8,QRF_MEAN,180,0.6831372322667689,0.3894860640630937,-0.0480692906684213,2011-08,2026-07,,
paper_window,8,QRF_MEDIAN,180,0.6962888727385358,0.3705592315944522,-0.15007184368484416,2011-08,2026-07,,
paper_window,8,RW,180,0.986355396110954,0.5710363393510224,0.0010755415101804092,2011-08,2026-07,,
paper_window,8,TVW1,180,0.6806368546284393,0.37510883573591247,-0.09974059645837546,2011-08,2026-07,,
paper_window,8,TVW2,180,0.6839738324719048,0.3725513455524196,-0.11948707864829201,2011-08,2026-07,,
paper_window,8,TVW3,180,0.6778261915969668,0.3863460888391439,-0.06518404251135733,2011-08,2026-07,,
paper_window,9,AR3,179,0.7240080555631416,0.3932341766897841,-0.09410691303074156,2011-09,2026-07,0.753,-0.028991944436858375
paper_window,9,AR3_DIRECT,179,0.737769658634696,0.4102246389557773,-0.06775768105553813,2011-09,2026-07,,
paper_window,9,ARIMA313,179,0.7157808323652742,0.42926346510021923,-0.004485287678124152,2011-09,2026-07,0.787,-0.0712191676347258
paper_window,9,QRF_MEAN,179,0.711216646006313,0.41479550120607933,-0.01733103204249424,2011-09,2026-07,0.737,-0.02578335399368703
paper_window,9,QRF_MEDIAN,179,0.7127195374788833,0.392044370856819,-0.11140720379387284,2011-09,2026-07,0.748,-0.03528046252111672
paper_window,9,RW,179,0.9581931750674937,0.5360628544759793,0.0016960895243672005,2011-09,2026-07,1.005,-0.04680682493250621
paper_window,9,TVW1,179,0.7070272183320264,0.40523771081816023,-0.06943301224141259,2011-09,2026-07,0.732,-0.024972781667973565
paper_window,9,TVW2,179,0.709834518660547,0.3978893505894114,-0.09007663335236721,2011-09,2026-07,0.738,-0.028165481339452958
paper_window,9,TVW3,179,0.7085535976917119,0.4164456259732235,-0.04185526642968805,2011-09,2026-07,0.712,-0.003446402308288077
paper_window,10,AR3,178,0.7264107758164816,0.3930888368926009,-0.09800257354246794,2011-10,2026-07,,
paper_window,10,AR3_DIRECT,178,0.6582337294088161,0.3928069180239088,-0.0160970033976955,2011-10,2026-07,,
paper_window,10,ARIMA313,178,0.7181900744896135,0.4312396438774193,-0.006602289125680553,2011-10,2026-07,,
