edge,horizon,model,forecast,target_period,actual,convention,policy
2010-12,1,QRF_MEDIAN,0.4314994606256617,2011-01,0.6417112299465177,realtime,independent
2010-12,1,QRF_MEAN,0.6547151194566386,2011-01,0.6417112299465177,realtime,independent
2010-12,1,TVW1,0.6023164574452,2011-01,0.6417112299465177,realtime,independent
2010-12,1,TVW2,0.5181601853748363,2011-01,0.6417112299465177,realtime,independent
2010-12,1,TVW3,0.6584385452311486,2011-01,0.6417112299465177,realtime,independent
2010-12,2,QRF_MEDIAN,0.2202643171806295,2011-02,0.1062699256110688,realtime,independent
2010-12,2,QRF_MEAN,0.29260558236538864,2011-02,0.1062699256110688,realtime,independent
2010-12,2,TVW1,0.25602636542461954,2011-02,0.1062699256110688,realtime,independent
2010-12,2,TVW2,0.2442845699757167,2011-02,0.1062699256110688,realtime,independent
2010-12,2,TVW3,0.2375857544468853,2011-02,0.1062699256110688,realtime,independent
2010-12,3,QRF_MEDIAN,0.2184630509898255,2011-03,0.1061571125265281,realtime,independent
2010-12,3,QRF_MEAN,0.22253652268262186,2011-03,0.1061571125265281,realtime,independent
2010-12,3,TVW1,0.24468916305547214,2011-03,0.1061571125265281,realtime,independent
2010-12,3,TVW2,0.19171304662721486,2011-03,0.1061571125265281,realtime,independent
2010-12,3,TVW3,0.22096911702708927,2011-03,0.1061571125265281,realtime,independent
2010-12,4,QRF_MEDIAN,0.2155172413793149,2011-04,0.212089077412525,realtime,independent
2010-12,4,QRF_MEAN,0.2124180340734212,2011-04,0.212089077412525,realtime,independent
2010-12,4,TVW1,0.2588066808019906,2011-04,0.212089077412525,realtime,independent
2010-12,4,TVW2,0.2196885428253647,2011-04,0.212089077412525,realtime,independent
2010-12,4,TVW3,0.25066788897221914,2011-04,0.212089077412525,realtime,independent
2010-12,5,QRF_MEDIAN,0.22777921741384816,2011-05,0.5291005291005346,realtime,independent
2010-12,5,QRF_MEAN,0.3083364798802543,2011-05,0.5291005291005346,realtime,independent
2010-12,5,TVW1,0.2532423944682121,2011-05,0.5291005291005346,realtime,independent
2010-12,5,TVW2,0.268102837408013,2011-05,0.5291005291005346,realtime,independent
2010-12,5,TVW3,0.2875655247237892,2011-05,0.5291005291005346,realtime,independent
2010-12,6,QRF_MEDIAN,0.0,2011-06,-0.1052631578947305,realtime,independent
2010-12,6,QRF_MEAN,0.04667701856081966,2011-06,-0.1052631578947305,realtime,independent
2010-12,6,TVW1,0.052133086091386,2011-06,-0.1052631578947305,realtime,independent
2010-12,6,TVW2,0.008213793490298462,2011-06,-0.1052631578947305,realtime,independent
2010-12,6,TVW3,0.0842411293972909,2011-06,-0.1052631578947305,realtime,independent
2010-12,7,QRF_MEDIAN,0.0,2011-07,0.2107481559536328,realtime,independent
2010-12,7,QRF_MEAN,0.03936027659195994,2011-07,0.2107481559536328,realtime,independent
2010-12,7,TVW1,0.08465393151028561,2011-07,0.2107481559536328,realtime,independent
