edge,horizon,validation_n,calibration_status,validation_first_origin,validation_last_origin,validation_last_target
2023-01,1,0,fixed_insufficient_history,2022-01,2022-12,2023-01
2023-02,1,1,fixed_insufficient_history,2022-02,2023-01,2023-02
2023-03,1,2,fixed_insufficient_history,2022-03,2023-02,2023-03
2023-04,1,3,fixed_insufficient_history,2022-04,2023-03,2023-04
2023-05,1,4,fixed_insufficient_history,2022-05,2023-04,2023-05
2023-06,1,5,fixed_insufficient_history,2022-06,2023-05,2023-06
2023-07,1,6,fixed_insufficient_history,2022-07,2023-06,2023-07
2023-08,1,7,fixed_insufficient_history,2022-08,2023-07,2023-08
2023-09,1,8,fixed_insufficient_history,2022-09,2023-08,2023-09
2023-10,1,9,fixed_insufficient_history,2022-10,2023-09,2023-10
2023-11,1,10,fixed_insufficient_history,2022-11,2023-10,2023-11
2023-12,1,11,fixed_insufficient_history,2022-12,2023-11,2023-12
2024-01,1,12,past_origin_forecasts,2023-01,2023-12,2024-01
2024-02,1,12,past_origin_forecasts,2023-02,2024-01,2024-02
2022-11,3,0,fixed_insufficient_history,2021-09,2022-08,2022-11
2022-12,3,0,fixed_insufficient_history,2021-10,2022-09,2022-12
2023-01,3,0,fixed_insufficient_history,2021-11,2022-10,2023-01
2023-02,3,1,fixed_insufficient_history,2021-12,2022-11,2023-02
2023-03,3,2,fixed_insufficient_history,2022-01,2022-12,2023-03
2023-04,3,3,fixed_insufficient_history,2022-02,2023-01,2023-04
2023-05,3,4,fixed_insufficient_history,2022-03,2023-02,2023-05
2023-06,3,5,fixed_insufficient_history,2022-04,2023-03,2023-06
2023-07,3,6,fixed_insufficient_history,2022-05,2023-04,2023-07
2023-08,3,7,fixed_insufficient_history,2022-06,2023-05,2023-08
2023-09,3,8,fixed_insufficient_history,2022-07,2023-06,2023-09
2023-10,3,9,fixed_insufficient_history,2022-08,2023-07,2023-10
2023-11,3,10,fixed_insufficient_history,2022-09,2023-08,2023-11
2023-12,3,11,fixed_insufficient_history,2022-10,2023-09,2023-12
2024-01,3,12,past_origin_forecasts,2022-11,2023-10,2024-01
2024-02,3,12,past_origin_forecasts,2022-12,2023-11,2024-02
2022-01,13,0,fixed_insufficient_history,2020-01,2020-12,2022-01
2022-02,13,0,fixed_insufficient_history,2020-02,2021-01,2022-02
2022-03,13,0,fixed_insufficient_history,2020-03,2021-02,2022-03
2022-04,13,0,fixed_insufficient_history,2020-04,2021-03,2022-04
2022-05,13,0,fixed_insufficient_history,2020-05,2021-04,2022-05
2022-06,13,0,fixed_insufficient_history,2020-06,2021-05,2022-06
2022-07,13,0,fixed_insufficient_history,2020-07,2021-06,2022-07
2022-08,13,0,fixed_insufficient_history,2020-08,2021-07,2022-08
2022-09,13,0,fixed_insufficient_history,2020-09,2021-08,2022-09
2022-10,13,0,fixed_insufficient_history,2020-10,2021-09,2022-10
2022-11,13,0,fixed_insufficient_history,2020-11,2021-10,2022-11
2022-12,13,0,fixed_insufficient_history,2020-12,2021-11,2022-12
2023-01,13,0,fixed_insufficient_history,2021-01,2021-12,2023-01
2023-02,13,1,fixed_insufficient_history,2021-02,2022-01,2023-02
2023-03,13,2,fixed_insufficient_history,2021-03,2022-02,2023-03
2023-04,13,3,fixed_insufficient_history,2021-04,2022-03,2023-04
2023-05,13,4,fixed_insufficient_history,2021-05,2022-04,2023-05
2023-06,13,5,fixed_insufficient_history,2021-06,2022-05,2023-06
2023-07,13,6,fixed_insufficient_history,2021-07,2022-06,2023-07
2023-08,13,7,fixed_insufficient_history,2021-08,2022-07,2023-08
2023-09,13,8,fixed_insufficient_history,2021-09,2022-08,2023-09
2023-10,13,9,fixed_insufficient_history,2021-10,2022-09,2023-10
2023-11,13,10,fixed_insufficient_history,2021-11,2022-10,2023-11
2023-12,13,11,fixed_insufficient_history,2021-12,2022-11,2023-12
2024-01,13,12,past_origin_forecasts,2022-01,2022-12,2024-01
