"Ukazatel","IndicatorType","Reprezentant","REPRCENZEM","Měsíce, jejich kumulace, čtvrtletí, roky","CASMKMQR","ČR a kraje-Stát","UZ02HU.STAT","ČR a kraje-Kraj","UZ02HU.KRAJ","Hodnota"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2010","2010-01","Česko","CZ","","","2661"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden 2010","2010-01K","Česko","CZ","","","2661"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","únor 2010","2010-02","Česko","CZ","","","2733"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - únor 2010","2010-02K","Česko","CZ","","","2697"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","březen 2010","2010-03","Česko","CZ","","","2756"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - březen 2010","2010-03K","Česko","CZ","","","2717"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","duben 2010","2010-04","Česko","CZ","","","2741"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - duben 2010","2010-04K","Česko","CZ","","","2723"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","květen 2010","2010-05","Česko","CZ","","","2731"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - květen 2010","2010-05K","Česko","CZ","","","2724"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","červen 2010","2010-06","Česko","CZ","","","2810"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - červen 2010","2010-06K","Česko","CZ","","","2739"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","červenec 2010","2010-07","Česko","CZ","","","2916"
"Průměrná cena zemědělských výrobků (Kč)","6277","Pšenice potravinářská [t]","1011","leden - červenec 2010","2010-07K","Česko","CZ","","","2764"
