product,effective_month,landing_months,statutory_step_pct,step_basis,available_from,provenance,source,computation
cigarettes,2020-03,2020-04|2020-05|2020-06,6.4,retail_price_pct,2019-12-31,reconstructed,cs.wikipedia Spotřební daň (rates 1.46/27%/2.63 to 1.61/30%/2.90 from 1 March 2020); Customs Administration WebKTV page (WAP 2021 102.38 Kč/pack) opened 2026-09-20,"minimum excise 2.63 -> 2.90 Kč/piece; (0.27 x 20 x 1.21) / 102.38 = 6.38%; WAP 2020 not on the opened page, WAP 2021 used as denominator; act 80/2019 Sb. not opened"
cigarettes,2021-01,2021-02|2021-03|2021-04,4.3,retail_price_pct,2020-12-31,reconstructed,finance.cz cigarette calculator (2021 rates 1.79/30%/3.20) opened 2026-09-20; effective date 1 January 2021 from a search snippet (podnikatel.cz) not opened; act 609/2020 Sb. not opened,"E_2021 = 1.79 + 0.30 x 102.38/20 = 3.326; E_2020 approximated as 1.61 + 0.30 x 102.38/20 = 3.146; (0.180 x 20 x 1.21) / 102.38 = 4.25%"
cigarettes,2022-01,2022-02|2022-03|2022-04,6.6,retail_price_pct,2020-12-31,sourced_secondary,finance.cz cigarette calculator (2022 rates 1.88/30%/3.36) and finance.cz article on 2023 rates opened 2026-09-20; Customs Administration WebKTV page (WAP 2022 114.98) opened 2026-09-20; available_from reconstructed (2021 tax package sets 2022-2023 rates),"E_2022 = 1.88 + 0.30 x 114.98/20 = 3.605; E_2021 = 3.326; (0.279 x 20 x 1.21) / 102.38 = 6.59%"
cigarettes,2023-01,2023-02|2023-03|2023-04,5.1,retail_price_pct,2020-12-31,sourced_secondary,finance.cz article (2023 rates 1.97/30%/3.52 against 1.88/30%/3.36) opened 2026-09-20; Customs Administration WebKTV page (WAP 2023 125.24) opened 2026-09-20; available_from reconstructed,"E_2023 = 1.97 + 0.30 x 125.24/20 = 3.849; E_2022 = 3.605; (0.244 x 20 x 1.21) / 114.98 = 5.13%"
cigarettes,2024-02,2024-03|2024-04|2024-05,7.2,retail_price_pct,2023-12-19,sourced_primary,Ministry of Finance press release 27 March 2024 (+10% from 1 February 2024; old-rate stock sold through end-April; +5% a year 2025-2027) opened 2026-09-20; podnikatel.cz 1 February 2024 (2024 rates 2.17/30%/min 4.22) opened 2026-09-20; Customs Administration WebKTV page (WAP 2024 135.14) opened 2026-09-20; kurzy.cz 19 December 2023 (package in force from 1 January 2024) opened 2026-09-20,"E_2024 = max(2.17 + 0.30 x 135.14/20 = 4.197, 4.22) = 4.22; E_2023 = 3.849; (0.371 x 20 x 1.21) / 125.24 = 7.17%"
cigarettes,2025-01,2025-02|2025-03|2025-04,4.2,retail_price_pct,2023-12-19,sourced_secondary,Ministry of Finance press release 27 March 2024 (+5% a year 2025-2027; 1 January of each year) opened 2026-09-20; finance.cz calculator (2025 rates 2.28/30%/4.44) opened 2026-09-20; Customs Administration WebKTV page (WAP 2025 144.94) opened 2026-09-20,"E_2025 = max(2.28 + 0.30 x 144.94/20 = 4.454, 4.44) = 4.454; E_2024 = 4.22; (0.234 x 20 x 1.21) / 135.14 = 4.19%"
cigarettes,2026-01,2026-02|2026-03|2026-04,3.4,retail_price_pct,2023-12-19,sourced_secondary,Ministry of Finance press release 27 March 2024 opened 2026-09-20; finance.cz calculator 2026 (2.39/30%/4.66) opened 2026-09-20; WAP 2026 not on the opened page,"E_2026 at WAP 2025 = max(2.39 + 0.30 x 144.94/20 = 4.564, 4.66) = 4.66; E_2025 = 4.454; (0.206 x 20 x 1.21) / 144.94 = 3.44%"
spirits,2020-01,2020-01,13.2,excise_rate_pct,2019-12-31,reconstructed,not opened (rate 28 500 -> 32 250 Kč/hl ethanol from 1 January 2020),"rate change 13.2%; retail step = rate change x theta (declared 0.45)"
spirits,2024-01,2024-01,10.0,excise_rate_pct,2023-12-19,sourced_secondary,kurzy.cz 19 December 2023 (spirits excise +10% in 2024 and 2025 and +5% in 2026) opened 2026-09-20,"rate change 10%; retail step = rate change x theta (declared 0.45)"
spirits,2025-01,2025-01,10.0,excise_rate_pct,2023-12-19,sourced_secondary,kurzy.cz 19 December 2023 opened 2026-09-20,"rate change 10%; retail step = rate change x theta (declared 0.45)"
spirits,2026-01,2026-01,5.0,excise_rate_pct,2023-12-19,sourced_secondary,kurzy.cz 19 December 2023 opened 2026-09-20,"rate change 5%; retail step = rate change x theta (declared 0.45)"
