h,sample,n,rmse_base,rmse_cand,ratio,bias_base,bias_cand
1,full,88,1.008287218035587,0.998504551944154,0.9902977386636991,-0.16165518441515825,-0.21112774699011225
1,origins_2019_2021,34,0.9561592243990182,0.9419764933169692,0.9851669777165373,-0.09665822728203703,-0.16022351099131327
1,origins_2022_2023,24,1.2867101474393394,1.276869941510904,0.9923524299951949,-0.3981038873117026,-0.5609166171577742
1,origins_2024plus,30,0.7883625695172018,0.7839771112042503,0.9944372570660766,-0.04615944018212681,0.011011881678711817
2,full,86,1.0330397770130253,1.0175125599778316,0.98496939093663,-0.14489444877257462,-0.1858533053153679
2,origins_2019_2021,33,0.9607751495800412,0.957730973237104,0.996831541340065,-0.1026217830086086,-0.15519757827217992
2,origins_2022_2023,24,1.3234613994113926,1.303957712143704,0.9852631234455627,-0.3481258615363754,-0.47023540892092913
2,origins_2024plus,29,0.8153185633679957,0.7870064213392307,0.9652747486677962,-0.02480631304428699,0.014613297929744942
3,full,84,1.0746280481185166,1.0489723942229299,0.976126015005373,-0.1484322146549148,-0.1818167962647152
3,origins_2019_2021,32,0.9875105935712372,0.967304857273791,0.9795387143905221,-0.1357903990097779,-0.17822960964528664
3,origins_2022_2023,24,1.3974090448353205,1.3602419236583585,0.9734028333977601,-0.3241919206684769,-0.41577408120689213
3,origins_2024plus,28,0.8223142141033226,0.8035836448743664,0.977222126399237,-0.012228827380589573,0.014618377549232484
4,full,83,1.0886927791017937,1.0676655473603958,0.9806857984685577,-0.1425455300685857,-0.16871325978098337
4,origins_2019_2021,32,1.1609167068377182,1.1495683027522268,0.9902246181671346,-0.2384520352590332,-0.2702814432356647
4,origins_2022_2023,24,1.2891049153945546,1.2562829899841252,0.9745389804829162,-0.25983467785586184,-0.32852129825967336
4,origins_2024plus,27,0.7543855603006318,0.7314710438653561,0.9696249270384445,0.07537845930137538,0.09371543629451157
5,full,82,1.1086226540360486,1.0816410905414113,0.9756620853845911,-0.15302531585001994,-0.17281999776017465
5,origins_2019_2021,32,1.2518749446561184,1.2260461471914224,0.9793679092508789,-0.35921775281480267,-0.3830898087972762
5,origins_2022_2023,24,1.2053466189997957,1.1745697162809552,0.9744663466643484,-0.12572717912937517,-0.17724214443223377
5,origins_2024plus,26,0.7786295680224237,0.7525061051177527,0.9664494337518934,0.07555171113373282,0.09005559736738954
6,full,81,1.1251560957771964,1.10397829062519,0.9811778959101867,-0.14447246167904013,-0.15912774019806997
6,origins_2019_2021,32,1.3115061446104965,1.289338854428381,0.9830978373428064,-0.4162154849344015,-0.4341195269212567
6,origins_2022_2023,24,1.1490615140351395,1.1225648893424167,0.9769406386263212,-0.011436990071683256,-0.050073214048827176
6,origins_2024plus,25,0.7953442263803763,0.7817912051653307,0.982959552901106,0.07564455534475992,0.08816940170433607
7,full,80,1.1299396675632,1.1299396675632,1.0,-0.1300026733434909,-0.13000267334349086
7,origins_2019_2021,32,1.3402340791927685,1.3402340791927685,1.0,-0.44013552216049356,-0.44013552216049356
7,origins_2022_2023,24,1.104557264604339,1.104557264604339,1.0,0.034566326994094766,0.03456632699409476
7,origins_2024plus,24,0.8005387192049577,0.8005387192049577,1.0,0.1189387914082603,0.1189387914082603
8,full,79,1.1444997940465376,1.1444997940465378,1.0000000000000002,-0.1254773287482068,-0.12547732874820683
8,origins_2019_2021,32,1.3507037130822808,1.3507037130822808,1.0,-0.45887942999442266,-0.45887942999442266
8,origins_2022_2023,24,1.1273490292914339,1.127349029291434,1.0000000000000002,0.032239506692701314,0.032239506692701335
8,origins_2024plus,23,0.796669857918692,0.7966698579186919,0.9999999999999999,0.17381237513427616,0.17381237513427616
9,full,78,1.147952292092082,1.147952292092082,1.0,-0.10953018872297275,-0.10953018872297274
9,origins_2019_2021,32,1.3358404111444964,1.3358404111444966,1.0000000000000002,-0.432877221442667,-0.432877221442667
9,origins_2022_2023,24,1.1753308135118594,1.1753308135118594,1.0,-0.005421558805550286,-0.005421558805550249
9,origins_2024plus,22,0.7547209124646721,0.7547209124646721,1.0,0.24721971714121266,0.24721971714121266
10,full,77,1.1593536403019544,1.1593536403019544,1.0,-0.11460459000898497,-0.11460459000898497
10,origins_2019_2021,32,1.40425447664595,1.40425447664595,1.0,-0.5261537052310221,-0.5261537052310221
10,origins_2022_2023,24,1.0776333458759044,1.0776333458759044,1.0,0.12058161025699658,0.12058161025699661
10,origins_2024plus,21,0.7722243404438428,0.7722243404438428,1.0,0.24373364240633077,0.24373364240633077
11,full,76,1.1594775932201387,1.1594775932201387,1.0,-0.10031655865694811,-0.10031655865694811
11,origins_2019_2021,32,1.4167487720284817,1.4167487720284817,1.0,-0.5385059300432505,-0.5385059300432505
11,origins_2022_2023,24,1.0302290555113955,1.0302290555113955,1.0,0.1853647143545045,0.1853647143545045
11,origins_2024plus,20,0.78964921188318,0.78964921188318,1.0,0.2579689079473927,0.2579689079473927
12,full,75,1.1691266726303293,1.1691266726303293,1.0,-0.12589013180556166,-0.12589013180556166
12,origins_2019_2021,32,1.4422740938388083,1.4422740938388083,1.0,-0.5272656569609966,-0.5272656569609966
12,origins_2022_2023,24,0.9718758252018898,0.9718758252018898,1.0,0.11519456057771565,0.11519456057771565
12,origins_2024plus,19,0.8360407759577476,0.8360407759577476,1.0,0.24558272018261004,0.24558272018261004
