H,group,n,sign_agreement,correlation,mean_needed,mean_applied
3,full,84,0.6071428571428571,0.36042868452160304,0.4509565851602152,-0.13724772439584582
3,origins_2019_2021,32,0.53125,0.36440453586935984,0.3047920329177584,-0.1744723103904247
3,origins_2022_2023,24,0.7083333333333334,0.6442442306060022,1.070421669516555,-0.37650443776904075
3,origins_2024plus,28,0.6071428571428571,0.4351220977302234,0.08703171541758856,0.11037184248926853
3,2019,8,0.25,-0.5510743406705049,0.7259430128631431,-0.008903553232932876
3,2020,12,0.6666666666666666,0.44823072290692,-0.538956155746672,-0.6360388910872171
3,2021,12,0.5833333333333334,0.34457916331748745,0.867772901618599,0.17671509886803993
3,2022,12,0.5833333333333334,0.3904010352769636,3.637493993512368,-0.10183299041182808
3,2023,12,0.8333333333333334,-0.04920126459362667,-1.4966506544792584,-0.6511758851262534
3,2024,12,0.6666666666666666,0.17747681610136645,0.9398693083432411,0.41979083590368554
3,2025,12,0.5833333333333334,0.3727134542675788,-0.4439504611845921,-0.18436117594441945
3,2026,4,0.5,-0.3923239446237056,-0.8785345335528276,0.06631391754708119
6,full,81,0.7283950617283951,0.5513676290674119,0.9338281576079297,-0.20306305668137248
6,origins_2019_2021,32,0.6875,0.6312732864109944,1.318677305925996,-0.24807781633638507
6,origins_2022_2023,24,0.875,0.7996553472499648,1.467420516573475,-0.535342247452855
6,origins_2024plus,25,0.64,0.6895495523803142,-0.07102741684611913,0.17354385881766674
6,2019,8,0.625,-0.5088214670673827,2.100529102052425,-0.012659739753076327
6,2020,12,0.8333333333333334,0.6961334076306296,-1.4664161525144042,-0.9043677982646371
6,2021,12,0.5833333333333334,0.5289238732985256,3.5825362336154427,0.25126678120299434
6,2022,12,0.75,0.7349338430294112,5.757962000018804,-0.1447937832418183
6,2023,12,1.0,0.05899016787312938,-2.8231209668718544,-0.9258907116638916
6,2024,12,0.6666666666666666,0.6351899663313451,1.690487621574302,0.5968900948005528
6,2025,12,0.6666666666666666,0.381548564014563,-1.5892706563862926,-0.26213854704597134
6,2026,1,0.0,,-2.9902890034090914,0.32157789738669085
