period,HARD_BASE,HARD_HALF,HARD_FULL,contrib_core,contrib_food,contrib_alcohol_tobacco,contrib_administered,contrib_fuel,contrib_wedge,ready
2019-02,0.32857290020160873,0.3473038858977325,0.3660348715938562,0.18836172508973953,0.11442576773196374,0.006910846275000001,0.007303811248456887,-0.041821774025905215,0.05339252388235379,True
2019-03,0.1021097530141855,0.10794887226485014,0.11378799151551479,0.02399338666022432,0.027916662547658642,0.048375923925,0.01435372449678358,0.03244097671787357,-0.04497092133335462,True
2019-04,0.3970127355464293,0.45133072415422226,0.5056487127620153,0.20411252644712466,0.008171485366865905,0.05989400105000001,0.014768668307319967,0.12096221096328856,-0.010896156588169796,True
2019-05,0.23493854729699193,0.23666522814952445,0.23839190900205695,0.06289766534581288,0.020525375116008656,0.013821692549999999,0.014679014287885348,0.08757839948911594,0.03543640050816908,True
2019-06,0.13988177303767663,0.15093129408286224,0.16198081512804785,0.09783699546755481,0.04258780908570624,-0.00460723085,0.0,-0.002420898744511298,0.006485098078926884,True
2019-07,0.4466106673765021,0.44503960225894634,0.44346853714139056,0.3639823797916147,0.058068317278547325,0.050679539350000004,0.007388281358938555,-0.037670072282528076,0.004162221879929616,True
2019-08,0.05132548793434605,0.052898559061901156,0.05447163018945627,0.146396862201457,-0.06290866699942169,-0.03225061595,0.0,-0.015034897502442893,0.015122806184753626,True
2019-09,-0.30990129285624773,-0.29889352298704946,-0.28788575311785125,-0.28758344436763544,-0.016269017697708058,0.025339769675000002,0.014644475161000956,-0.013555085963898851,-0.032477989663006315,True
2019-10,0.27032697848140896,0.3079214436650621,0.3455159088487152,0.14510400631473802,0.11261224482774788,0.011518077125,0.0,0.0023649300761288488,-0.0012722798622057676,True
2019-11,0.1424028219210881,0.14710590419037695,0.15180898645966578,0.0616626567568378,0.11267138505743286,-0.006910846274999999,0.0,-0.01711763710092031,-0.007902736517262256,True
2019-12,0.042600470212316326,0.025466621327539248,0.00833277244276217,0.06032601724491903,0.06317385478960745,-0.0460723085,0.0,-0.01485043088637205,-0.019976662435838108,False
2020-01,0.8869392550932522,0.896814915247007,0.9066905754007618,0.2074346496474298,0.22199877228097653,0.214236234525,0.21337474219040023,0.01886451969162188,0.011030336757823847,True
2020-02,0.3177047220001955,0.32630838152390096,0.33491204104760636,0.2195644693329741,0.11233957160354668,-0.01565516538,0.014224982812693349,-0.04763734873407365,0.034868212365054996,True
2020-03,-0.27179760906268546,-0.30393651809448596,-0.33607542712628646,0.003906397905174798,-0.11265881449161867,0.048704958959999996,0.014224982812693349,-0.19613893207565178,-0.029836202173283144,True
2020-04,-0.31597564097352326,-0.3431308298827438,-0.3702860187919643,0.09385596859575027,-0.041873452138555464,0.01739462820000001,0.014224982812693349,-0.3944090533478889,-0.005168715095522522,True
2020-05,0.19979229105719437,0.2629670691025452,0.32614184714789607,0.14606271958823766,0.08188857500852928,0.036528719220000005,0.008,-0.10734075716544988,0.034653034405877324,True
2020-06,0.35888153409163864,0.40256907911154055,0.44625662413144246,0.3022036874841693,-0.04042736012787818,-0.013915702560000002,0.0,0.10712172424094824,0.003899185054399284,True
