variant,origin,h,yy,actual_previous,scored
C0,2019-02,0,2.855030603616528,2.6794258373205744,False
C0,2019-02,1,3.1034964592958896,2.969348659003822,False
C0,2019-02,2,3.1468819050217762,2.769818529130847,False
C0,2019-02,3,2.927444914314777,2.9467680608364977,False
C0,2019-02,4,2.7320376388055903,2.7462121212121224,False
C0,2019-02,5,2.90931289022256,2.9300567107750517,False
C0,2019-02,6,2.8930909970373144,2.9272898961284195,False
C0,2019-02,7,3.126000178849659,2.6515151515151705,False
C0,2019-02,8,3.080462739795089,2.735849056603792,False
C0,2019-02,9,3.277255630999592,3.116147308781873,False
C0,2019-02,10,3.364146992004813,3.207547169811327,False
C0,2019-02,11,3.2446924488945936,3.6414565826330487,False
C0,2019-02,12,3.269110052599031,3.7278657968313063,False
C0,2019-03,0,2.9349470545297285,2.969348659003822,False
C0,2019-03,1,3.0067147899855504,2.769818529130847,True
C0,2019-03,2,2.765993244417662,2.9467680608364977,False
C0,2019-03,3,2.548816496837926,2.7462121212121224,False
C0,2019-03,4,2.702295364006634,2.9300567107750517,False
C0,2019-03,5,2.660861875775843,2.9272898961284195,False
C0,2019-03,6,2.8706161876134444,2.6515151515151705,False
C0,2019-03,7,2.7993902414964555,2.735849056603792,False
C0,2019-03,8,2.9688472531096264,3.116147308781873,False
C0,2019-03,9,3.0292763054575698,3.207547169811327,False
C0,2019-03,10,2.8811923742954164,3.6414565826330487,False
C0,2019-03,11,2.992142655962005,3.7278657968313063,False
C0,2019-03,12,2.945716313128584,3.4418604651162905,False
C0,2019-04,0,3.131646139591582,2.769818529130847,False
C0,2019-04,1,2.8913525023828246,2.9467680608364977,True
C0,2019-04,2,2.625476492209407,2.7462121212121224,True
C0,2019-04,3,2.7328540950030717,2.9300567107750517,False
C0,2019-04,4,2.646573473926892,2.9272898961284195,False
C0,2019-04,5,2.813818718827483,2.6515151515151705,False
C0,2019-04,6,2.7048358785936086,2.735849056603792,False
C0,2019-04,7,2.8333976081082657,3.116147308781873,False
C0,2019-04,8,2.8532731273525256,3.207547169811327,False
C0,2019-04,9,2.666505757320041,3.6414565826330487,False
C0,2019-04,10,2.737518298146192,3.7278657968313063,False
C0,2019-04,11,2.5580715084685695,3.4418604651162905,False
C0,2019-04,12,2.4030189281737013,3.159851301115256,False
C0,2019-05,0,2.5534783092200364,2.9467680608364977,False
C0,2019-05,1,2.365689888822148,2.7462121212121224,True
C0,2019-05,2,2.5019508564213195,2.9300567107750517,True
C0,2019-05,3,2.4370159806168306,2.9272898961284195,True
C0,2019-05,4,2.620330085324476,2.6515151515151705,True
C0,2019-05,5,2.523829439483617,2.735849056603792,True
C0,2019-05,6,2.6636705571368156,3.116147308781873,True
C0,2019-05,7,2.683711908896523,3.207547169811327,True
C0,2019-05,8,2.4970659865706324,3.6414565826330487,True
C0,2019-05,9,2.567713036763281,3.7278657968313063,True
C0,2019-05,10,2.3881881236693205,3.4418604651162905,True
C0,2019-05,11,2.4811478450241213,3.159851301115256,True
C0,2019-05,12,2.4431724677898368,2.862419205909517,True
C0,2019-06,0,2.7662569431136212,2.7462121212121224,False
C0,2019-06,1,2.835457793792058,2.9300567107750517,True
C0,2019-06,2,2.7569409976634542,2.9272898961284195,True
C0,2019-06,3,2.926452275430438,2.6515151515151705,True
C0,2019-06,4,2.8191013847670114,2.735849056603792,True
C0,2019-06,5,2.94578382619886,3.116147308781873,True
C0,2019-06,6,2.962740572076388,3.207547169811327,True
