model,source,sample,n,rmse,mae,bias,consensus_rmse,closer_than_consensus,material_wins_big,material_losses_big,alerts,alerts_direction_right,alert_material_wins,alert_material_losses,alert_net_pp
HARD_HALF,C0,flash_era_2025plus,19,0.16960147811915155,0.13558778964758408,0.038127866517120065,0.19466570535691505,11,0,0,2,2,2,0,0.395818804367286
HARD_HALF,C1,flash_era_2025plus,19,0.16890439128098467,0.13410333864039015,0.03471695211071837,0.19466570535691505,11,0,0,2,2,2,0,0.37984321392677334
HARD_HALF,C2,flash_era_2025plus,19,0.1693503046725243,0.1352336934911024,0.03814831329485021,0.19466570535691505,11,0,0,2,2,2,0,0.3964507120960794
HARD_HALF,C3,flash_era_2025plus,19,0.16947857059558014,0.1354667968919186,0.038137941767424036,0.19466570535691505,11,0,0,2,2,2,0,0.39613686812688675
HARD_HALF,C123,flash_era_2025plus,19,0.16854421756560434,0.1336569879683238,0.034747858198738574,0.19466570535691505,11,0,0,2,2,2,0,0.38079509767923425
HARD_FULL,recorded,all,90,0.4139308470027306,0.2696268338876436,-0.005779131141549162,0.3815174380753199,42,9,2,23,16,9,10,-1.2904823398921823
HARD_FULL,C0,all,90,0.4150418415791206,0.27072377080072546,-3.0395298594952196e-05,0.3815174380753199,45,9,2,24,17,9,9,-1.1167720120163418
HARD_FULL,C1,all,90,0.4197397901272127,0.2743228311197903,-0.0011048873296835783,0.3815174380753199,43,7,3,25,18,11,10,-0.9587907685960682
HARD_FULL,C2,all,90,0.4149685689978289,0.27060819061554214,-6.811184032999511e-05,0.3815174380753199,45,9,2,24,17,9,9,-1.1105090848439638
HARD_FULL,C3,all,90,0.41475951577233017,0.270853925039442,-3.9432474368793986e-05,0.3815174380753199,46,8,2,24,17,9,9,-1.0988123246619474
HARD_FULL,C123,all,90,0.4193882856558153,0.2740885054209181,-0.0011485683141570526,0.3815174380753199,43,7,3,25,18,11,10,-0.9364653243512363
HARD_FULL,recorded,prints_2024plus,31,0.22531658006178432,0.17263970528256042,-0.002307685957092744,0.2409657986707497,17,2,1,5,4,3,2,0.365647072114763
HARD_FULL,C0,prints_2024plus,31,0.22856409944526676,0.17530103608349165,0.0021727141069932156,0.2409657986707497,18,2,1,5,4,3,2,0.375955441782999
HARD_FULL,C1,prints_2024plus,31,0.2299840343756596,0.17480215924082712,0.003704769554747434,0.2409657986707497,18,1,1,4,4,3,1,0.5641440858198041
HARD_FULL,C2,prints_2024plus,31,0.2284015219252348,0.1751235363810156,0.0022055575997664773,0.2409657986707497,18,2,1,5,4,3,2,0.37744634148944955
HARD_FULL,C3,prints_2024plus,31,0.22934969225676308,0.17683419448531493,0.0021675427975594657,0.2409657986707497,18,1,1,5,4,3,2,0.37536304891089856
HARD_FULL,C123,prints_2024plus,31,0.23080503330208135,0.17544306117427164,0.0037321884055433498,0.2409657986707497,18,1,1,4,4,3,1,0.5658975668863352
HARD_FULL,recorded,flash_era_2025plus,19,0.1638271242938502,0.13239549655765354,0.03984227670951719,0.19466570535691505,11,0,0,2,2,2,0,0.443920006158527
HARD_FULL,C0,flash_era_2025plus,19,0.168948984829655,0.1345663360272301,0.0461397841501756,0.19466570535691505,12,0,0,2,2,2,0,0.4433065362260623
HARD_FULL,C1,flash_era_2025plus,19,0.1661166409819491,0.1320736999598776,0.03941331075999053,0.19466570535691505,12,0,0,2,2,2,0,0.4106771678033132
HARD_FULL,C2,flash_era_2025plus,19,0.16868402991084216,0.13421032810888234,0.046160859532434734,0.19466570535691505,12,0,0,2,2,2,0,0.44393312196284096
HARD_FULL,C3,flash_era_2025plus,19,0.16883602056088592,0.1344453432715646,0.046149859400479575,0.19466570535691505,12,0,0,2,2,2,0,0.4436245999856633
HARD_FULL,C123,flash_era_2025plus,19,0.16576288170768724,0.1316096015229506,0.03944513021807592,0.19466570535691505,12,0,0,2,2,2,0,0.4116257814614427
