model,h,metric,sample,n_intended,n,mae,rmse,bias
DAMPED_P95_Q001_R16,1,headline_yy,full,88,88,0.5056151623007845,0.8581019950175658,-0.10475544511473478
DAMPED_P95_Q001_R16,1,headline_yy,origins_2019_2021,34,34,0.36923438760273813,0.45554483404169127,-0.12651008629360097
DAMPED_P95_Q001_R16,1,headline_yy,origins_2022_2023,24,24,1.0228069099652697,1.5059510371673812,-0.21738184505330127
DAMPED_P95_Q001_R16,1,headline_yy,origins_2024plus,30,30,0.24642664216031562,0.33230473408366284,0.01000093483883339
DAMPED_P95_Q001_R16,1,headline_yy,recent_targets,31,31,0.24601712412554907,0.3295854454664415,0.002138595551046745
DAMPED_P95_Q001_R16,2,headline_yy,full,86,86,0.7662708707850087,1.2208942508595748,-0.19187379912707025
DAMPED_P95_Q001_R16,2,headline_yy,origins_2019_2021,33,33,0.5279211971990029,0.6512164855099568,-0.2345757674198057
DAMPED_P95_Q001_R16,2,headline_yy,origins_2022_2023,24,24,1.5959050068704939,2.127102411015121,-0.38544002576677383
DAMPED_P95_Q001_R16,2,headline_yy,origins_2024plus,29,29,0.35090259362247533,0.43966406860860147,0.01691083511476265
DAMPED_P95_Q001_R16,2,headline_yy,recent_targets,31,31,0.3423737804505273,0.42891466447146165,0.0017097496585018594
DAMPED_P95_Q001_R16,3,headline_yy,full,84,84,0.9611615217245797,1.438726077601189,-0.3247589339317854
DAMPED_P95_Q001_R16,3,headline_yy,origins_2019_2021,32,32,0.8032704784878053,1.0696323472606608,-0.4941736835924415
DAMPED_P95_Q001_R16,3,headline_yy,origins_2022_2023,24,24,1.8063032643721222,2.326202483785055,-0.48947192246047333
DAMPED_P95_Q001_R16,3,headline_yy,origins_2024plus,28,28,0.4172012202972856,0.513861072651573,0.010040484419268239
DAMPED_P95_Q001_R16,3,headline_yy,recent_targets,31,31,0.40255356581335716,0.4959399828073451,-0.004955703278955179
DAMPED_P95_Q001_R16,4,headline_yy,full,83,83,1.135826626886123,1.6812281631071564,-0.4600727522896914
DAMPED_P95_Q001_R16,4,headline_yy,origins_2019_2021,32,32,1.0852610925953603,1.5207839056390524,-0.8039830731167541
DAMPED_P95_Q001_R16,4,headline_yy,origins_2022_2023,24,24,2.098606946487549,2.5402531223239695,-0.5408964273120763
DAMPED_P95_Q001_R16,4,headline_yy,origins_2024plus,27,27,0.33995142047390714,0.46041427025951326,0.019367931673392107
DAMPED_P95_Q001_R16,4,headline_yy,recent_targets,31,31,0.3756898550888412,0.4986250012457271,0.01696701473252594
DAMPED_P95_Q001_R16,5,headline_yy,full,82,82,1.3184836991706972,1.951096621162641,-0.6033179904573437
DAMPED_P95_Q001_R16,5,headline_yy,origins_2019_2021,32,32,1.464563768650284,2.0905450777749452,-1.178574610952398
DAMPED_P95_Q001_R16,5,headline_yy,origins_2022_2023,24,24,2.163449400039307,2.634287093521546,-0.5101729006773054
DAMPED_P95_Q001_R16,5,headline_yy,origins_2024plus,26,26,0.35872450516325816,0.47053305133058126,0.01871007497037989
DAMPED_P95_Q001_R16,5,headline_yy,recent_targets,31,31,0.4329118603258331,0.5781746396102683,0.05840150927494197
DAMPED_P95_Q001_R16,6,headline_yy,full,81,81,1.470738597640237,2.239464689623488,-0.7348264543122259
DAMPED_P95_Q001_R16,6,headline_yy,origins_2019_2021,32,32,1.9216738102676247,2.756095851744115,-1.5983730071563849
DAMPED_P95_Q001_R16,6,headline_yy,origins_2022_2023,24,24,2.0178688589707634,2.5536129589775594,-0.3890324927101099
DAMPED_P95_Q001_R16,6,headline_yy,origins_2024plus,25,25,0.36829647459987586,0.5159368686757604,0.03855093019026601
DAMPED_P95_Q001_R16,6,headline_yy,recent_targets,31,31,0.4473435044442441,0.6186430089764542,0.12017375971204214
DAMPED_P95_Q001_R16,7,headline_yy,full,80,80,1.6700122622525846,2.5928031034206187,-0.8702634030246706
DAMPED_P95_Q001_R16,7,headline_yy,origins_2019_2021,32,32,2.3987062502480914,3.471426532675734,-2.043536491409121
DAMPED_P95_Q001_R16,7,headline_yy,origins_2022_2023,24,24,1.892114794103436,2.447332166870042,-0.23287091050691333
DAMPED_P95_Q001_R16,7,headline_yy,origins_2024plus,24,24,0.4763177464077238,0.5929492499433592,0.05670822230350592
DAMPED_P95_Q001_R16,7,headline_yy,recent_targets,31,31,0.5060111299893352,0.647269395394106,0.1588531748877577
DAMPED_P95_Q001_R16,8,headline_yy,full,79,79,1.913053227352745,3.0069486865938635,-1.0062408666646003
DAMPED_P95_Q001_R16,8,headline_yy,origins_2019_2021,32,32,2.9258311369892347,4.172468103193257,-2.500887672829537
DAMPED_P95_Q001_R16,8,headline_yy,origins_2022_2023,24,24,1.899886847131806,2.4836426014196538,-0.07015250407560443
DAMPED_P95_Q001_R16,8,headline_yy,origins_2024plus,23,23,0.5177097498281735,0.630744069696364,0.09647987660244671
DAMPED_P95_Q001_R16,8,headline_yy,recent_targets,31,31,0.6021517434966369,0.7138338185070282,0.2316848630389859
DAMPED_P95_Q001_R16,9,headline_yy,full,78,78,2.1901692901753202,3.4851207713413754,-1.1472460054109974
DAMPED_P95_Q001_R16,9,headline_yy,origins_2019_2021,32,32,3.4115736237262704,4.891830171965092,-2.9714368085921654
DAMPED_P95_Q001_R16,9,headline_yy,origins_2022_2023,24,24,2.0786540889713443,2.6803147819522164,0.14604512091429078
DAMPED_P95_Q001_R16,9,headline_yy,origins_2024plus,22,22,0.535234115414641,0.6471980149973815,0.09525938867947756
DAMPED_P95_Q001_R16,9,headline_yy,recent_targets,31,31,0.7364943615644443,1.0061692510686508,0.3517551125708016
DAMPED_P95_Q001_R16,10,headline_yy,full,77,77,2.454839655397394,3.9687794627390365,-1.2911629364833874
DAMPED_P95_Q001_R16,10,headline_yy,origins_2019_2021,32,32,3.754048956684308,5.495137382953673,-3.3749219611010965
DAMPED_P95_Q001_R16,10,headline_yy,origins_2022_2023,24,24,2.3822779991701695,3.136505725911607,0.2722278109958962
DAMPED_P95_Q001_R16,10,headline_yy,origins_2024plus,21,21,0.5580197557913058,0.705422910904405,0.0973566277196538
DAMPED_P95_Q001_R16,10,headline_yy,recent_targets,31,31,0.893454710927005,1.3491822997437257,0.5098932908059596
DAMPED_P95_Q001_R16,11,headline_yy,full,76,76,2.7557084986559697,4.433356978488915,-1.4481535913153991
DAMPED_P95_Q001_R16,11,headline_yy,origins_2019_2021,32,32,4.139397926798523,6.103690624699321,-3.8179582657086724
DAMPED_P95_Q001_R16,11,headline_yy,origins_2022_2023,24,24,2.7376766103588523,3.482663508641763,0.45443203314917885
DAMPED_P95_Q001_R16,11,headline_yy,origins_2024plus,20,20,0.5634436795844266,0.7244919948104236,0.06043113835634384
DAMPED_P95_Q001_R16,11,headline_yy,recent_targets,31,31,1.056032703564325,1.6244756371675348,0.6605786946203634
DAMPED_P95_Q001_R16,12,headline_yy,full,75,75,3.003590067613182,4.810145946520229,-1.582534133354858
DAMPED_P95_Q001_R16,12,headline_yy,origins_2019_2021,32,32,4.482148103948176,6.609575969042396,-4.207653291997066
DAMPED_P95_Q001_R16,12,headline_yy,origins_2022_2023,24,24,2.9290933627754505,3.694631594876053,0.6307823971047187
DAMPED_P95_Q001_R16,12,headline_yy,origins_2024plus,19,19,0.6074881598966444,0.7158989707447276,0.04295093746202738
DAMPED_P95_Q001_R16,12,headline_yy,recent_targets,31,31,1.2374930194568619,1.8621997041559828,0.818189981518609
FOOD_H0_FAST_R18,1,headline_yy,full,88,88,0.5087931489599261,0.8598592473595545,-0.10507702195285025
FOOD_H0_FAST_R18,1,headline_yy,origins_2019_2021,34,34,0.3716827906627039,0.4575527024168384,-0.12647945188027268
FOOD_H0_FAST_R18,1,headline_yy,origins_2022_2023,24,24,1.0200184983060165,1.5064905360398262,-0.24261601522314033
FOOD_H0_FAST_R18,1,headline_yy,origins_2024plus,30,30,0.25520460888657226,0.3404465505210879,0.02921025991446058
FOOD_H0_FAST_R18,1,headline_yy,recent_targets,31,31,0.2557331287050609,0.3384440701615535,0.019507066908841877
FOOD_H0_FAST_R18,2,headline_yy,full,86,86,0.7659194068277331,1.226077695709434,-0.19349993805924634
FOOD_H0_FAST_R18,2,headline_yy,origins_2019_2021,33,33,0.5291583548314797,0.6525624228159532,-0.23644683843969438
FOOD_H0_FAST_R18,2,headline_yy,origins_2022_2023,24,24,1.5922776492651707,2.133793385950189,-0.4391085725184021
FOOD_H0_FAST_R18,2,headline_yy,origins_2024plus,29,29,0.3514544722545562,0.45313066614531955,0.05863299089159926
