sample,model,h,n,n_common,n_intended,n_estimated,n_missing_distributions,n_noncommon_distributions,crps,coverage80,coverage90,width80,width90,point_mae,median_mae
full,DAMPED_P95_Q001_R16,1,50,50,89,53,36,3,0.44770377456184407,0.82,0.84,1.5562333753105861,2.2518308647171428,0.5089792933454681,0.5296075792356741
full,DAMPED_P95_Q001_R16,2,49,49,88,52,36,3,0.6868274452491322,0.7755102040816326,0.7755102040816326,2.5267978197354757,3.646940970621415,0.7622729265886317,0.8083071262377345
full,DAMPED_P95_Q001_R16,3,48,48,87,51,36,3,0.7761934501908844,0.75,0.7916666666666666,3.9160488146550043,4.840384863040008,0.8314548405778158,0.9231917428402792
full,DAMPED_P95_Q001_R16,4,47,47,86,50,36,3,0.898978816959015,0.7446808510638298,0.8297872340425532,4.562267344553908,5.665891104206039,0.8874641906568734,1.0481321899717042
full,DAMPED_P95_Q001_R16,5,46,46,85,49,36,3,0.9524377503817298,0.782608695652174,0.8913043478260869,5.2541070029687305,6.37284872233581,0.8958172669033999,1.017715639214667
full,DAMPED_P95_Q001_R16,6,45,45,84,48,36,3,1.0058205953498833,0.7777777777777778,0.8888888888888888,6.040999458198789,7.497653969255388,0.8686375859783761,1.0991861459129468
full,DAMPED_P95_Q001_R16,7,44,44,83,47,36,3,1.0898450174548866,0.7954545454545454,0.8636363636363636,6.96682622714275,8.916372973293406,0.9025754201239746,1.2666017240827332
full,DAMPED_P95_Q001_R16,8,43,43,82,46,36,3,1.2625322106856296,0.7906976744186046,0.813953488372093,8.305109782506443,10.488457120760895,0.9850347923236408,1.413185167877038
full,DAMPED_P95_Q001_R16,9,42,42,81,45,36,3,1.4648426053494186,0.8095238095238095,0.8095238095238095,10.029494069650484,11.952955118202025,1.0544000530192121,1.5495114462732096
full,DAMPED_P95_Q001_R16,10,41,41,80,44,36,3,1.7095139871037988,0.7073170731707317,0.8048780487804879,11.306984377909231,13.47265004708932,1.1437636031943161,1.689684103132697
full,DAMPED_P95_Q001_R16,11,40,40,79,43,36,3,1.9958309141267918,0.65,0.65,12.489099807112408,14.697942991311027,1.2898263290431726,1.8159781790030771
full,DAMPED_P95_Q001_R16,12,39,39,78,42,36,3,2.239667705543325,0.6153846153846154,0.6153846153846154,13.06019703452169,16.299146205954056,1.430136098475485,1.9748664804041145
