period,horizon,policy,model,actual,forecast,status,fallback_used,n_train,n_features,fallback_reason,selected_columns,engine,error
2020-03,1,common,AR3,-0.08984725965857088,0.054937638464015996,benchmark,False,,,,,,
2020-03,1,common,RW,-0.08984725965857088,0.2702702702702675,benchmark,False,,,,,,
2020-03,1,independent,BBIM,-0.08984725965857088,0.0865559946049598,estimated,False,60.0,34.0,,agri_ppi_yoy;ppi_c_yoy;ppi_constr_yoy;ppi_d_yoy;ppi_e_yoy;ppi_yoy;ppi_services_yoy;eurczk_mm;usdczk_mm;ip_yoy;constr_yoy;unemployment_rate;pribor_3m;czgb_10y;reer_ppi_mm;reer_cpi_mm;hh_loans_mm;nfc_loans_mm;trade_balance;cpi_breadth;median_cpi_mm;services_cpi_mm;agri_price_mm;hpi_yoy;constr_ppi_yoy;m3_yoy;wage_lci_yoy;import_prices_mm;de_food_processed_mm;de_food_unprocessed_mm;de_energy_mm;de_services_mm;de_industrial_goods_ex_energy_mm;de_food_hicp_mm_proxy,BBIM-lite,
2020-03,1,independent,TVW_QRF,-0.08984725965857088,-0.03359129107570746,estimated,False,60.0,34.0,,agri_ppi_yoy;ppi_c_yoy;ppi_constr_yoy;ppi_d_yoy;ppi_e_yoy;ppi_yoy;ppi_services_yoy;eurczk_mm;usdczk_mm;ip_yoy;constr_yoy;unemployment_rate;pribor_3m;czgb_10y;reer_ppi_mm;reer_cpi_mm;hh_loans_mm;nfc_loans_mm;trade_balance;cpi_breadth;median_cpi_mm;services_cpi_mm;agri_price_mm;hpi_yoy;constr_ppi_yoy;m3_yoy;wage_lci_yoy;import_prices_mm;de_food_processed_mm;de_food_unprocessed_mm;de_energy_mm;de_services_mm;de_industrial_goods_ex_energy_mm;de_food_hicp_mm_proxy,_SklearnQuantileForest,
2020-04,1,common,AR3,-0.17985611510791255,0.5081431628938989,benchmark,False,,,,,,
2020-04,1,common,RW,-0.17985611510791255,-0.08984725965857088,benchmark,False,,,,,,
2020-04,1,independent,BBIM,-0.17985611510791255,0.13364831378840264,estimated,False,61.0,34.0,,agri_ppi_yoy;ppi_c_yoy;ppi_constr_yoy;ppi_d_yoy;ppi_e_yoy;ppi_yoy;ppi_services_yoy;eurczk_mm;usdczk_mm;ip_yoy;constr_yoy;unemployment_rate;pribor_3m;czgb_10y;reer_ppi_mm;reer_cpi_mm;hh_loans_mm;nfc_loans_mm;trade_balance;cpi_breadth;median_cpi_mm;services_cpi_mm;agri_price_mm;hpi_yoy;constr_ppi_yoy;m3_yoy;wage_lci_yoy;import_prices_mm;de_food_processed_mm;de_food_unprocessed_mm;de_energy_mm;de_services_mm;de_industrial_goods_ex_energy_mm;de_food_hicp_mm_proxy,BBIM-lite,
2020-04,1,independent,TVW_QRF,-0.17985611510791255,0.3384545572974868,estimated,False,61.0,34.0,,agri_ppi_yoy;ppi_c_yoy;ppi_constr_yoy;ppi_d_yoy;ppi_e_yoy;ppi_yoy;ppi_services_yoy;eurczk_mm;usdczk_mm;ip_yoy;constr_yoy;unemployment_rate;pribor_3m;czgb_10y;reer_ppi_mm;reer_cpi_mm;hh_loans_mm;nfc_loans_mm;trade_balance;cpi_breadth;median_cpi_mm;services_cpi_mm;agri_price_mm;hpi_yoy;constr_ppi_yoy;m3_yoy;wage_lci_yoy;import_prices_mm;de_food_processed_mm;de_food_unprocessed_mm;de_energy_mm;de_services_mm;de_industrial_goods_ex_energy_mm;de_food_hicp_mm_proxy,_SklearnQuantileForest,
2020-05,1,common,AR3,0.3603603603603567,0.20431527118641477,benchmark,False,,,,,,
2020-05,1,common,RW,0.3603603603603567,-0.17985611510791255,benchmark,False,,,,,,
2020-05,1,independent,BBIM,0.3603603603603567,0.15193049388968272,estimated,False,62.0,34.0,,agri_ppi_yoy;ppi_c_yoy;ppi_constr_yoy;ppi_d_yoy;ppi_e_yoy;ppi_yoy;ppi_services_yoy;eurczk_mm;usdczk_mm;ip_yoy;constr_yoy;unemployment_rate;pribor_3m;czgb_10y;reer_ppi_mm;reer_cpi_mm;hh_loans_mm;nfc_loans_mm;trade_balance;cpi_breadth;median_cpi_mm;services_cpi_mm;agri_price_mm;hpi_yoy;constr_ppi_yoy;m3_yoy;wage_lci_yoy;import_prices_mm;de_food_processed_mm;de_food_unprocessed_mm;de_energy_mm;de_services_mm;de_industrial_goods_ex_energy_mm;de_food_hicp_mm_proxy,BBIM-lite,
2020-05,1,independent,TVW_QRF,0.3603603603603567,0.06801149635090487,estimated,False,62.0,34.0,,agri_ppi_yoy;ppi_c_yoy;ppi_constr_yoy;ppi_d_yoy;ppi_e_yoy;ppi_yoy;ppi_services_yoy;eurczk_mm;usdczk_mm;ip_yoy;constr_yoy;unemployment_rate;pribor_3m;czgb_10y;reer_ppi_mm;reer_cpi_mm;hh_loans_mm;nfc_loans_mm;trade_balance;cpi_breadth;median_cpi_mm;services_cpi_mm;agri_price_mm;hpi_yoy;constr_ppi_yoy;m3_yoy;wage_lci_yoy;import_prices_mm;de_food_processed_mm;de_food_unprocessed_mm;de_energy_mm;de_services_mm;de_industrial_goods_ex_energy_mm;de_food_hicp_mm_proxy,_SklearnQuantileForest,
2020-06,1,common,AR3,0.6283662477558183,0.1979887552225902,benchmark,False,,,,,,
2020-06,1,common,RW,0.6283662477558183,0.3603603603603567,benchmark,False,,,,,,
2020-06,1,independent,BBIM,0.6283662477558183,0.18529290531828396,estimated,False,63.0,34.0,,agri_ppi_yoy;ppi_c_yoy;ppi_constr_yoy;ppi_d_yoy;ppi_e_yoy;ppi_yoy;ppi_services_yoy;eurczk_mm;usdczk_mm;ip_yoy;constr_yoy;unemployment_rate;pribor_3m;czgb_10y;reer_ppi_mm;reer_cpi_mm;hh_loans_mm;nfc_loans_mm;trade_balance;cpi_breadth;median_cpi_mm;services_cpi_mm;agri_price_mm;hpi_yoy;constr_ppi_yoy;m3_yoy;wage_lci_yoy;import_prices_mm;de_food_processed_mm;de_food_unprocessed_mm;de_energy_mm;de_services_mm;de_industrial_goods_ex_energy_mm;de_food_hicp_mm_proxy,BBIM-lite,
2020-06,1,independent,TVW_QRF,0.6283662477558183,0.10580197286344933,estimated,False,63.0,34.0,,agri_ppi_yoy;ppi_c_yoy;ppi_constr_yoy;ppi_d_yoy;ppi_e_yoy;ppi_yoy;ppi_services_yoy;eurczk_mm;usdczk_mm;ip_yoy;constr_yoy;unemployment_rate;pribor_3m;czgb_10y;reer_ppi_mm;reer_cpi_mm;hh_loans_mm;nfc_loans_mm;trade_balance;cpi_breadth;median_cpi_mm;services_cpi_mm;agri_price_mm;hpi_yoy;constr_ppi_yoy;m3_yoy;wage_lci_yoy;import_prices_mm;de_food_processed_mm;de_food_unprocessed_mm;de_energy_mm;de_services_mm;de_industrial_goods_ex_energy_mm;de_food_hicp_mm_proxy,_SklearnQuantileForest,
2020-07,1,common,AR3,0.4460303300624524,0.1312119175200516,benchmark,False,,,,,,
2020-07,1,common,RW,0.4460303300624524,0.6283662477558183,benchmark,False,,,,,,
2020-07,1,independent,BBIM,0.4460303300624524,0.11917530438386752,estimated,False,64.0,34.0,,agri_ppi_yoy;ppi_c_yoy;ppi_constr_yoy;ppi_d_yoy;ppi_e_yoy;ppi_yoy;ppi_services_yoy;eurczk_mm;usdczk_mm;ip_yoy;constr_yoy;unemployment_rate;pribor_3m;czgb_10y;reer_ppi_mm;reer_cpi_mm;hh_loans_mm;nfc_loans_mm;trade_balance;cpi_breadth;median_cpi_mm;services_cpi_mm;agri_price_mm;hpi_yoy;constr_ppi_yoy;m3_yoy;wage_lci_yoy;import_prices_mm;de_food_processed_mm;de_food_unprocessed_mm;de_energy_mm;de_services_mm;de_industrial_goods_ex_energy_mm;de_food_hicp_mm_proxy,BBIM-lite,
2020-07,1,independent,TVW_QRF,0.4460303300624524,0.2193449518933991,estimated,False,64.0,34.0,,agri_ppi_yoy;ppi_c_yoy;ppi_constr_yoy;ppi_d_yoy;ppi_e_yoy;ppi_yoy;ppi_services_yoy;eurczk_mm;usdczk_mm;ip_yoy;constr_yoy;unemployment_rate;pribor_3m;czgb_10y;reer_ppi_mm;reer_cpi_mm;hh_loans_mm;nfc_loans_mm;trade_balance;cpi_breadth;median_cpi_mm;services_cpi_mm;agri_price_mm;hpi_yoy;constr_ppi_yoy;m3_yoy;wage_lci_yoy;import_prices_mm;de_food_processed_mm;de_food_unprocessed_mm;de_energy_mm;de_services_mm;de_industrial_goods_ex_energy_mm;de_food_hicp_mm_proxy,_SklearnQuantileForest,
2020-08,1,common,AR3,0.0,0.15569528196793497,benchmark,False,,,,,,
2020-08,1,common,RW,0.0,0.4460303300624524,benchmark,False,,,,,,
2020-08,1,independent,BBIM,0.0,0.10497399801692828,estimated,False,65.0,34.0,,agri_ppi_yoy;ppi_c_yoy;ppi_constr_yoy;ppi_d_yoy;ppi_e_yoy;ppi_yoy;ppi_services_yoy;eurczk_mm;usdczk_mm;ip_yoy;constr_yoy;unemployment_rate;pribor_3m;czgb_10y;reer_ppi_mm;reer_cpi_mm;hh_loans_mm;nfc_loans_mm;trade_balance;cpi_breadth;median_cpi_mm;services_cpi_mm;agri_price_mm;hpi_yoy;constr_ppi_yoy;m3_yoy;wage_lci_yoy;import_prices_mm;de_food_processed_mm;de_food_unprocessed_mm;de_energy_mm;de_services_mm;de_industrial_goods_ex_energy_mm;de_food_hicp_mm_proxy,BBIM-lite,
2020-08,1,independent,TVW_QRF,0.0,-0.06800632709979548,estimated,False,65.0,34.0,,agri_ppi_yoy;ppi_c_yoy;ppi_constr_yoy;ppi_d_yoy;ppi_e_yoy;ppi_yoy;ppi_services_yoy;eurczk_mm;usdczk_mm;ip_yoy;constr_yoy;unemployment_rate;pribor_3m;czgb_10y;reer_ppi_mm;reer_cpi_mm;hh_loans_mm;nfc_loans_mm;trade_balance;cpi_breadth;median_cpi_mm;services_cpi_mm;agri_price_mm;hpi_yoy;constr_ppi_yoy;m3_yoy;wage_lci_yoy;import_prices_mm;de_food_processed_mm;de_food_unprocessed_mm;de_energy_mm;de_services_mm;de_industrial_goods_ex_energy_mm;de_food_hicp_mm_proxy,_SklearnQuantileForest,
2020-09,1,common,AR3,-0.6216696269982114,0.17707201683296725,benchmark,False,,,,,,
2020-09,1,common,RW,-0.6216696269982114,0.0,benchmark,False,,,,,,
2020-09,1,independent,BBIM,-0.6216696269982114,0.07044867581157431,estimated,False,66.0,34.0,,agri_ppi_yoy;ppi_c_yoy;ppi_constr_yoy;ppi_d_yoy;ppi_e_yoy;ppi_yoy;ppi_services_yoy;eurczk_mm;usdczk_mm;ip_yoy;constr_yoy;unemployment_rate;pribor_3m;czgb_10y;reer_ppi_mm;reer_cpi_mm;hh_loans_mm;nfc_loans_mm;trade_balance;cpi_breadth;median_cpi_mm;services_cpi_mm;agri_price_mm;hpi_yoy;constr_ppi_yoy;m3_yoy;wage_lci_yoy;import_prices_mm;de_food_processed_mm;de_food_unprocessed_mm;de_energy_mm;de_services_mm;de_industrial_goods_ex_energy_mm;de_food_hicp_mm_proxy,BBIM-lite,
2020-09,1,independent,TVW_QRF,-0.6216696269982114,-0.18041297013251983,estimated,False,66.0,34.0,,agri_ppi_yoy;ppi_c_yoy;ppi_constr_yoy;ppi_d_yoy;ppi_e_yoy;ppi_yoy;ppi_services_yoy;eurczk_mm;usdczk_mm;ip_yoy;constr_yoy;unemployment_rate;pribor_3m;czgb_10y;reer_ppi_mm;reer_cpi_mm;hh_loans_mm;nfc_loans_mm;trade_balance;cpi_breadth;median_cpi_mm;services_cpi_mm;agri_price_mm;hpi_yoy;constr_ppi_yoy;m3_yoy;wage_lci_yoy;import_prices_mm;de_food_processed_mm;de_food_unprocessed_mm;de_energy_mm;de_services_mm;de_industrial_goods_ex_energy_mm;de_food_hicp_mm_proxy,_SklearnQuantileForest,
2020-10,1,common,AR3,0.17873100983019086,0.15987959207380711,benchmark,False,,,,,,
2020-10,1,common,RW,0.17873100983019086,-0.6216696269982114,benchmark,False,,,,,,
2020-10,1,independent,BBIM,0.17873100983019086,0.1529349863465254,estimated,False,67.0,34.0,,agri_ppi_yoy;ppi_c_yoy;ppi_constr_yoy;ppi_d_yoy;ppi_e_yoy;ppi_yoy;ppi_services_yoy;eurczk_mm;usdczk_mm;ip_yoy;constr_yoy;unemployment_rate;pribor_3m;czgb_10y;reer_ppi_mm;reer_cpi_mm;hh_loans_mm;nfc_loans_mm;trade_balance;cpi_breadth;median_cpi_mm;services_cpi_mm;agri_price_mm;hpi_yoy;constr_ppi_yoy;m3_yoy;wage_lci_yoy;import_prices_mm;de_food_processed_mm;de_food_unprocessed_mm;de_energy_mm;de_services_mm;de_industrial_goods_ex_energy_mm;de_food_hicp_mm_proxy,BBIM-lite,
