period,Pšenice potravinářská [t],Mléko kravské Q. tř. j. [tis. l.],Prasata jatečná  j.tř. SEU v JUT [t],Kuřata jatečná v živém I.tř.j [t]
2025-05,5334.0,13235.0,49026.0,28760.0
2025-06,5383.0,13286.0,50234.0,29676.0
2025-07,5253.0,13316.0,50623.0,29705.0
2025-08,4894.0,13379.0,50544.0,30670.0
2025-09,4677.0,13498.0,49502.0,29847.0
2025-10,4549.0,13513.0,45286.0,30714.0
2025-11,4508.0,13469.0,42514.0,31302.0
2025-12,4357.0,13081.0,40490.0,30480.0
2026-01,4319.0,12091.0,38750.0,30981.0
2026-02,4335.0,11326.0,38036.0,30765.0
2026-03,4313.0,10761.0,37338.0,30442.0
2026-04,4314.0,10244.0,40411.0,30769.0
2026-05,4326.0,9949.0,39532.0,30348.0
2026-06,4359.0,9817.0,38410.0,29765.0
2026-07,4361.0,9755.0,36325.0,30722.0
