policy,feature,independent,sentiment
independent,agri_ppi_mm,True,False
independent,ppi_c_mm,True,False
independent,ppi_constr_mm,True,False
independent,ppi_d_mm,True,False
independent,ppi_e_mm,True,False
independent,ppi_mm,True,False
independent,ppi_services_mm,True,False
independent,eurczk_mm,True,False
independent,usdczk_mm,True,False
independent,ip_yoy,True,False
independent,retail_yoy,True,False
independent,constr_yoy,True,False
independent,unemployment_rate,True,False
independent,pribor_3m,True,False
independent,czgb_10y,True,False
independent,reer_ppi_mm,True,False
independent,reer_cpi_mm,True,False
independent,hh_loans_mm,True,False
independent,nfc_loans_mm,True,False
independent,trade_balance,True,False
independent,cpi_breadth,True,False
independent,median_cpi_mm,True,False
independent,services_cpi_mm,True,False
independent,agri_price_mm,True,False
independent,hpi_yoy,True,False
independent,constr_ppi_yoy,True,False
independent,m3_yoy,True,False
independent,wage_lci_yoy,True,False
independent,import_prices_mm,True,False
independent,de_food_processed_mm,True,False
independent,de_food_unprocessed_mm,True,False
independent,de_energy_mm,True,False
independent,de_services_mm,True,False
independent,de_industrial_goods_ex_energy_mm,True,False
independent,de_food_hicp_mm_proxy,True,False
sentiment,agri_ppi_mm,False,True
sentiment,ppi_c_mm,False,True
sentiment,ppi_constr_mm,False,True
sentiment,ppi_d_mm,False,True
sentiment,ppi_e_mm,False,True
sentiment,ppi_mm,False,True
sentiment,ppi_services_mm,False,True
sentiment,esi,False,True
sentiment,eurczk_mm,False,True
sentiment,usdczk_mm,False,True
sentiment,ip_yoy,False,True
sentiment,retail_yoy,False,True
sentiment,constr_yoy,False,True
sentiment,unemployment_rate,False,True
sentiment,conf_business,False,True
sentiment,conf_consumer,False,True
sentiment,conf_economic_sentiment,False,True
sentiment,pribor_3m,False,True
sentiment,czgb_10y,False,True
sentiment,reer_ppi_mm,False,True
sentiment,reer_cpi_mm,False,True
sentiment,hh_loans_mm,False,True
sentiment,nfc_loans_mm,False,True
sentiment,trade_balance,False,True
sentiment,cpi_breadth,False,True
sentiment,median_cpi_mm,False,True
sentiment,services_cpi_mm,False,True
sentiment,agri_price_mm,False,True
sentiment,hpi_yoy,False,True
sentiment,constr_ppi_yoy,False,True
sentiment,m3_yoy,False,True
sentiment,wage_lci_yoy,False,True
sentiment,import_prices_mm,False,True
sentiment,de_food_processed_mm,False,True
sentiment,de_food_unprocessed_mm,False,True
sentiment,de_energy_mm,False,True
sentiment,de_services_mm,False,True
sentiment,de_industrial_goods_ex_energy_mm,False,True
sentiment,de_food_hicp_mm_proxy,False,True
full,agri_ppi_mm,False,True
full,ppi_c_mm,False,True
full,ppi_constr_mm,False,True
full,ppi_d_mm,False,True
full,ppi_e_mm,False,True
full,ppi_mm,False,True
full,ppi_services_mm,False,True
full,esi,False,True
full,price_expect_survey,False,True
full,price_expect_survey_36m,False,True
full,eurczk_mm,False,True
full,usdczk_mm,False,True
full,ip_yoy,False,True
full,retail_yoy,False,True
full,constr_yoy,False,True
full,unemployment_rate,False,True
full,conf_business,False,True
full,conf_consumer,False,True
full,conf_economic_sentiment,False,True
full,pribor_3m,False,True
full,czgb_10y,False,True
full,reer_ppi_mm,False,True
full,reer_cpi_mm,False,True
full,hh_loans_mm,False,True
full,nfc_loans_mm,False,True
full,trade_balance,False,True
full,cpi_breadth,False,True
full,median_cpi_mm,False,True
full,services_cpi_mm,False,True
full,agri_price_mm,False,True
full,hpi_yoy,False,True
full,constr_ppi_yoy,False,True
full,m3_yoy,False,True
full,wage_lci_yoy,False,True
full,import_prices_mm,False,True
full,de_food_processed_mm,False,True
full,de_food_unprocessed_mm,False,True
full,de_energy_mm,False,True
full,de_services_mm,False,True
full,de_industrial_goods_ex_energy_mm,False,True
full,de_food_hicp_mm_proxy,False,True
