model,source,sample,n,rmse,mae,consensus_rmse,material_wins_big,material_losses_big,alerts,alerts_direction_right,alert_material_wins,alert_material_losses
HARD_BASE,recorded,all,90,0.41795154739724044,0.2625157341641442,0.3815174380753199,7,3,20,14,7,8
HARD_BASE,frozen,all,90,0.41795154739724044,0.2625157341641442,0.3815174380753199,7,3,20,14,7,8
HARD_BASE,bbg,all,90,0.4178836475000788,0.26183840698704886,0.3815174380753199,8,2,21,14,6,9
HARD_BASE,recorded,prints_2024plus,31,0.21897776134072022,0.1690393240182861,0.2409657986707497,2,0,4,3,2,1
HARD_BASE,frozen,prints_2024plus,31,0.21897776134072022,0.1690393240182862,0.2409657986707497,2,0,4,3,2,1
HARD_BASE,bbg,prints_2024plus,31,0.22166496332844113,0.17112806832994862,0.2409657986707497,2,0,4,3,2,1
HARD_BASE,recorded,flash_era_2025plus,19,0.17300164605167864,0.13929634726858153,0.19466570535691505,0,0,1,1,1,0
HARD_BASE,frozen,flash_era_2025plus,19,0.17300164605167864,0.13929634726858153,0.19466570535691505,0,0,1,1,1,0
HARD_BASE,bbg,flash_era_2025plus,19,0.17576641900165738,0.14227065581923826,0.19466570535691505,0,0,1,1,1,0
HARD_HALF,recorded,all,90,0.41369643830575464,0.26437319954197214,0.3815174380753199,7,1,22,15,8,9
HARD_HALF,frozen,all,90,0.41369069935980585,0.2642917479575793,0.3815174380753199,7,1,22,15,8,9
HARD_HALF,bbg,all,90,0.4139861638658117,0.2644988632849785,0.3815174380753199,8,1,23,15,7,10
HARD_HALF,recorded,prints_2024plus,31,0.21958807119044277,0.16785552729960737,0.2409657986707497,1,0,5,4,3,1
HARD_HALF,frozen,prints_2024plus,31,0.21972626512779933,0.16801385384515408,0.2409657986707497,1,0,5,4,3,1
HARD_HALF,bbg,prints_2024plus,31,0.22292561279864048,0.16993731024804634,0.2409657986707497,1,0,5,4,3,1
HARD_HALF,recorded,flash_era_2025plus,19,0.16560096093755453,0.13375320629227996,0.19466570535691505,0,0,2,2,2,0
HARD_HALF,frozen,flash_era_2025plus,19,0.16555699415394212,0.13377313419396283,0.19466570535691505,0,0,2,2,2,0
HARD_HALF,bbg,flash_era_2025plus,19,0.16947857059558016,0.1354667968919186,0.19466570535691505,0,0,2,2,2,0
HARD_FULL,recorded,all,90,0.4139308470027306,0.2696268338876436,0.3815174380753199,9,2,23,16,9,10
HARD_FULL,frozen,all,90,0.41393211978243255,0.26947822158434714,0.3815174380753199,9,2,23,16,9,10
HARD_FULL,bbg,all,90,0.4147595157723301,0.270853925039442,0.3815174380753199,8,2,24,17,9,9
HARD_FULL,recorded,prints_2024plus,31,0.22531658006178432,0.17263970528256042,0.2409657986707497,2,1,5,4,3,2
HARD_FULL,frozen,prints_2024plus,31,0.22565854252267914,0.17293072259482498,0.2409657986707497,2,1,5,4,3,2
HARD_FULL,bbg,prints_2024plus,31,0.22934969225676305,0.17683419448531493,0.2409657986707497,1,1,5,4,3,2
HARD_FULL,recorded,flash_era_2025plus,19,0.1638271242938502,0.13239549655765354,0.19466570535691505,0,0,2,2,2,0
HARD_FULL,frozen,flash_era_2025plus,19,0.16387280068849955,0.1324353523610192,0.19466570535691505,0,0,2,2,2,0
HARD_FULL,bbg,flash_era_2025plus,19,0.16883602056088592,0.1344453432715646,0.19466570535691505,0,0,2,2,2,0
