period,HARD_BASE,HARD_HALF,HARD_FULL,contrib_core,contrib_food,contrib_alcohol_tobacco,contrib_administered,contrib_fuel,contrib_wedge,ready
2019-02,0.32462825515377614,0.3530108771633061,0.38139349917283605,0.18445707758056976,0.11442576773196374,0.006910846275000001,0.007303811248456887,-0.041861771564568065,0.05339252388235379,True
2019-03,0.1017732828486438,0.09846911037800006,0.09516493790735632,0.023895649949293326,0.027916662547658642,0.048375923925,0.01435372449678358,0.03220224326326286,-0.04497092133335462,True
2019-04,0.3935434617464234,0.4375626233399275,0.4815817849334316,0.20049052898489564,0.008171485366865905,0.05989400105000001,0.014768668307319967,0.12111493462551165,-0.010896156588169796,True
2019-05,0.22958829066149256,0.24222017265141674,0.2548520546413409,0.05745637158543759,0.020525375116008656,0.013821692549999999,0.014679014287885348,0.08766943661399187,0.03543640050816908,True
2019-06,0.13799054093539095,0.09050510056520557,0.04301966019502018,0.09619146125492138,0.04258780908570624,-0.00460723085,0.0,-0.0026665966341635574,0.006485098078926884,True
2019-07,0.4505884956045222,0.4666452423639374,0.4827019891233526,0.3679532496083144,0.058068317278547325,0.050679539350000004,0.007388281358938555,-0.037663113871207715,0.004162221879929616,True
2019-08,0.04585405754791971,0.05509245269178874,0.06433084783565776,0.14066316316897698,-0.06290866699942169,-0.03225061595,0.0,-0.014772628856389202,0.015122806184753626,True
2019-09,-0.3089697538548697,-0.314406935257017,-0.3198441166591643,-0.28653165660317076,-0.016269017697708058,0.025339769675000002,0.014644475161000956,-0.01367533472698549,-0.032477989663006315,True
2019-10,0.2446562650638546,0.3304743122873291,0.41629235951080357,0.1194408156140184,0.11261224482774788,0.011518077125,0.0,0.0023574073592940938,-0.0012722798622057676,True
2019-11,0.14164146702592995,0.17429503992795126,0.20694861282997257,0.0607849946663678,0.11267138505743286,-0.006910846274999999,0.0,-0.01700132990560847,-0.007902736517262256,True
2019-12,0.035966716754784,0.05201998027840127,0.06807324380201853,0.05372615423389047,0.06317385478960745,-0.0460723085,0.0,-0.01488432133287581,-0.019976662435838108,False
2020-01,0.878261775650595,0.8973030143905327,0.9163442531304705,0.19884877870013692,0.22199877228097653,0.214236234525,0.21337474219040023,0.018772911196257437,0.011030336757823847,True
2020-02,0.31023700420635103,0.3260234321208141,0.3418098600352771,0.2121897053207223,0.11233957160354668,-0.01565516538,0.014224982812693349,-0.047730302515666276,0.034868212365054996,True
2020-03,-0.2692339659471693,-0.2705743967852775,-0.27191482762338576,0.00643559182603087,-0.11265881449161867,0.048704958959999996,0.014224982812693349,-0.1961044828809917,-0.029836202173283144,True
2020-04,-0.31624118044227106,-0.2967027224260948,-0.2771642644099185,0.09359173600425715,-0.041873452138555464,0.01739462820000001,0.014224982812693349,-0.3944103602251436,-0.005168715095522522,True
2020-05,0.2001699023083387,0.19711251172478547,0.19405512114123225,0.14634086134499966,0.08188857500852928,0.036528719220000005,0.008,-0.10724128767106758,0.034653034405877324,True
2020-06,0.35811619903280867,0.3911710668185643,0.42422593460431984,0.3015851832094965,-0.04042736012787818,-0.013915702560000002,0.0,0.10697489345679108,0.003899185054399284,True
2020-07,0.5071111060208672,0.5222153448108394,0.5373195836008117,0.3954377400686573,-0.08986118115429637,0.031310330760000005,0.0072483397374847915,0.1595988107742343,0.003377065834787164,True
2020-08,0.00514021267363203,0.02005772030801018,0.03497522794238833,0.11491658813380244,-0.12134531156216777,-0.013915702559999998,0.0,0.013360218308255853,0.012124420353741495,True
2020-09,-0.36574476423902913,-0.389160347425359,-0.4125759306116889,-0.3727284814785963,0.022191483329304783,0.0260919423,0.021742357024483232,-0.02871181676204433,-0.034330248652176557,True
2020-10,0.2116581294009707,0.3020226053519968,0.3923870813030229,0.13236001823966664,0.04965089326185859,0.0086973141,0.0,0.01787856494919502,0.003071338850250448,True
2020-11,0.1258203068005439,0.1356871900894888,0.14555407337843368,0.11869249576541736,0.023362568330864596,-0.00521838846,0.0,-0.014051043925287084,0.0030346750895490146,True
2020-12,0.18132459614220905,0.19085884014392684,0.2003930841456446,0.14204260179662073,0.05990704387086774,-0.04174710768,0.0,0.0286367660249279,-0.0075147078702073235,False
2021-01,0.8468362055728809,0.8973059289855184,0.9477756523981561,0.21899045629921246,0.14362094661268224,0.24004586916000004,0.2167593925797662,0.017649958312937458,0.009769582608282456,True
2021-02,0.43809708964617755,0.5009465445163537,0.5637959993865297,0.34568429905802933,0.013648343410802073,-0.034789256399999996,0.015480515172509701,0.05793664916367457,0.0401365392411619,True
2021-03,0.1531617473329951,0.14764319484643548,0.14212464235987587,-0.08209452959309094,-0.001875857830923268,0.060881198699999986,0.015507541213366088,0.20277625474637156,-0.042032859902728335,True
2021-04,0.2604998471969213,0.30391720902283426,0.34733457084874714,0.14021536071088125,-0.0013342294684633381,-0.001449552349999995,0.015562032020995265,0.10252776128637958,0.00497847499712858,True
2021-05,0.5880021786909563,0.6134376006266402,0.6388730225623241,0.3140552873051159,0.16079440133419093,0.07247761750000001,0.015728368431490582,0.037989360999096486,-0.013042856878937617,True
2021-06,0.33864971612409045,0.3570541512495139,0.37545858637493734,0.22319433949090547,0.00527084675499863,0.030440599349999993,0.007848161747217326,0.06180392622368384,0.010091842557285223,True
2021-07,0.6477686533121289,0.6770263753107956,0.7062840973094623,0.5860242674220019,-0.0681030194395305,0.0318901517,0.007921172176530846,0.11867775253853989,-0.028641671085413305,True
2021-08,0.2011922715267037,0.14555703205273182,0.08992179257875996,0.23501135209656573,-0.06011771647878104,-0.01014686645,0.0,0.015581045519279735,0.02086445683963925,True
2021-09,-0.1345926408994898,-0.15455082425093042,-0.174509007602371,-0.08517482543588147,-0.0744347709253433,0.03333970405,0.01566752978751246,0.011506921115484648,-0.03549719949126215,True
2021-10,0.7381511315591153,0.797859922962821,0.8575687143665268,0.4215487037084192,0.10695951170261166,-0.0057982094000000005,0.0,0.19754659323107987,0.017894532317004542,True
2021-11,0.669515889282007,0.6816909536659524,0.693866018049898,0.36574776011438526,0.1386702036182206,0.0,0.0,0.15938868286880956,0.005709242680591538,True
