period,import_l2,available_from
2008-03,-0.5999999999999943,2008-04-01T00:00:00+02:00
2008-04,-1.0999999999999943,2008-05-01T00:00:00+02:00
2008-05,-0.4000000000000057,2008-06-01T00:00:00+02:00
2008-06,0.09999999999999432,2008-07-01T00:00:00+02:00
2008-07,2.0,2008-08-01T00:00:00+02:00
2008-08,-1.2000000000000028,2008-09-01T00:00:00+02:00
2008-09,-1.2999999999999972,2008-10-01T00:00:00+02:00
2008-10,2.4000000000000057,2008-11-01T00:00:00+01:00
2008-11,0.9000000000000057,2008-12-01T00:00:00+01:00
2008-12,0.09999999999999432,2009-01-01T00:00:00+01:00
2009-01,-1.9000000000000057,2009-02-01T00:00:00+01:00
2009-02,-1.0,2009-03-01T00:00:00+01:00
2009-03,1.5999999999999943,2009-04-01T00:00:00+02:00
2009-04,3.299999999999997,2009-05-01T00:00:00+02:00
2009-05,-4.299999999999997,2009-06-01T00:00:00+02:00
2009-06,-1.5999999999999943,2009-07-01T00:00:00+02:00
2009-07,-0.9000000000000057,2009-08-01T00:00:00+02:00
2009-08,-0.5,2009-09-01T00:00:00+02:00
2009-09,-2.4000000000000057,2009-10-01T00:00:00+02:00
2009-10,-0.5999999999999943,2009-11-01T00:00:00+01:00
2009-11,-1.2999999999999972,2009-12-01T00:00:00+01:00
2009-12,1.5,2010-01-01T00:00:00+01:00
2010-01,0.5999999999999943,2010-02-01T00:00:00+01:00
2010-02,1.7000000000000028,2010-03-01T00:00:00+01:00
2010-03,0.7999999999999972,2010-04-01T00:00:00+02:00
2010-04,0.29999999999999716,2010-05-01T00:00:00+02:00
2010-05,-0.09999999999999432,2010-06-01T00:00:00+02:00
2010-06,0.5999999999999943,2010-07-01T00:00:00+02:00
2010-07,2.700000000000003,2010-08-01T00:00:00+02:00
2010-08,1.0999999999999943,2010-09-01T00:00:00+02:00
2010-09,-1.4000000000000057,2010-10-01T00:00:00+02:00
2010-10,-1.2000000000000028,2010-11-01T00:00:00+01:00
2010-11,-0.4000000000000057,2010-12-01T00:00:00+01:00
2010-12,-0.9000000000000057,2011-01-01T00:00:00+01:00
2011-01,1.0999999999999943,2011-02-01T00:00:00+01:00
2011-02,3.200000000000003,2011-03-01T00:00:00+01:00
2011-03,-0.4000000000000057,2011-04-01T00:00:00+02:00
2011-04,0.0,2011-05-01T00:00:00+02:00
2011-05,0.7999999999999972,2011-06-01T00:00:00+02:00
2011-06,0.09999999999999432,2011-07-01T00:00:00+02:00
2011-07,0.09999999999999432,2011-08-01T00:00:00+02:00
2011-08,-0.5,2011-09-01T00:00:00+02:00
2011-09,0.5,2011-10-01T00:00:00+02:00
2011-10,-0.5999999999999943,2011-11-01T00:00:00+01:00
2011-11,1.5,2011-12-01T00:00:00+01:00
2011-12,0.9000000000000057,2012-01-01T00:00:00+01:00
2012-01,1.7999999999999972,2012-02-01T00:00:00+01:00
2012-02,0.7999999999999972,2012-03-01T00:00:00+01:00
2012-03,1.4000000000000057,2012-04-01T00:00:00+02:00
2012-04,-1.2000000000000028,2012-05-01T00:00:00+02:00
2012-05,-0.7000000000000028,2012-06-01T00:00:00+02:00
2012-06,0.4000000000000057,2012-07-01T00:00:00+02:00
2012-07,1.7000000000000028,2012-08-01T00:00:00+02:00
2012-08,-0.09999999999999432,2012-09-01T00:00:00+02:00
2012-09,-0.5,2012-10-01T00:00:00+02:00
2012-10,-0.4000000000000057,2012-11-01T00:00:00+01:00
2012-11,-1.2999999999999972,2012-12-01T00:00:00+01:00
2012-12,0.29999999999999716,2013-01-01T00:00:00+01:00
2013-01,0.9000000000000057,2013-02-01T00:00:00+01:00
2013-02,-1.0999999999999943,2013-03-01T00:00:00+01:00
2013-03,0.5,2013-04-01T00:00:00+02:00
2013-04,-0.20000000000000284,2013-05-01T00:00:00+02:00
2013-05,0.9000000000000057,2013-06-01T00:00:00+02:00
2013-06,0.09999999999999432,2013-07-01T00:00:00+02:00
2013-07,-0.20000000000000284,2013-08-01T00:00:00+02:00
2013-08,-1.0,2013-09-01T00:00:00+02:00
2013-09,0.5,2013-10-01T00:00:00+02:00
2013-10,-0.7999999999999972,2013-11-01T00:00:00+01:00
2013-11,-0.20000000000000284,2013-12-01T00:00:00+01:00
2013-12,-1.0999999999999943,2014-01-01T00:00:00+01:00
2014-01,3.5999999999999943,2014-02-01T00:00:00+01:00
2014-02,1.7000000000000028,2014-03-01T00:00:00+01:00
2014-03,-0.4000000000000057,2014-04-01T00:00:00+02:00
2014-04,-0.20000000000000284,2014-05-01T00:00:00+02:00
2014-05,-0.7999999999999972,2014-06-01T00:00:00+02:00
2014-06,-0.4000000000000057,2014-07-01T00:00:00+02:00
2014-07,0.0,2014-08-01T00:00:00+02:00
2014-08,0.29999999999999716,2014-09-01T00:00:00+02:00
2014-09,0.0,2014-10-01T00:00:00+02:00
2014-10,0.7000000000000028,2014-11-01T00:00:00+01:00
2014-11,0.0,2014-12-01T00:00:00+01:00
2014-12,-0.09999999999999432,2015-01-01T00:00:00+01:00
2015-01,0.0,2015-02-01T00:00:00+01:00
2015-02,-1.0999999999999943,2015-03-01T00:00:00+01:00
