source_month,import_mm,available_from,availability_policy
2013-02,-0.20000000000000284,2013-05-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2013-03,0.9000000000000057,2013-06-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2013-04,0.09999999999999432,2013-07-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2013-05,-0.20000000000000284,2013-08-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2013-06,-1.0,2013-09-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2013-07,0.5,2013-10-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2013-08,-0.7999999999999972,2013-11-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2013-09,-0.20000000000000284,2013-12-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2013-10,-1.0999999999999943,2014-01-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2013-11,3.5999999999999943,2014-02-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2013-12,1.7000000000000028,2014-03-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2014-01,-0.4000000000000057,2014-04-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2014-02,-0.20000000000000284,2014-05-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2014-03,-0.7999999999999972,2014-06-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2014-04,-0.4000000000000057,2014-07-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2014-05,0.0,2014-08-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2014-06,0.29999999999999716,2014-09-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2014-07,0.0,2014-10-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2014-08,0.7000000000000028,2014-11-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2014-09,0.0,2014-12-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2014-10,-0.09999999999999432,2015-01-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2014-11,0.0,2015-02-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2014-12,-1.0999999999999943,2015-03-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2015-01,-0.20000000000000284,2015-04-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2015-02,-0.4000000000000057,2015-05-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2015-03,0.29999999999999716,2015-06-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2015-04,1.0,2015-07-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2015-05,-0.4000000000000057,2015-08-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2015-06,-0.29999999999999716,2015-09-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2015-07,-0.7999999999999972,2015-10-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2015-08,-1.0,2015-11-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2015-09,-0.7000000000000028,2015-12-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2015-10,-0.29999999999999716,2016-01-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2015-11,0.0,2016-02-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2015-12,-1.2000000000000028,2016-03-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2016-01,-1.5,2016-04-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2016-02,-1.0999999999999943,2016-05-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2016-03,0.20000000000000284,2016-06-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2016-04,-0.29999999999999716,2016-07-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2016-05,0.4000000000000057,2016-08-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2016-06,0.7000000000000028,2016-09-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2016-07,0.20000000000000284,2016-10-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2016-08,-0.09999999999999432,2016-11-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2016-09,0.0,2016-12-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2016-10,0.9000000000000057,2017-01-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2016-11,0.7999999999999972,2017-02-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2016-12,1.2999999999999972,2017-03-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2017-01,1.0999999999999943,2017-04-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2017-02,0.4000000000000057,2017-05-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2017-03,-0.20000000000000284,2017-06-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2017-04,-0.5999999999999943,2017-07-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2017-05,-1.4000000000000057,2017-08-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
