model,n,total_rmse_annual_log_pp,core_effect_mse_annual_log_pp_squared,retained_mse_annual_log_pp_squared,twice_uncentered_cross_moment,total_mse_annual_log_pp_squared,identity_error,unweighted_cumulative_core_rmse_log_pp,twice_centered_covariance,twice_product_of_biases
DAMPED_P95_Q001_R16,75,4.398066660950764,6.631633724173074,9.631209567951295,3.0801470620422347,19.34299035416661,5.329070518200751e-15,4.658799633866288,3.229942528249521,-0.14979546620728582
DAMPED_P95_Q010_R16,75,4.101473401955452,7.784619999743348,9.631209567951295,-0.5937455007466025,16.82208406694803,-1.1657341758564144e-14,5.037961428036209,-0.582851486355824,-0.010894014390779227
STATE_FAST_R15,75,4.450743628070211,5.5811393265995575,9.631209567951295,4.596769948256743,19.80911884280758,-1.4210854715202004e-14,4.278484676610986,4.618912143857327,-0.022142195600586268
