model,clock,threshold,sample,mature_calls,material_gains,material_losses,joint_successes,mean_abs_error_gain
FOOD_ECM_PPI_R27,cutoff,0.3,full,20,6,12,3,-0.1597816821491886
FOOD_ECM_PPI_R27,cutoff,0.3,reports_2024plus,7,1,5,0,-0.2320527346624006
FOOD_ECM_PPI_R27,cutoff,0.5,full,14,5,8,3,-0.1603932710155357
FOOD_ECM_PPI_R27,cutoff,0.5,reports_2024plus,3,1,1,0,-0.0557495330970186
FOOD_ECM_PPI_R27,report,0.3,full,18,5,11,3,-0.065261366398121
FOOD_ECM_PPI_R27,report,0.3,reports_2024plus,6,1,3,0,-0.2414310173911444
FOOD_ECM_PPI_R27,report,0.5,full,16,5,10,3,-0.062422799077935
FOOD_ECM_PPI_R27,report,0.5,reports_2024plus,4,1,2,0,-0.3181615736069121
FOOD_ECM_R27,cutoff,0.3,full,19,5,11,3,-0.1778662839350875
FOOD_ECM_R27,cutoff,0.3,reports_2024plus,6,0,4,0,-0.2314544956849742
FOOD_ECM_R27,cutoff,0.5,full,14,4,8,3,-0.201447339193507
FOOD_ECM_R27,cutoff,0.5,reports_2024plus,2,0,0,0,0.0864502829803417
FOOD_ECM_R27,report,0.3,full,17,4,10,3,-0.0826257209107713
FOOD_ECM_R27,report,0.3,reports_2024plus,5,0,2,0,-0.2660929591687407
FOOD_ECM_R27,report,0.5,full,16,4,10,3,-0.0802701167633193
FOOD_ECM_R27,report,0.5,reports_2024plus,4,0,2,0,-0.3025373521434251
FOOD_NORM_SHIFT_R24,cutoff,0.3,full,17,6,11,3,-0.2134797546432801
FOOD_NORM_SHIFT_R24,cutoff,0.3,reports_2024plus,5,2,3,0,-0.1063887883026785
FOOD_NORM_SHIFT_R24,cutoff,0.5,full,11,4,7,3,-0.2644565176070412
FOOD_NORM_SHIFT_R24,cutoff,0.5,reports_2024plus,0,0,0,0,
FOOD_NORM_SHIFT_R24,report,0.3,full,19,6,12,3,-0.1298211716170389
FOOD_NORM_SHIFT_R24,report,0.3,reports_2024plus,7,2,4,0,-0.2184993517806482
FOOD_NORM_SHIFT_R24,report,0.5,full,13,4,9,3,-0.1717243394399245
FOOD_NORM_SHIFT_R24,report,0.5,reports_2024plus,2,0,2,0,-0.7417499041023669
STATE_FAST_R15,cutoff,0.3,full,19,5,11,2,-0.2888400429295713
STATE_FAST_R15,cutoff,0.3,reports_2024plus,7,1,4,0,-0.2009827670757384
STATE_FAST_R15,cutoff,0.5,full,17,3,11,2,-0.4023939676059732
STATE_FAST_R15,cutoff,0.5,reports_2024plus,6,0,4,0,-0.4072874647411211
STATE_FAST_R15,report,0.3,full,19,4,13,2,-0.2808826348156863
STATE_FAST_R15,report,0.3,reports_2024plus,8,1,5,0,-0.2604386966650312
STATE_FAST_R15,report,0.5,full,17,3,12,2,-0.3219435418344048
STATE_FAST_R15,report,0.5,reports_2024plus,6,0,4,0,-0.3699632871678484
