year,coef_ppi,coef_agri,trend,r2,gap_sd,n,alpha_raw,gap_last_mean
2019,-0.389,0.431,0.157,0.888,0.893,54.0,-0.334,-0.19
2020,0.32,0.185,0.151,0.92,0.934,65.5,-0.35,1.467
2021,0.533,0.096,0.154,0.938,0.959,77.5,-0.399,-0.408
2022,0.483,0.102,0.151,0.962,0.989,89.5,-0.462,0.235
2023,0.783,-0.06,0.14,0.985,1.093,96.0,-0.535,1.502
2024,0.877,-0.109,0.12,0.989,1.16,96.0,-0.546,-0.968
2025,0.989,-0.18,0.087,0.992,1.045,96.0,-0.532,0.425
2026,0.988,-0.175,0.087,0.993,1.005,96.0,-0.54,-0.606
