origin,as_of,band,config,prediction,n_train,train_start,train_end,last_training_target,last_training_release,status
2010-05,2010-06-08 23:59:00,2,a30_w60,,0,,,,,insufficient_history
2010-05,2010-06-08 23:59:00,2,a30_wexpanding,,0,,,,,insufficient_history
2010-05,2010-06-08 23:59:00,2,a300_w60,,0,,,,,insufficient_history
2010-05,2010-06-08 23:59:00,2,a300_wexpanding,,0,,,,,insufficient_history
2010-05,2010-06-08 23:59:00,3,a3_w60,,0,,,,,insufficient_history
2010-05,2010-06-08 23:59:00,3,a3_wexpanding,,0,,,,,insufficient_history
2010-05,2010-06-08 23:59:00,3,a30_w60,,0,,,,,insufficient_history
2010-05,2010-06-08 23:59:00,3,a30_wexpanding,,0,,,,,insufficient_history
2010-05,2010-06-08 23:59:00,3,a300_w60,,0,,,,,insufficient_history
2010-05,2010-06-08 23:59:00,3,a300_wexpanding,,0,,,,,insufficient_history
2010-06,2010-07-11 23:59:00,0,a3_w60,,2,2010-01,2010-02,2010-05,2010-06-09 09:00:00,insufficient_history
2010-06,2010-07-11 23:59:00,0,a3_wexpanding,,2,2010-01,2010-02,2010-05,2010-06-09 09:00:00,insufficient_history
2010-06,2010-07-11 23:59:00,0,a30_w60,,2,2010-01,2010-02,2010-05,2010-06-09 09:00:00,insufficient_history
2010-06,2010-07-11 23:59:00,0,a30_wexpanding,,2,2010-01,2010-02,2010-05,2010-06-09 09:00:00,insufficient_history
2010-06,2010-07-11 23:59:00,0,a300_w60,,2,2010-01,2010-02,2010-05,2010-06-09 09:00:00,insufficient_history
2010-06,2010-07-11 23:59:00,0,a300_wexpanding,,2,2010-01,2010-02,2010-05,2010-06-09 09:00:00,insufficient_history
2010-06,2010-07-11 23:59:00,1,a3_w60,,0,,,,,insufficient_history
2010-06,2010-07-11 23:59:00,1,a3_wexpanding,,0,,,,,insufficient_history
2010-06,2010-07-11 23:59:00,1,a30_w60,,0,,,,,insufficient_history
2010-06,2010-07-11 23:59:00,1,a30_wexpanding,,0,,,,,insufficient_history
2010-06,2010-07-11 23:59:00,1,a300_w60,,0,,,,,insufficient_history
2010-06,2010-07-11 23:59:00,1,a300_wexpanding,,0,,,,,insufficient_history
2010-06,2010-07-11 23:59:00,2,a3_w60,,0,,,,,insufficient_history
2010-06,2010-07-11 23:59:00,2,a3_wexpanding,,0,,,,,insufficient_history
2010-06,2010-07-11 23:59:00,2,a30_w60,,0,,,,,insufficient_history
2010-06,2010-07-11 23:59:00,2,a30_wexpanding,,0,,,,,insufficient_history
2010-06,2010-07-11 23:59:00,2,a300_w60,,0,,,,,insufficient_history
2010-06,2010-07-11 23:59:00,2,a300_wexpanding,,0,,,,,insufficient_history
2010-06,2010-07-11 23:59:00,3,a3_w60,,0,,,,,insufficient_history
2010-06,2010-07-11 23:59:00,3,a3_wexpanding,,0,,,,,insufficient_history
2010-06,2010-07-11 23:59:00,3,a30_w60,,0,,,,,insufficient_history
2010-06,2010-07-11 23:59:00,3,a30_wexpanding,,0,,,,,insufficient_history
2010-06,2010-07-11 23:59:00,3,a300_w60,,0,,,,,insufficient_history
2010-06,2010-07-11 23:59:00,3,a300_wexpanding,,0,,,,,insufficient_history
2010-07,2010-08-08 23:59:00,0,a3_w60,,3,2010-01,2010-03,2010-06,2010-07-12 09:00:00,insufficient_history
2010-07,2010-08-08 23:59:00,0,a3_wexpanding,,3,2010-01,2010-03,2010-06,2010-07-12 09:00:00,insufficient_history
2010-07,2010-08-08 23:59:00,0,a30_w60,,3,2010-01,2010-03,2010-06,2010-07-12 09:00:00,insufficient_history
2010-07,2010-08-08 23:59:00,0,a30_wexpanding,,3,2010-01,2010-03,2010-06,2010-07-12 09:00:00,insufficient_history
2010-07,2010-08-08 23:59:00,0,a300_w60,,3,2010-01,2010-03,2010-06,2010-07-12 09:00:00,insufficient_history
2010-07,2010-08-08 23:59:00,0,a300_wexpanding,,3,2010-01,2010-03,2010-06,2010-07-12 09:00:00,insufficient_history
2010-07,2010-08-08 23:59:00,1,a3_w60,,0,,,,,insufficient_history
2010-07,2010-08-08 23:59:00,1,a3_wexpanding,,0,,,,,insufficient_history
2010-07,2010-08-08 23:59:00,1,a30_w60,,0,,,,,insufficient_history
2010-07,2010-08-08 23:59:00,1,a30_wexpanding,,0,,,,,insufficient_history
2010-07,2010-08-08 23:59:00,1,a300_w60,,0,,,,,insufficient_history
2010-07,2010-08-08 23:59:00,1,a300_wexpanding,,0,,,,,insufficient_history
2010-07,2010-08-08 23:59:00,2,a3_w60,,0,,,,,insufficient_history
2010-07,2010-08-08 23:59:00,2,a3_wexpanding,,0,,,,,insufficient_history
2010-07,2010-08-08 23:59:00,2,a30_w60,,0,,,,,insufficient_history
2010-07,2010-08-08 23:59:00,2,a30_wexpanding,,0,,,,,insufficient_history
2010-07,2010-08-08 23:59:00,2,a300_w60,,0,,,,,insufficient_history
2010-07,2010-08-08 23:59:00,2,a300_wexpanding,,0,,,,,insufficient_history
2010-07,2010-08-08 23:59:00,3,a3_w60,,0,,,,,insufficient_history
2010-07,2010-08-08 23:59:00,3,a3_wexpanding,,0,,,,,insufficient_history
2010-07,2010-08-08 23:59:00,3,a30_w60,,0,,,,,insufficient_history
2010-07,2010-08-08 23:59:00,3,a30_wexpanding,,0,,,,,insufficient_history
2010-07,2010-08-08 23:59:00,3,a300_w60,,0,,,,,insufficient_history
2010-07,2010-08-08 23:59:00,3,a300_wexpanding,,0,,,,,insufficient_history
2010-08,2010-09-08 23:59:00,0,a3_w60,,4,2010-01,2010-04,2010-07,2010-08-09 09:00:00,insufficient_history
2010-08,2010-09-08 23:59:00,0,a3_wexpanding,,4,2010-01,2010-04,2010-07,2010-08-09 09:00:00,insufficient_history
2010-08,2010-09-08 23:59:00,0,a30_w60,,4,2010-01,2010-04,2010-07,2010-08-09 09:00:00,insufficient_history
2010-08,2010-09-08 23:59:00,0,a30_wexpanding,,4,2010-01,2010-04,2010-07,2010-08-09 09:00:00,insufficient_history
2010-08,2010-09-08 23:59:00,0,a300_w60,,4,2010-01,2010-04,2010-07,2010-08-09 09:00:00,insufficient_history
2010-08,2010-09-08 23:59:00,0,a300_wexpanding,,4,2010-01,2010-04,2010-07,2010-08-09 09:00:00,insufficient_history
2010-08,2010-09-08 23:59:00,1,a3_w60,,1,2010-01,2010-01,2010-07,2010-08-09 09:00:00,insufficient_history
2010-08,2010-09-08 23:59:00,1,a3_wexpanding,,1,2010-01,2010-01,2010-07,2010-08-09 09:00:00,insufficient_history
2010-08,2010-09-08 23:59:00,1,a30_w60,,1,2010-01,2010-01,2010-07,2010-08-09 09:00:00,insufficient_history
