sample,h,model,control,n,mse_difference,ci_low,ci_high,block_length,replicates,seed
full,1,CORE_LOCAL_R14,INDEPENDENT_BRIDGE,88,-0.07401478212320632,-0.1749677049438687,-0.004815012552997957,12,2000,1409
full,1,CORE_LEVEL_RIDGE_R14,INDEPENDENT_BRIDGE,88,-0.06729562851087646,-0.15979950054074815,-0.0007059850369951478,12,2000,1409
full,1,CORE_GAP_RIDGE_R14,INDEPENDENT_BRIDGE,88,-0.07292395451799738,-0.17640753013447238,-0.0007524630432492037,12,2000,1409
full,1,CORE_GAP_ADAPT_R14,INDEPENDENT_BRIDGE,88,-0.07482224991664327,-0.18629830885585005,0.0025222350731753645,12,2000,1409
full,1,CORE_LEVEL_RF_R14,INDEPENDENT_BRIDGE,88,-0.04132189459256868,-0.11432122125153416,0.007154897201946551,12,2000,1409
full,1,CORE_GAP_RF_R14,INDEPENDENT_BRIDGE,88,-0.07846275424267772,-0.19845704463762018,0.002005174073940192,12,2000,1409
full,1,CORE_GAP_RIDGE_R14,CORE_LEVEL_RIDGE_R14,88,-0.005628326007120917,-0.024162636299761727,0.010559893782526312,12,2000,1409
full,1,CORE_GAP_RF_R14,CORE_LEVEL_RF_R14,88,-0.03714085965010903,-0.13740290339791442,0.03314781009475512,12,2000,1409
full,1,CORE_GAP_ADAPT_R14,CORE_GAP_RIDGE_R14,88,-0.001898295398645892,-0.024337286760024786,0.017999279558239042,12,2000,1409
full,2,CORE_LOCAL_R14,INDEPENDENT_BRIDGE,86,-0.14219066670608163,-0.4358848663626151,0.0346739398999561,12,2000,1409
full,2,CORE_LEVEL_RIDGE_R14,INDEPENDENT_BRIDGE,86,-0.1275820208717626,-0.3407907743292766,0.019272132875775113,12,2000,1409
full,2,CORE_GAP_RIDGE_R14,INDEPENDENT_BRIDGE,86,-0.14137690316789434,-0.3844140994763834,0.014797921843891799,12,2000,1409
full,2,CORE_GAP_ADAPT_R14,INDEPENDENT_BRIDGE,86,-0.14996119089871043,-0.42359228496898016,0.027553293590695496,12,2000,1409
full,2,CORE_LEVEL_RF_R14,INDEPENDENT_BRIDGE,86,-0.059943473799753094,-0.29578586523594347,0.16837251982531878,12,2000,1409
full,2,CORE_GAP_RF_R14,INDEPENDENT_BRIDGE,86,-0.16411075609074477,-0.45536892503142623,0.033389740563315076,12,2000,1409
full,2,CORE_GAP_RIDGE_R14,CORE_LEVEL_RIDGE_R14,86,-0.013794882296131747,-0.07160845233708255,0.03638347246907915,12,2000,1409
full,2,CORE_GAP_RF_R14,CORE_LEVEL_RF_R14,86,-0.10416728229099169,-0.40141780632483687,0.12041500772556794,12,2000,1409
full,2,CORE_GAP_ADAPT_R14,CORE_GAP_RIDGE_R14,86,-0.008584287730816115,-0.08458472436154374,0.05767187524339892,12,2000,1409
full,3,CORE_LOCAL_R14,INDEPENDENT_BRIDGE,84,-0.08045259842156266,-0.47693122173114566,0.24749721441493855,12,2000,1409
full,3,CORE_LEVEL_RIDGE_R14,INDEPENDENT_BRIDGE,84,-0.10433508357460308,-0.3426961691925949,0.09092876438645207,12,2000,1409
full,3,CORE_GAP_RIDGE_R14,INDEPENDENT_BRIDGE,84,-0.13263089359324484,-0.3992872457064032,0.062404290234875065,12,2000,1409
full,3,CORE_GAP_ADAPT_R14,INDEPENDENT_BRIDGE,84,-0.11955695609091715,-0.46653181595769844,0.1330221712889888,12,2000,1409
full,3,CORE_LEVEL_RF_R14,INDEPENDENT_BRIDGE,84,0.08777837974302634,-0.4109392260840737,0.7036972226620237,12,2000,1409
full,3,CORE_GAP_RF_R14,INDEPENDENT_BRIDGE,84,-0.14944307212468397,-0.574979477933557,0.14302089368387777,12,2000,1409
full,3,CORE_GAP_RIDGE_R14,CORE_LEVEL_RIDGE_R14,84,-0.028295810018641745,-0.15091903636410198,0.07388363416613451,12,2000,1409
full,3,CORE_GAP_RF_R14,CORE_LEVEL_RF_R14,84,-0.23722145186771026,-0.9392331824815269,0.29210067347569624,12,2000,1409
full,3,CORE_GAP_ADAPT_R14,CORE_GAP_RIDGE_R14,84,0.013073937502327665,-0.13904017169524238,0.16235760141272945,12,2000,1409
full,4,CORE_LOCAL_R14,INDEPENDENT_BRIDGE,83,0.07607972350904717,-0.5454995343280269,0.7612311515995972,12,2000,1409
full,4,CORE_LEVEL_RIDGE_R14,INDEPENDENT_BRIDGE,83,-0.03571645982932819,-0.45869653733424315,0.46985101632815474,12,2000,1409
full,4,CORE_GAP_RIDGE_R14,INDEPENDENT_BRIDGE,83,-0.06497989029992732,-0.4443931522580107,0.3116128716169286,12,2000,1409
full,4,CORE_GAP_ADAPT_R14,INDEPENDENT_BRIDGE,83,-0.2818089763806334,-1.2326583912230815,0.35833777116131754,12,2000,1409
full,4,CORE_LEVEL_RF_R14,INDEPENDENT_BRIDGE,83,0.407611560068584,-0.48796507193597083,1.6735133678074072,12,2000,1409
full,4,CORE_GAP_RF_R14,INDEPENDENT_BRIDGE,83,-0.07012741517459328,-0.7483837028850244,0.4831679457291581,12,2000,1409
full,4,CORE_GAP_RIDGE_R14,CORE_LEVEL_RIDGE_R14,83,-0.0292634304705992,-0.23030822258291733,0.15027330186643,12,2000,1409
full,4,CORE_GAP_RF_R14,CORE_LEVEL_RF_R14,83,-0.4777389752431772,-1.839186536374978,0.5290084804331592,12,2000,1409
full,4,CORE_GAP_ADAPT_R14,CORE_GAP_RIDGE_R14,83,-0.21682908608070606,-0.8668167707151349,0.20446568734762116,12,2000,1409
full,5,CORE_LOCAL_R14,INDEPENDENT_BRIDGE,82,0.2074337531147611,-0.8321249851381426,1.2379880773782723,12,2000,1409
full,5,CORE_LEVEL_RIDGE_R14,INDEPENDENT_BRIDGE,82,-0.06807198692166151,-0.9558071962372957,0.8262553682528165,12,2000,1409
