origin,as_of,band,model,level_prediction,current_trend,n_train,last_training_origin,last_training_target,training_last_release
2019-02,2019-03-10 23:59:00,0,CORE_LOCAL_R14,0.2655616739386371,0.2655616739386371,106,2018-10,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,0,CORE_LEVEL_RIDGE_R14,0.17421067781140737,0.2655616739386371,106,2018-10,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,0,CORE_GAP_RIDGE_R14,0.2099195045162408,0.2655616739386371,106,2018-10,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,0,CORE_GAP_ADAPT_R14,0.11757383601732257,0.2655616739386371,106,2018-10,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,0,CORE_LEVEL_RF_R14,0.14207285082859605,0.2655616739386371,106,2018-10,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,0,CORE_GAP_RF_R14,0.24942587248776546,0.2655616739386371,106,2018-10,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,1,CORE_LOCAL_R14,0.2655616739386371,0.2655616739386371,103,2018-07,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,1,CORE_LEVEL_RIDGE_R14,0.19331057000422203,0.2655616739386371,103,2018-07,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,1,CORE_GAP_RIDGE_R14,0.22790658935157174,0.2655616739386371,103,2018-07,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,1,CORE_GAP_ADAPT_R14,0.20300915313416662,0.2655616739386371,103,2018-07,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,1,CORE_LEVEL_RF_R14,0.14219566052996946,0.2655616739386371,103,2018-07,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,1,CORE_GAP_RF_R14,0.2579991491332219,0.2655616739386371,103,2018-07,2019-01,2019-02-13 09:00:00
2019-02,2019-03-10 23:59:00,2,CORE_LOCAL_R14,0.2655616739386371,0.2655616739386371,100,2018-04,2019-01,2019-02-13 09:00:00
