period,headline,core,food,fuel,administered,alcohol_tobacco
2007-01,,0.3,,,3.2,
2007-02,,0.2,,,0.6,
2007-03,,0.0,,,0.0,
2007-04,,0.1,,,0.6,
2007-05,,0.1,,,0.3,
2007-06,,0.1,,,0.1,
2007-07,,0.4,,,0.4,
2007-08,,0.1,,,0.1,
2007-09,,-0.6,,,0.2,
2007-10,,0.2,,,0.7,
2007-11,,0.0,,,0.0,
2007-12,,0.2,,,0.2,
2008-01,,0.6,,,11.4,
2008-02,,0.6,,,0.5,
2008-03,,0.1,,,0.1,
2008-04,,0.2,,,0.5,
2008-05,,0.1,,,0.1,
2008-06,,0.1,,,0.0,
2008-07,,0.5,,,1.5,
2008-08,,0.2,,,0.1,
2008-09,,-0.6,,,0.1,
2008-10,,-0.3,,,1.7,
2008-11,,-0.2,,,0.0,
2008-12,,-0.1,,,0.4,
2009-01,,0.2,,,6.1,
2009-02,,0.1,,,-0.2,
2009-03,,0.0,,,0.2,
2009-04,,0.1,,,-0.6,
2009-05,,0.0,,,0.1,
2009-06,,0.0,,,0.0,
2009-07,,0.2,,,-0.5,
2009-08,,0.1,,,0.0,
2009-09,,-0.6,,,0.1,
2009-10,,0.0,,,-0.3,
2009-11,,-0.1,,,0.0,
2009-12,,-0.1,,,0.0,
2010-01,,-0.5,,,1.7,
2010-02,,-0.1,,,0.3,
2010-03,,-0.1,,,0.1,
2010-04,,0.1,,,0.6,
2010-05,,0.0,,,0.4,
2010-06,,0.0,,,0.0,
2010-07,,0.2,,,0.7,
2010-08,,0.0,,,0.0,
2010-09,,-0.6,,,0.1,
2010-10,,-0.1,,,-0.1,
2010-11,,-0.2,,,-0.1,
2010-12,,-0.1,,,0.0,
2011-01,,0.0,,,2.4,
2011-02,,-0.1,,,0.1,
2011-03,,-0.1,,,0.1,
2011-04,,0.2,,,0.1,
2011-05,,-0.1,,,0.2,
2011-06,,0.0,,,1.2,
2011-07,,0.3,,,0.4,
2011-08,,0.0,,,0.1,
2011-09,,-0.5,,,0.2,
2011-10,,0.2,,,0.1,
2011-11,,-0.1,,,1.0,
2011-12,,-0.1,,,1.1,
2012-01,,0.1,,,4.8,
2012-02,,0.1,,,0.3,
2012-03,,-0.2,,,0.0,
2012-04,,0.3,,,0.1,
2012-05,,0.0,,,0.2,
2012-06,,0.0,,,0.1,
2012-07,,0.1,,,0.2,
2012-08,,-0.1,,,0.0,
2012-09,,-0.5,,,0.1,
2012-10,,0.1,,,0.0,
2012-11,,-0.3,,,0.1,
2012-12,,-0.2,,,0.3,
2013-01,,0.2,,,2.3,
2013-02,,0.2,,,0.1,
2013-03,,-0.2,,,0.1,
2013-04,,0.2,,,0.1,
2013-05,,-0.3,,,-0.9,
2013-06,,-0.1,,,0.0,
2013-07,,0.2,,,-0.5,
2013-08,,-0.1,,,0.1,
2013-09,,-0.6,,,0.1,
2013-10,,0.3,,,-0.1,
2013-11,,-0.2,,,0.0,
2013-12,,0.0,,,-0.1,
2014-01,,0.2,,,-2.9,
2014-02,,0.2,,,0.0,
2014-03,,0.0,,,0.1,
