model,origin,target,h,block,as_of_utc,weight_at_destination,monthly_forecast,monthly_actual,monthly_error,monthly_weighted_error,cumulative_log_forecast,cumulative_log_actual,cumulative_log_error,cumulative_weighted_forecast,cumulative_weighted_actual,cumulative_weighted_error,n_prediction_months,n_actual_months,component_path_status,annual_forecast,annual_actual,annual_oracle,annual_error,annual_block_error,annual_other_error,block_squared_error,other_squared_error,cross_term,headline_squared_error,oracle_mse_gain,annual_oracle_status
INDEPENDENT_BRIDGE,2019-02,2019-03,1,core,2019-03-10T22:59:00+00:00,0.5473483906668922,0.025073771816025797,-0.1,0.1250737718160258,0.06845892771813983,0.02507062887121929,-0.10005003335835334,0.12512066222957263,0.013724088651450599,-0.054734839066689224,0.06845892771813983,1,1,complete,,2.969348659003822,,,,,,,,,,unavailable_prediction_or_actual
INDEPENDENT_BRIDGE,2019-02,2019-04,2,core,2019-03-10T22:59:00+00:00,0.5473483906668922,0.5296931892648143,0.4,0.12969318926481432,0.07098735842455278,0.5533658781180728,0.299152093595392,0.25421378452268084,0.3036508033427603,0.16420451720006768,0.1394462861426926,2,2,complete,,2.769818529130848,,,,,,,,,,unavailable_prediction_or_actual
INDEPENDENT_BRIDGE,2019-02,2019-05,3,core,2019-03-10T22:59:00+00:00,0.5473483906668922,0.16634422662972032,0.1,0.06634422662972031,0.036313405675816986,0.7195719059750221,0.39910212690374536,0.32046977907127683,0.3946990480852665,0.2189393562667569,0.1757596918185096,3,3,complete,,2.946768060836498,,,,,,,,,,unavailable_prediction_or_actual
INDEPENDENT_BRIDGE,2019-02,2019-06,4,core,2019-03-10T22:59:00+00:00,0.5473483906668922,0.21262805398206847,0.3,-0.08737194601793152,-0.0478228940423494,0.9319742264356187,0.6986530248835933,0.23332120155202554,0.5110806712429847,0.38314387346682455,0.12793679777616018,4,4,complete,,2.7462121212121224,,,,,,,,,,unavailable_prediction_or_actual
INDEPENDENT_BRIDGE,2019-02,2019-07,5,core,2019-03-10T22:59:00+00:00,0.5473483906668922,0.5465218588134975,1.0,-0.45347814118650254,-0.2482105307810459,1.477008073615551,1.6936861102004017,-0.21667803658485038,0.810218531128831,0.9304922641337168,-0.12027373300488572,5,5,complete,,2.9300567107750517,,,,,,,,,,unavailable_prediction_or_actual
INDEPENDENT_BRIDGE,2019-02,2019-08,6,core,2019-03-10T22:59:00+00:00,0.5473483906668922,0.12256957145811512,0.2,-0.0774304285418849,-0.04238142045104849,1.5995025898980402,1.8934863764677075,-0.29398378656966684,0.877306788811161,1.0399619422670952,-0.16265515345593423,6,6,complete,,2.927289896128419,,,,,,,,,,unavailable_prediction_or_actual
INDEPENDENT_BRIDGE,2019-02,2019-09,7,core,2019-03-10T22:59:00+00:00,0.5473483906668922,-0.29029022589730136,-0.9,0.6097097741026987,0.33372366362898653,1.308790204735147,0.989411911252801,0.31937829348234636,0.7184169008399445,0.5473483906668921,0.1710685101730523,7,7,complete,,2.6515151515151705,,,,,,,,,,unavailable_prediction_or_actual
INDEPENDENT_BRIDGE,2019-02,2019-10,8,core,2019-03-10T22:59:00+00:00,0.5473483906668922,0.4950422852541182,0.6,-0.10495771474588178,-0.05744843625423313,1.8026111846617763,1.5876190790075468,0.2149921056542291,0.9893774989858467,0.8757574250670275,0.11362007391881918,8,8,complete,,2.735849056603792,,,,,,,,,,unavailable_prediction_or_actual
INDEPENDENT_BRIDGE,2019-02,2019-11,9,core,2019-03-10T22:59:00+00:00,0.5473483906668922,0.20785762081970469,0.0,0.20785762081970469,0.11377053424351447,2.0102530804110934,1.5876190790075468,0.42263400140354646,1.103148033229361,0.8757574250670275,0.22739060816233364,9,9,complete,,3.116147308781873,,,,,,,,,,unavailable_prediction_or_actual
INDEPENDENT_BRIDGE,2019-02,2019-12,10,core,2019-03-10T22:59:00+00:00,0.5473483906668922,0.23849667660436488,0.1,0.13849667660436488,0.07580593305211214,2.248465805079373,1.6875691123159002,0.5608966927634726,1.2336888053481625,0.9304922641337167,0.3031965412144458,10,10,complete,,3.207547169811327,,,,,,,,,,unavailable_prediction_or_actual
