month,garden_pets_goods
2015-01,99.900000000000006
2015-02,101
2015-03,100.40000000000001
2015-04,100.7
2015-05,101.3
2015-06,100
2015-07,100
2015-08,99.200000000000003
2015-09,99.900000000000006
2015-10,98.5
2015-11,98.400000000000006
2015-12,100.8
2016-01,101.5
2016-02,100.40000000000001
2016-03,102.59999999999999
2016-04,102.40000000000001
2016-05,103.8
2016-06,104.90000000000001
2016-07,104
2016-08,103.3
2016-09,103.7
2016-10,101.90000000000001
2016-11,102.8
2016-12,104.09999999999999
2017-01,104.5
2017-02,106.5
2017-03,107.5
2017-04,106.8
2017-05,108.2
2017-06,106.7
2017-07,105.40000000000001
2017-08,106.3
2017-09,105.3
2017-10,104.8
2017-11,106
2017-12,105.2
2018-01,106
2018-02,108.90000000000001
2018-03,109
2018-04,108.2
2018-05,108.2
2018-06,108.5
2018-07,108.5
2018-08,106.90000000000001
2018-09,108.09999999999999
2018-10,106.90000000000001
2018-11,106
2018-12,108.09999999999999
2019-01,108.3
2019-02,111.2
2019-03,110.7
2019-04,109.90000000000001
2019-05,111.2
2019-06,110
2019-07,108.40000000000001
2019-08,106.8
2019-09,108.3
2019-10,108.7
2019-11,108.40000000000001
2019-12,108.59999999999999
2020-01,110.59999999999999
2020-02,112.59999999999999
2020-03,112.7
2020-04,112.59999999999999
2020-05,111.40000000000001
2020-06,112.09999999999999
2020-07,114.40000000000001
2020-08,113.09999999999999
2020-09,113.3
2020-10,112.59999999999999
2020-11,114
2020-12,114.2
2021-01,111.90000000000001
2021-02,113.09999999999999
2021-03,113
2021-04,114.5
2021-05,115.59999999999999
2021-06,118
2021-07,116.5
2021-08,117.2
2021-09,118.7
2021-10,119.3
2021-11,121.3
2021-12,122.3
2022-01,123.7
2022-02,129
2022-03,131.69999999999999
2022-04,133.90000000000001
2022-05,136.19999999999999
2022-06,140.09999999999999
2022-07,139.40000000000001
2022-08,141.40000000000001
2022-09,144.59999999999999
2022-10,145.80000000000001
2022-11,147.90000000000001
2022-12,149.80000000000001
2023-01,150.59999999999999
2023-02,157.09999999999999
2023-03,158
2023-04,158.69999999999999
2023-05,158.5
2023-06,159.59999999999999
2023-07,157.5
2023-08,155.59999999999999
2023-09,157
2023-10,153.5
2023-11,156
2023-12,154.40000000000001
2024-01,154.09999999999999
2024-02,155.80000000000001
2024-03,155
2024-04,156.5
2024-05,156.30000000000001
2024-06,156.40000000000001
2024-07,154.80000000000001
2024-08,154
2024-09,153.90000000000001
2024-10,153.80000000000001
2024-11,153
2024-12,153.69999999999999
2025-01,157.30000000000001
2025-02,156.59999999999999
2025-03,156.19999999999999
2025-04,156.59999999999999
2025-05,157
2025-06,156.09999999999999
2025-07,153.80000000000001
2025-08,154.59999999999999
2025-09,154.19999999999999
2025-10,153.69999999999999
2025-11,152.69999999999999
2025-12,153.5
2026-01,154.69999999999999
2026-02,156.09999999999999
2026-03,158
2026-04,159.80000000000001
2026-05,156.5
2026-06,156.40000000000001
2026-07,155.59999999999999
2026-08,155.59999999999999
