threshold,clock,model,sample,n,reports,actual_direction_hits,material_gains,material_losses,mean_abs_gain,median_capture,median_relative_abs_gain,overshoot_beyond_twice
0.5,cutoff,CORE_PHASE_FIXED040_R29,full,25,13,16,15,7,0.2173579385708987,0.37377334836247006,0.37377334836247006,0
0.5,cutoff,CORE_PHASE_FIXED040_R29,reports_2024plus,8,6,6,5,1,0.15049140387377688,0.3785578441088665,0.3785578441088665,0
0.5,cutoff,CORE_PHASE_FIXED060_R29,full,25,13,15,14,7,0.28974370221618045,0.35722503280083795,0.35722503280083795,0
0.5,cutoff,CORE_PHASE_FIXED060_R29,reports_2024plus,8,6,5,5,1,0.13712844725031584,0.35614745041820495,0.35614745041820495,0
0.5,cutoff,CORE_PHASE_FIXED080_R29,full,25,13,14,14,7,0.3556591664403186,0.35722503280083795,0.35722503280083795,0
0.5,cutoff,CORE_PHASE_FIXED080_R29,reports_2024plus,8,6,5,5,1,0.12375804620432246,0.33372671250414987,0.33372671250414987,0
0.5,cutoff,CORE_PHASE_OWN_R29,full,25,13,14,13,8,-0.28221933876732874,0.10016025450690054,0.10016025450690054,0
0.5,cutoff,CORE_PHASE_OWN_R29,reports_2024plus,8,6,5,4,0,0.1399740869378752,0.23116204182530797,0.23116204182530797,0
0.5,cutoff,CORE_PHASE_TARGET_R29,full,25,13,14,13,9,-0.21955692512964384,0.12092008476430914,0.12092008476430914,0
0.5,cutoff,CORE_PHASE_TARGET_R29,reports_2024plus,8,6,5,5,1,0.160675233679368,0.35615836879500923,0.35615836879500923,0
0.5,cutoff,CORE_SINGLE_TARGET_R29,full,25,13,14,13,8,-0.23026962557058162,0.1273754854793582,0.1273754854793582,0
0.5,cutoff,CORE_SINGLE_TARGET_R29,reports_2024plus,8,6,5,5,0,0.15960084223437776,0.34646575333514557,0.34646575333514557,0
0.5,cutoff,FOOD_ECM_R27,full,25,13,15,15,8,0.42099634496767036,0.35722503280083795,0.35722503280083795,0
0.5,cutoff,FOOD_ECM_R27,reports_2024plus,8,6,5,5,2,0.11038019558501427,0.31129562517500053,0.31129562517500053,0
0.5,cutoff,STATE_FAST_R15,full,25,13,16,13,8,0.3378968743428,0.3269106084794735,0.11433610877962301,0
0.5,cutoff,STATE_FAST_R15,reports_2024plus,8,6,5,4,2,0.07187766066004392,0.30116716266160637,0.30116716266160637,0
0.5,report,CORE_PHASE_FIXED040_R29,full,25,13,17,16,7,0.539359657044664,0.25467786352784444,0.19701467618988142,0
0.5,report,CORE_PHASE_FIXED040_R29,reports_2024plus,8,6,7,6,1,0.18005286242089588,0.4088186570439043,0.3076176118596114,0
0.5,report,CORE_PHASE_FIXED060_R29,full,25,13,18,15,6,0.6043127969077121,0.22397122732139774,0.22089096199842315,0
0.5,report,CORE_PHASE_FIXED060_R29,reports_2024plus,8,6,7,6,1,0.17758478291317778,0.4088186570439043,0.29059813006111784,0
0.5,report,CORE_PHASE_FIXED080_R29,full,25,13,17,16,5,0.6302475271894314,0.35722503280083795,0.2743088510213221,0
0.5,report,CORE_PHASE_FIXED080_R29,reports_2024plus,8,6,7,6,1,0.17511576860699393,0.4088186570439043,0.31576694191108,0
0.5,report,CORE_PHASE_OWN_R29,full,25,13,17,12,8,0.012175716301511734,0.17189260188474806,0.17189260188474798,0
0.5,report,CORE_PHASE_OWN_R29,reports_2024plus,8,6,8,4,0,0.1816265957424239,0.2645270143634215,0.23013574714346613,0
0.5,report,CORE_PHASE_TARGET_R29,full,25,13,16,12,7,0.06737065881492967,0.1479112449670371,0.1479112449670371,0
0.5,report,CORE_PHASE_TARGET_R29,reports_2024plus,8,6,7,6,0,0.20244453105818536,0.3706464637672574,0.287011323664995,0
0.5,report,CORE_SINGLE_TARGET_R29,full,25,13,18,12,7,0.10413801637891627,0.13253898703361477,0.13253898703361477,0
0.5,report,CORE_SINGLE_TARGET_R29,reports_2024plus,8,6,8,6,0,0.20443570746573805,0.3636367100992022,0.27867300393037586,0
0.5,report,FOOD_ECM_R27,full,25,13,17,15,8,0.592385232088698,0.35722503280083795,0.21720605741256763,1
0.5,report,FOOD_ECM_R27,reports_2024plus,8,6,7,6,1,0.17264581911214058,0.40208645961531225,0.340944173650479,0
0.5,report,STATE_FAST_R15,full,25,13,17,14,9,0.4608856350119926,0.3411278194696015,0.1658194704814942,1
0.5,report,STATE_FAST_R15,reports_2024plus,8,6,6,5,2,0.10568420012010615,0.45944007034518297,0.3241624248698294,0
1.0,cutoff,CORE_PHASE_FIXED040_R29,full,13,4,8,8,5,0.36028304966999747,0.3854947881060355,0.3854947881060355,0
1.0,cutoff,CORE_PHASE_FIXED040_R29,reports_2024plus,0,0,0,0,0,,,,0
1.0,cutoff,CORE_PHASE_FIXED060_R29,full,13,4,8,8,5,0.5476721774076119,0.3854947881060355,0.3854947881060355,0
1.0,cutoff,CORE_PHASE_FIXED060_R29,reports_2024plus,0,0,0,0,0,,,,0
1.0,cutoff,CORE_PHASE_FIXED080_R29,full,13,4,8,8,5,0.7365211173192764,0.3854947881060355,0.3854947881060355,0
1.0,cutoff,CORE_PHASE_FIXED080_R29,reports_2024plus,0,0,0,0,0,,,,0
1.0,cutoff,CORE_PHASE_OWN_R29,full,13,4,7,7,6,-0.3975596941757265,0.09725194707209815,0.09725194707209815,0
1.0,cutoff,CORE_PHASE_OWN_R29,reports_2024plus,0,0,0,0,0,,,,0
1.0,cutoff,CORE_PHASE_TARGET_R29,full,13,4,7,7,6,-0.2920430967993464,0.11756396278816196,0.11756396278816196,0
1.0,cutoff,CORE_PHASE_TARGET_R29,reports_2024plus,0,0,0,0,0,,,,0
1.0,cutoff,CORE_SINGLE_TARGET_R29,full,13,4,7,7,6,-0.2961939318333667,0.1273754854793582,0.1273754854793582,0
1.0,cutoff,CORE_SINGLE_TARGET_R29,reports_2024plus,0,0,0,0,0,,,,0
1.0,cutoff,FOOD_ECM_R27,full,13,4,9,9,4,0.9268432049085298,0.3854947881060355,0.3854947881060355,0
1.0,cutoff,FOOD_ECM_R27,reports_2024plus,0,0,0,0,0,,,,0
1.0,cutoff,STATE_FAST_R15,full,13,4,9,8,4,0.8561315431269544,0.36077114860664683,0.3547286527584467,0
1.0,cutoff,STATE_FAST_R15,reports_2024plus,0,0,0,0,0,,,,0
1.0,report,CORE_PHASE_FIXED040_R29,full,13,4,9,9,4,1.0631357430410988,0.1828230813599389,0.1828230813599389,0
1.0,report,CORE_PHASE_FIXED040_R29,reports_2024plus,0,0,0,0,0,,,,0
1.0,report,CORE_PHASE_FIXED060_R29,full,13,4,10,9,3,1.1710780452626348,0.36803295021511323,0.36803295021511323,0
