clock,report_date,cutoff_date,quarter,quarters_ahead,origin,as_of_utc,model,forecast,realised,error,model_cnb_deviation,realised_cnb_error,abs_error_gain_vs_cnb,squared_error_gain_vs_cnb,material_gain,material_loss,deviation_direction_correct,threshold,capture_ratio,relative_absolute_error_gain
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,STATE_FAST_R15,10.79035743221643,11.23658150891361,-0.44622407669717923,1.1537254442610791,1.5999495209582584,1.1537254442610791,2.3607225429903105,True,False,True,0.5,0.721101152972675,0.721101152972675
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,FOOD_ECM_R27,10.872275145279238,11.23658150891361,-0.3643063636343715,1.2356431573238869,1.5999495209582584,1.2356431573238869,2.4271193430300615,True,False,True,0.5,0.7723013389721337,0.7723013389721337
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,CORE_PHASE_TARGET_R29,10.19586448431248,11.23658150891361,-1.040717024601129,0.5592324963571293,1.5999495209582584,0.5592324963571293,1.4767465443199337,True,False,True,0.5,0.34953133772757283,0.34953133772757283
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,CORE_PHASE_OWN_R29,10.1435056361163,11.23658150891361,-1.093075872797309,0.5068736481609495,1.5999495209582584,0.5068736481609495,1.3650236059229621,True,False,True,0.5,0.31680602514094786,0.31680602514094786
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,CORE_SINGLE_TARGET_R29,10.247758528425923,11.23658150891361,-0.9888229804876865,0.6111265404705719,1.5999495209582584,0.6111265404705719,1.582067582874009,True,False,True,0.5,0.3819661385970163,0.3819661385970163
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,CORE_PHASE_FIXED040_R29,10.872275145279238,11.23658150891361,-0.3643063636343715,1.2356431573238869,1.5999495209582584,1.2356431573238869,2.4271193430300615,True,False,True,0.5,0.7723013389721337,0.7723013389721337
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,CORE_PHASE_FIXED060_R29,10.872275145279238,11.23658150891361,-0.3643063636343715,1.2356431573238869,1.5999495209582584,1.2356431573238869,2.4271193430300615,True,False,True,0.5,0.7723013389721337,0.7723013389721337
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,CORE_PHASE_FIXED080_R29,10.872275145279238,11.23658150891361,-0.3643063636343715,1.2356431573238869,1.5999495209582584,1.2356431573238869,2.4271193430300615,True,False,True,0.5,0.7723013389721337,0.7723013389721337
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,STATE_FAST_R15,11.766130674099614,15.77230851609123,-4.006177841991617,2.2610265140996137,6.267204356091231,2.2610265140996137,23.228389539344292,True,False,True,0.5,0.36077114860664683,0.36077114860664683
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,FOOD_ECM_R27,11.921078775268612,15.77230851609123,-3.8512297408226193,2.4159746152686115,6.267204356091231,2.4159746152686115,24.445879924412242,True,False,True,0.5,0.3854947881060355,0.3854947881060355
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,CORE_PHASE_TARGET_R29,10.2629350419738,15.77230851609123,-5.509373474117432,0.7578308819737991,6.267204356091231,0.7578308819737991,8.924654363700125,True,False,True,0.5,0.12092008476430914,0.12092008476430914
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,CORE_PHASE_OWN_R29,10.132828943352854,15.77230851609123,-5.639479572738377,0.6277247833528534,6.267204356091231,0.6277247833528534,7.474120589675472,True,False,True,0.5,0.10016025450690054,0.10016025450690054
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,CORE_SINGLE_TARGET_R29,10.33575307688899,15.77230851609123,-5.436555439202241,0.8306489168889897,6.267204356091231,0.8306489168889897,9.72171539748943,True,False,True,0.5,0.13253898703361477,0.13253898703361477
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,CORE_PHASE_FIXED040_R29,11.921078775268612,15.77230851609123,-3.8512297408226193,2.4159746152686115,6.267204356091231,2.4159746152686115,24.445879924412242,True,False,True,0.5,0.3854947881060355,0.3854947881060355
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,CORE_PHASE_FIXED060_R29,11.921078775268612,15.77230851609123,-3.8512297408226193,2.4159746152686115,6.267204356091231,2.4159746152686115,24.445879924412242,True,False,True,0.5,0.3854947881060355,0.3854947881060355
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,CORE_PHASE_FIXED080_R29,11.921078775268612,15.77230851609123,-3.8512297408226193,2.4159746152686115,6.267204356091231,2.4159746152686115,24.445879924412242,True,False,True,0.5,0.3854947881060355,0.3854947881060355
report,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,STATE_FAST_R15,11.507533927035754,17.578003612072624,-6.070469685036871,3.3371534970357537,9.407623182072625,3.3371534970357537,51.65277173891861,True,False,True,0.5,0.3547286527584467,0.3547286527584467
report,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,FOOD_ECM_R27,11.68669924689568,17.578003612072624,-5.891304365176945,3.51631881689568,9.407623182072625,3.51631881689568,53.795906812717334,True,False,True,0.5,0.37377334836247006,0.37377334836247006
report,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,CORE_PHASE_TARGET_R29,9.276377891702236,17.578003612072624,-8.301625720370389,1.105997461702236,9.407623182072625,1.105997461702236,19.58638433475508,True,False,True,0.5,0.11756396278816196,0.11756396278816196
report,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,CORE_PHASE_OWN_R29,9.08529010177717,17.578003612072624,-8.492713510295454,0.9149096717771705,9.407623182072625,0.9149096717771705,16.377191167915328,True,False,True,0.5,0.09725194707209815,0.09725194707209815
report,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,CORE_SINGLE_TARGET_R29,9.368681000023365,17.578003612072624,-8.20932261204926,1.198300570023365,9.407623182072625,1.198300570023365,21.110396187166984,True,False,True,0.5,0.1273754854793582,0.1273754854793582
