model,H,sample,block,n,rms,bias
CORE_PHASE_FIXED040_R29,3,full,h0,90,0.41880820829170357,-0.02026752116319163
CORE_PHASE_FIXED040_R29,3,full,core,87,0.4458560458149214,-0.12113753063266208
CORE_PHASE_FIXED040_R29,3,full,food,87,0.3712900805269812,-0.11065427227378737
CORE_PHASE_FIXED040_R29,3,full,fuel,87,0.2880523726038208,-0.04024654359111621
CORE_PHASE_FIXED040_R29,3,full,administered,87,1.0115603852936068,-0.1720612797875276
CORE_PHASE_FIXED040_R29,3,full,alcohol_tobacco,87,0.11080057720054058,-0.028293262725589675
CORE_PHASE_FIXED040_R29,3,full,wedge,87,0.12996229318471006,0.0032673272997644385
CORE_PHASE_FIXED040_R29,3,full,total,87,1.4466868479079147,-0.4929562798805118
CORE_PHASE_FIXED060_R29,3,full,h0,90,0.41880820829170357,-0.02026752116319163
CORE_PHASE_FIXED060_R29,3,full,core,87,0.4305911913059098,-0.08257733335854392
CORE_PHASE_FIXED060_R29,3,full,food,87,0.3712900805269812,-0.11065427227378737
CORE_PHASE_FIXED060_R29,3,full,fuel,87,0.2880523726038208,-0.04024654359111621
CORE_PHASE_FIXED060_R29,3,full,administered,87,1.0115603852936068,-0.1720612797875276
CORE_PHASE_FIXED060_R29,3,full,alcohol_tobacco,87,0.11080057720054058,-0.028293262725589675
CORE_PHASE_FIXED060_R29,3,full,wedge,87,0.12996229318471003,0.0032673272997644407
CORE_PHASE_FIXED060_R29,3,full,total,87,1.394411559186763,-0.45439608260639375
CORE_PHASE_FIXED080_R29,3,full,h0,90,0.41880820829170357,-0.02026752116319163
CORE_PHASE_FIXED080_R29,3,full,core,87,0.43205109933869973,-0.04397335994121115
CORE_PHASE_FIXED080_R29,3,full,food,87,0.3712900805269812,-0.11065427227378737
CORE_PHASE_FIXED080_R29,3,full,fuel,87,0.2880523726038208,-0.04024654359111621
CORE_PHASE_FIXED080_R29,3,full,administered,87,1.0115603852936068,-0.1720612797875276
CORE_PHASE_FIXED080_R29,3,full,alcohol_tobacco,87,0.11080057720054058,-0.028293262725589675
CORE_PHASE_FIXED080_R29,3,full,wedge,87,0.1299622931847101,0.0032673272997644546
CORE_PHASE_FIXED080_R29,3,full,total,87,1.3454662202301686,-0.41579210918906095
CORE_PHASE_OWN_R29,3,full,h0,90,0.41880820829170357,-0.02026752116319163
CORE_PHASE_OWN_R29,3,full,core,87,0.5770210631492834,-0.28494781690351645
CORE_PHASE_OWN_R29,3,full,food,87,0.3712900805269812,-0.11065427227378737
CORE_PHASE_OWN_R29,3,full,fuel,87,0.2880523726038208,-0.04024654359111621
CORE_PHASE_OWN_R29,3,full,administered,87,1.0115603852936068,-0.1720612797875276
CORE_PHASE_OWN_R29,3,full,alcohol_tobacco,87,0.11080057720054058,-0.028293262725589675
CORE_PHASE_OWN_R29,3,full,wedge,87,0.12996229318471006,0.0032673272997644437
CORE_PHASE_OWN_R29,3,full,total,87,1.5217156434441674,-0.6567665661513663
