H,sample,name,n,rmse,bias,ratio_to_fast
3,full,STATE_FAST_R15,84,0.8213825884343018,-0.006841261747164027,1.0
3,full,FOOD_ECM_R27,84,0.8213825884343018,-0.006841261747164027,1.0
3,full,CORE_PHASE_TARGET_R29,84,0.9890567758961819,-0.43086189424818705,1.2041365251989287
3,full,CORE_PHASE_OWN_R29,84,1.0449833821122818,-0.518227515048667,1.2722249008275206
3,full,CORE_SINGLE_TARGET_R29,84,0.9828432773582252,-0.42242594850990756,1.196571842643628
3,full,CORE_PHASE_FIXED040_R29,84,0.8080420710652456,-0.21860166620301197,0.9837584609694667
3,full,CORE_PHASE_FIXED060_R29,84,0.7820744940171316,-0.14801486471772934,0.9521439887201673
3,full,CORE_PHASE_FIXED080_R29,84,0.7866932715588881,-0.07742806323244669,0.9577671631175704
3,full,ZERO,84,1.7091887931831373,-1.2609262846609828,2.0808680598418197
3,full,SEASONAL_NAIVE,84,1.3399767045494577,-0.00952605200556548,1.6313673109429878
3,full,SA_AR,84,1.097201420200252,-0.41892255438201836,1.335798245117064
3,full,SA_AR_TARGET,84,1.1812868469188538,-0.7668975925994614,1.4381688430608106
3,origins_2019_2021,STATE_FAST_R15,32,1.0096712773052818,-0.3973500769464824,1.0
3,origins_2019_2021,FOOD_ECM_R27,32,1.0096712773052818,-0.3973500769464824,1.0
3,origins_2019_2021,CORE_PHASE_TARGET_R29,32,1.2606145868295724,-0.7335377241243082,1.2485396139959877
3,origins_2019_2021,CORE_PHASE_OWN_R29,32,1.340703673355191,-0.8700920023673353,1.3278615560238611
3,origins_2019_2021,CORE_SINGLE_TARGET_R29,32,1.2332037029731253,-0.7213708017443881,1.2213912891178114
3,origins_2019_2021,CORE_PHASE_FIXED040_R29,32,0.9768945121680692,-0.47137107342093276,0.9675371916841184
3,origins_2019_2021,CORE_PHASE_FIXED060_R29,32,0.9840332974026457,-0.44669740792944934,0.9746075970675708
3,origins_2019_2021,CORE_PHASE_FIXED080_R29,32,0.9950004675882588,-0.42202374243796587,0.985469716682267
3,origins_2019_2021,ZERO,32,1.8447239032685339,-1.4070788911929033,1.827053957791024
3,origins_2019_2021,SEASONAL_NAIVE,32,1.289145379658311,-0.746468267934344,1.2767971206419968
3,origins_2019_2021,SA_AR,32,1.398844487656823,-0.9784154819784493,1.3854454604177786
3,origins_2019_2021,SA_AR_TARGET,32,1.409862261515878,-0.9106019772993886,1.3963576989915654
3,origins_2022_2023,STATE_FAST_R15,24,0.9493704396249708,0.5219140602400248,1.0
3,origins_2022_2023,FOOD_ECM_R27,24,0.9493704396249708,0.5219140602400248,1.0
3,origins_2022_2023,CORE_PHASE_TARGET_R29,24,1.106006321288004,-0.4324141566094091,1.1649892129829837
3,origins_2022_2023,CORE_PHASE_OWN_R29,24,1.1572878423158661,-0.5234672137674393,1.219005557802104
3,origins_2022_2023,CORE_SINGLE_TARGET_R29,24,1.1278951774373538,-0.4185308674742025,1.188045393411349
3,origins_2022_2023,CORE_PHASE_FIXED040_R29,24,0.955655773500186,-0.07509718812925881,1.006620528313161
3,origins_2022_2023,CORE_PHASE_FIXED060_R29,24,0.8665401415213122,0.12390656132716908,0.9127523939586965
3,origins_2022_2023,CORE_PHASE_FIXED080_R29,24,0.8642340973009567,0.322910310783597,0.9103233692870767
3,origins_2022_2023,ZERO,24,2.2019985056310105,-1.7445828856975087,2.3194302389495767
3,origins_2022_2023,SEASONAL_NAIVE,24,1.6455977472593584,-0.05921107826690623,1.7333568421504864
3,origins_2022_2023,SA_AR,24,1.1890784388013227,-0.4246136810494956,1.25249153457005
3,origins_2022_2023,SA_AR_TARGET,24,1.367355458960723,-0.9466140266370086,1.4402759996412662
3,origins_2024plus,STATE_FAST_R15,28,0.293924769947105,-0.013764320365533529,1.0
3,origins_2024plus,FOOD_ECM_R27,28,0.293924769947105,-0.013764320365533529,1.0
3,origins_2024plus,CORE_PHASE_TARGET_R29,28,0.2646308577933374,-0.08361614950871545,0.9003353403694444
3,origins_2024plus,CORE_PHASE_OWN_R29,28,0.2715074397533137,-0.11160550206838435,0.9237310615303858
3,origins_2024plus,CORE_SINGLE_TARGET_R29,28,0.2635967951468243,-0.08411332855824846,0.8968172202508196
3,origins_2024plus,CORE_PHASE_FIXED040_R29,28,0.2921156603278631,-0.052726182017176826,0.9938449909493254
3,origins_2024plus,CORE_PHASE_FIXED060_R29,28,0.29094124435099994,-0.03973889479996238,0.9898493563620312
3,origins_2024plus,CORE_PHASE_FIXED080_R29,28,0.2915479573890602,-0.026751607582747923,0.9919135343425717
3,origins_2024plus,ZERO,28,0.8477717177965366,-0.6793319334503373,2.8843153230981606
3,origins_2024plus,SEASONAL_NAIVE,28,1.0798922426119515,0.8752807887084734,3.6740429968059174
3,origins_2024plus,SA_AR,28,0.4041388869051027,0.22537604287174046,1.3749738988579696
3,origins_2024plus,SA_AR_TARGET,28,0.5586402407762436,-0.44862135233879025,1.9006232134732202
6,full,STATE_FAST_R15,81,1.7578133542553758,-0.016502323148481293,1.0
6,full,FOOD_ECM_R27,81,1.7578133542553758,-0.016502323148481293,1.0
6,full,CORE_PHASE_TARGET_R29,81,1.962637335846871,-0.9068351864435716,1.1165220306784278
6,full,CORE_PHASE_OWN_R29,81,2.0833443634907995,-1.0913353695134402,1.1851908841444212
6,full,CORE_SINGLE_TARGET_R29,81,1.9654928251387214,-0.8861861234600316,1.1181464860194559
6,full,CORE_PHASE_FIXED040_R29,81,1.6798181583060656,-0.4582266464124962,0.9556294212007795
6,full,CORE_PHASE_FIXED060_R29,81,1.6461749824806253,-0.3109852053244913,0.9364902015879601
6,full,CORE_PHASE_FIXED080_R29,81,1.673100411636932,-0.1637437642364863,0.9518077716195705
6,full,ZERO,81,3.283180349749485,-2.5575815058765357,1.8677639135016513
