date,eurczk
2018-01-02,25.495
2018-01-03,25.545
2018-01-04,25.51
2018-01-05,25.595
2018-01-08,25.525
2018-01-09,25.535
2018-01-10,25.565
2018-01-11,25.545
2018-01-12,25.52
2018-01-15,25.53
2018-01-16,25.515
2018-01-17,25.445
2018-01-18,25.37
2018-01-19,25.43
2018-01-22,25.4
2018-01-23,25.405
2018-01-24,25.375
2018-01-25,25.38
2018-01-26,25.355
2018-01-29,25.295
2018-01-30,25.33
2018-01-31,25.27
2018-02-01,25.265
2018-02-02,25.19
2018-02-05,25.2
2018-02-06,25.23
2018-02-07,25.23
2018-02-08,25.245
2018-02-09,25.335
2018-02-12,25.355
2018-02-13,25.385
2018-02-14,25.36
2018-02-15,25.37
2018-02-16,25.34
2018-02-19,25.325
2018-02-20,25.315
2018-02-21,25.36
2018-02-22,25.315
2018-02-23,25.335
2018-02-26,25.39
2018-02-27,25.405
2018-02-28,25.42
2018-03-01,25.435
2018-03-02,25.41
2018-03-05,25.405
2018-03-06,25.38
2018-03-07,25.415
2018-03-08,25.43
2018-03-09,25.455
2018-03-12,25.45
2018-03-13,25.47
2018-03-14,25.445
2018-03-15,25.415
2018-03-16,25.415
2018-03-19,25.43
2018-03-20,25.42
2018-03-21,25.42
2018-03-22,25.4
2018-03-23,25.405
2018-03-26,25.445
2018-03-27,25.475
2018-03-28,25.46
2018-03-29,25.43
2018-04-03,25.365
2018-04-04,25.34
2018-04-05,25.325
2018-04-06,25.34
2018-04-09,25.355
2018-04-10,25.335
2018-04-11,25.325
2018-04-12,25.315
2018-04-13,25.305
2018-04-16,25.26
2018-04-17,25.255
2018-04-18,25.3
2018-04-19,25.325
2018-04-20,25.34
2018-04-23,25.41
2018-04-24,25.435
2018-04-25,25.465
2018-04-26,25.475
2018-04-27,25.47
2018-04-30,25.54
2018-05-02,25.595
2018-05-03,25.58
2018-05-04,25.505
2018-05-07,25.515
2018-05-09,25.565
2018-05-10,25.495
2018-05-11,25.505
2018-05-14,25.49
2018-05-15,25.55
2018-05-16,25.545
2018-05-17,25.56
2018-05-18,25.59
2018-05-21,25.68
2018-05-22,25.7
2018-05-23,25.815
2018-05-24,25.81
2018-05-25,25.765
2018-05-28,25.73
2018-05-29,25.905
2018-05-30,25.835
2018-05-31,25.79
2018-06-01,25.83
2018-06-04,25.7
2018-06-05,25.65
2018-06-06,25.645
2018-06-07,25.64
2018-06-08,25.795
2018-06-11,25.68
2018-06-12,25.65
2018-06-13,25.71
2018-06-14,25.65
2018-06-15,25.71
2018-06-18,25.74
2018-06-19,25.81
2018-06-20,25.835
2018-06-21,25.865
