drift,food12_full,yy12_full,food12_2019_2021,yy12_2019_2021,food12_2022_2023,yy12_2022_2023,food12_2024plus,yy12_2024plus
mu_window (baseline),7.842109557539443,4.869472205001029,8.618549075682422,6.6752744804081505,8.834515872395777,3.755544610659127,4.129167990823488,0.8579638828422467
mu_robust (declared),7.400497895807835,4.796194602174135,8.393367338424357,6.611204004395841,8.235782442404027,3.641819881343031,3.063181670726545,0.6607874919632696
mu_long (declared),7.356939139126469,4.800764598677102,8.396406183611257,6.634510916154379,8.005329372888214,3.603371490550593,3.373119155466444,0.6645998174267459
constant 0.0 a year,8.496704882294473,5.005089707731504,9.953284548089515,6.955149128056009,8.72212698689502,3.6589510686318967,4.217407380726196,0.7085156072129782
constant 1.0 a year,7.975941880256343,4.9225116939608995,9.299234467710054,6.83124439141428,8.350328803229909,3.628226669016024,3.712689240286567,0.6524696032075429
constant 1.5 a year,7.750901649965457,4.8832258991192505,8.996093923506539,6.770176337171284,8.203915961010043,3.616418253260332,3.540173665924819,0.641929275175543
constant 2.0 a year,7.552304542167739,4.845327768202721,8.711122205299146,6.709725310757746,8.085819876090467,3.607023680910011,3.432433214918463,0.6440812592119225
constant 2.5 a year,7.382284972002751,4.808856565223054,8.446158551126095,6.649912675794719,7.9972951078376475,3.6000709577500714,3.395639257171383,0.6588472063250226
constant 2.6 a year,7.351890703070856,4.801737010029801,8.395736007628,6.638028678559605,7.983231064957148,3.59897557170284,3.397075154134363,0.6632566359880355
constant 3.0 a year,7.242855715673745,4.773851518422256,8.203141987425614,6.590760404674601,7.939330892153841,3.5955833980529865,3.432074322448648,0.6854567390370727
constant 3.5 a year,7.13581014519571,4.740351699257151,7.984076819580936,6.532291084625929,7.912598877004482,3.5935794202601143,3.539477693781848,0.7226448570314292
constant 4.0 a year,7.062620897265279,4.7083958933579515,7.790983689886294,6.474527922404703,7.91741542181771,3.5940723898308704,3.711693755517445,0.7689179419650919
constant 5.0 a year,7.021557445389776,4.649269208519481,7.490481643144413,6.361216013229198,8.021094620322437,3.6025767826075303,4.215946740019737,0.88288320333021
constant 6.0 a year,7.12207301137309,4.596770678504578,7.315408644531938,6.251022796230733,8.245632228925453,3.621099732509275,4.875627477014511,1.0173929477471466
