model,h,sample,n,own_rmse,own_bias,own_mae
DAMPED_P95_Q001_R16,3,full,84,1.4387260776011894,-0.32475893393178135,0.9611615217245812
DAMPED_P95_Q001_R16,3,origins_2019_2021,32,1.069632347260663,-0.49417368359243957,0.8032704784878069
DAMPED_P95_Q001_R16,3,origins_2022_2023,24,2.3262024837850546,-0.48947192246046595,1.8063032643721246
DAMPED_P95_Q001_R16,3,origins_2024plus,28,0.5138610726515732,0.010040484419272102,0.4172012202972861
DAMPED_P95_Q001_R16,6,full,81,2.239464689623496,-0.7348264543122262,1.470738597640239
DAMPED_P95_Q001_R16,6,origins_2019_2021,32,2.7560958517441234,-1.598373007156387,1.9216738102676316
DAMPED_P95_Q001_R16,6,origins_2022_2023,24,2.55361295897757,-0.38903249271010726,2.017868858970758
DAMPED_P95_Q001_R16,6,origins_2024plus,25,0.5159368686757626,0.03855093019026588,0.3682964745998783
DAMPED_P95_Q001_R16,9,full,78,3.4851207713413834,-1.1472460054109999,2.1901692901753287
DAMPED_P95_Q001_R16,9,origins_2019_2021,32,4.891830171965104,-2.9714368085921725,3.4115736237262784
DAMPED_P95_Q001_R16,9,origins_2022_2023,24,2.6803147819522186,0.14604512091429508,2.0786540889713514
DAMPED_P95_Q001_R16,9,origins_2024plus,22,0.647198014997384,0.09525938867947413,0.5352341154146513
DAMPED_P95_Q001_R16,12,full,75,4.810145946520235,-1.582534133354861,3.0035900676131857
DAMPED_P95_Q001_R16,12,origins_2019_2021,32,6.609575969042405,-4.207653291997072,4.482148103948178
DAMPED_P95_Q001_R16,12,origins_2022_2023,24,3.694631594876057,0.6307823971047192,2.9290933627754527
DAMPED_P95_Q001_R16,12,origins_2024plus,19,0.7158989707447333,0.042950937462024774,0.6074881598966505
FOOD_NORM_REFIT_R24,3,full,84,1.4560091034414882,-0.3779123523525789,0.9627203163153792
FOOD_NORM_REFIT_R24,3,origins_2019_2021,32,1.0665062348071237,-0.49121789615675027,0.8037580443537562
FOOD_NORM_REFIT_R24,3,origins_2022_2023,24,2.365382800941574,-0.6540994966550181,1.816015057236326
FOOD_NORM_REFIT_R24,3,origins_2024plus,28,0.5140196681052526,-0.011688464317149492,0.4129959920535648
FOOD_NORM_REFIT_R24,6,full,81,2.2730973539590495,-0.8480724115395795,1.470974829607863
FOOD_NORM_REFIT_R24,6,origins_2019_2021,32,2.7604505015647915,-1.606784504049535,1.9238309919638323
FOOD_NORM_REFIT_R24,6,origins_2022_2023,24,2.649986028323347,-0.7481105495308391,2.031654141822262
FOOD_NORM_REFIT_R24,6,origins_2024plus,25,0.49572944751562453,0.02711567934477295,0.353066802066399
FOOD_NORM_REFIT_R24,9,full,78,3.5076811594810664,-1.3236742831769777,2.1740298148002033
FOOD_NORM_REFIT_R24,9,origins_2019_2021,32,4.913533228996164,-3.003856277973464,3.4269216689726827
FOOD_NORM_REFIT_R24,9,origins_2022_2023,24,2.7316993882208185,-0.42231717372857097,2.0320643018684685
FOOD_NORM_REFIT_R24,9,origins_2024plus,22,0.6043883682244826,0.13692813531055928,0.5065131319293993
FOOD_NORM_REFIT_R24,12,full,75,4.803190216474838,-1.8251546090085076,2.879958984950599
FOOD_NORM_REFIT_R24,12,origins_2019_2021,32,6.63443141493954,-4.275228840779187,4.5278031146725395
FOOD_NORM_REFIT_R24,12,origins_2022_2023,24,3.6126930944370055,-0.15582494533001898,2.517011843122804
FOOD_NORM_REFIT_R24,12,origins_2024plus,19,0.671162358487849,0.19265925880086435,0.563102103517178
FOOD_NORM_SHIFT_R24,3,full,84,1.4566126181768873,-0.3831352738870727,0.9615981484589164
FOOD_NORM_SHIFT_R24,3,origins_2019_2021,32,1.066492679053353,-0.4912592986901262,0.8037084570233413
FOOD_NORM_SHIFT_R24,3,origins_2022_2023,24,2.3669763562358446,-0.6635573816140174,1.8143038530240367
FOOD_NORM_SHIFT_R24,3,origins_2024plus,28,0.5128925265314042,-0.01920315320334456,0.4111529061866137
FOOD_NORM_SHIFT_R24,6,full,81,2.2727292490959163,-0.8539919480558242,1.4690300495351856
FOOD_NORM_SHIFT_R24,6,origins_2019_2021,32,2.760526141640275,-1.6069058116850041,1.9239588699824828
FOOD_NORM_SHIFT_R24,6,origins_2022_2023,24,2.6496865736313446,-0.7586905890105634,2.0302881022799864
FOOD_NORM_SHIFT_R24,6,origins_2024plus,25,0.4912382873543518,0.01824849270607565,0.3479134287276366
FOOD_NORM_SHIFT_R24,9,full,78,3.5053402854644573,-1.329517429149983,2.1710785878026897
FOOD_NORM_SHIFT_R24,9,origins_2019_2021,32,4.913630981063683,-3.0039974642604106,3.4270592365402908
FOOD_NORM_SHIFT_R24,9,origins_2022_2023,24,2.7228754763031957,-0.43262076656056264,2.026698307623827
FOOD_NORM_SHIFT_R24,9,origins_2024plus,22,0.5984897019361455,0.12765717182218034,0.5017034043794839
FOOD_NORM_SHIFT_R24,12,full,75,4.800764598677102,-1.8306000445217405,2.8739806528728553
FOOD_NORM_SHIFT_R24,12,origins_2019_2021,32,6.634510916154379,-4.275374423165196,4.527897977530512
FOOD_NORM_SHIFT_R24,12,origins_2022_2023,24,3.603371490550593,-0.16572425186342046,2.5044073385198917
FOOD_NORM_SHIFT_R24,12,origins_2024plus,19,0.6645998174267459,0.1839136972040949,0.5552651347373867
FOOD_ROBUST_WINDOW_R24,3,full,84,1.4564279406573777,-0.362073502548697,0.9616863397459209
FOOD_ROBUST_WINDOW_R24,3,origins_2019_2021,32,1.0665965052594284,-0.48409443207578423,0.8034158401130574
FOOD_ROBUST_WINDOW_R24,3,origins_2022_2023,24,2.367046096711282,-0.6354169330805545,1.8155812448671809
FOOD_ROBUST_WINDOW_R24,3,origins_2024plus,28,0.5107922542325224,0.011673357366709056,0.41065699207954187
FOOD_ROBUST_WINDOW_R24,6,full,81,2.2731699429139196,-0.8137747245721979,1.468901536744406
FOOD_ROBUST_WINDOW_R24,6,origins_2019_2021,32,2.7570853991907818,-1.5925930206419534,1.920848088151281
FOOD_ROBUST_WINDOW_R24,6,origins_2022_2023,24,2.656804140981617,-0.7034355541781636,2.047355383130707
FOOD_ROBUST_WINDOW_R24,6,origins_2024plus,25,0.48564160217459285,0.07718709081881639,0.33509425841275636
FOOD_ROBUST_WINDOW_R24,9,full,78,3.5058499371847325,-1.27221261356202,2.181378924598633
FOOD_ROBUST_WINDOW_R24,9,origins_2019_2021,32,4.90363565579831,-2.982495359935418,3.42094144310434
FOOD_ROBUST_WINDOW_R24,9,origins_2022_2023,24,2.7483548451162494,-0.35061072052213177,2.0570627591519357
FOOD_ROBUST_WINDOW_R24,9,origins_2024plus,22,0.6012587498601639,0.21008749784668063,0.5139965327140005
FOOD_ROBUST_WINDOW_R24,12,full,75,4.796194602174135,-1.7577507500086105,2.8867508036648757
FOOD_ROBUST_WINDOW_R24,12,origins_2019_2021,32,6.611204004395841,-4.246663933170289,4.51314903307083
FOOD_ROBUST_WINDOW_R24,12,origins_2022_2023,24,3.641819881343031,-0.05690849816743956,2.575759109410312
FOOD_ROBUST_WINDOW_R24,12,origins_2024plus,19,0.6607874919632696,0.28567071404326555,0.540385399513247
FOOD_ZERO_DRIFT_R24,3,full,84,1.4939760187526496,-0.5069451296784625,0.9847140945399612
FOOD_ZERO_DRIFT_R24,3,origins_2019_2021,32,1.1269121418556043,-0.6111032592529864,0.850453364730584
