origin,e_fast,e_cand,delta,d,drift_gap_annual_pct,year,era
2019-05,-0.703464278323056,-0.5739340858552762,0.12953019246777986,-0.16546165597004647,0.7132198221047319,2019,origins_2019_2021
2019-06,-1.1487154521576213,-1.093573412467511,0.055142039690110334,-0.12364438156985158,0.303626896922931,2019,origins_2019_2021
2019-07,-0.9363971205030124,-0.8955807690060591,0.040816351496953285,-0.07477465347284884,0.22417851509290276,2019,origins_2019_2021
2019-08,0.17018742242418394,0.2344815446772026,0.06429412225301867,0.026017836042819337,0.35001147725228954,2019,origins_2019_2021
2019-09,-0.18601550518786514,-0.12684708943348033,0.05916841575438481,-0.018511584072551327,0.32338872807253516,2019,origins_2019_2021
2019-10,-1.41309047731551,-1.3254847114968038,0.08760576581870616,-0.23991497666801065,0.48525053194671486,2019,origins_2019_2021
2019-11,-0.31735433868015095,-0.2399525052022904,0.07740183347786056,-0.04313657152626076,0.4256510270984246,2019,origins_2019_2021
2019-12,0.07504092320546629,0.11448560594415813,0.03944468273869184,0.007475813812872365,0.21685096343766075,2019,origins_2019_2021
2020-01,0.021060097134396827,0.0504135068474616,0.02935340971306477,0.002097993981348828,0.1616014653052531,2020,origins_2019_2021
2020-02,1.2547111910917974,1.2417250087679426,-0.012986182323854845,-0.032419175651249965,-0.07096229199289983,2020,origins_2019_2021
2020-03,1.0863437920032863,1.0905059973831315,0.00416220537984513,0.009060495904498866,0.022729114521901295,2020,origins_2019_2021
2020-04,-0.6897613929562505,-0.7233608792926716,-0.03359948633642107,0.04748018247811997,-0.18518383280749706,2020,origins_2019_2021
2020-05,-0.8256270529187058,-0.8928796644129757,-0.06725261149426998,0.11557406461100084,-0.37179947052002404,2020,origins_2019_2021
2020-06,0.7644577433793596,0.6996664752344302,-0.06479126814492941,-0.09486246484569127,-0.35357093955856556,2020,origins_2019_2021
2020-07,0.3647556882955736,0.3228795933971278,-0.04187609489844579,-0.02879548031168308,-0.22811030828202217,2020,origins_2019_2021
2020-08,0.2824343717458637,0.28621913759360584,0.003784765847742122,0.0021522203813467283,0.020500971246393718,2020,origins_2019_2021
2020-09,-1.6556942541406192,-1.6504141147151086,0.005280139425510644,-0.0174567131434058,0.028880250288449538,2020,origins_2019_2021
2020-10,-3.643707655589356,-3.5934538578343047,0.050253797755051455,-0.3636948510162341,0.2775752629359052,2020,origins_2019_2021
2020-11,-3.489832972383452,-3.4435745869943437,0.04625838538910809,-0.3207282389414541,0.25472875785690663,2020,origins_2019_2021
2020-12,-4.09346993644129,-4.035825144540583,0.057644791900705705,-0.46861152324263955,0.3172895713463104,2020,origins_2019_2021
2021-01,-7.8185665186934665,-7.710123661304251,0.10844285738921577,-1.6839755346308038,0.5993422858630564,2021,origins_2019_2021
2021-02,-8.1505885343675,-8.093272869988619,0.05731566437888125,-0.931027708469145,0.3142784172213573,2021,origins_2019_2021
2021-03,-10.162314742770299,-10.096101998377588,0.06621274439271074,-1.341365369482645,0.36422766351480007,2021,origins_2019_2021
2021-04,-12.028379113479657,-11.961806775085481,0.06657233839417476,-1.5970827731127315,0.36760062867041965,2021,origins_2019_2021
2021-05,-13.883067601802498,-13.845105816986175,0.037961784816323174,-1.0526109526737741,0.20972047838282748,2021,origins_2019_2021
