model,origin,H,forecast,actual
FOOD_NORM_REFIT_R24,2019-02,3,0.11417374667643693,1.2927234501459584
FOOD_NORM_REFIT_R24,2019-02,6,-0.37417790693468667,0.8329525252830221
FOOD_NORM_REFIT_R24,2019-02,12,2.7284679889644003,5.338218919377343
FOOD_NORM_REFIT_R24,2019-03,3,0.4236502639764899,1.6590242260196826
FOOD_NORM_REFIT_R24,2019-03,6,0.3344996039373529,0.27842245364049567
FOOD_NORM_REFIT_R24,2019-03,12,2.8185981747739457,6.215417526661047
FOOD_NORM_REFIT_R24,2019-04,3,0.415842797805611,1.7617516390842605
FOOD_NORM_REFIT_R24,2019-04,6,0.8196367806590126,1.7617516390842605
FOOD_NORM_REFIT_R24,2019-04,12,2.6995247427436686,7.477593023079146
FOOD_NORM_REFIT_R24,2019-05,3,-0.3497516416409127,-0.45977092486293625
FOOD_NORM_REFIT_R24,2019-05,6,0.7723356607565013,1.0041161499490623
FOOD_NORM_REFIT_R24,2019-05,12,2.794494532757861,6.137986811656255
FOOD_NORM_REFIT_R24,2019-06,3,-0.024902160737356294,-1.3806017723791868
FOOD_NORM_REFIT_R24,2019-06,6,0.9950631467852595,1.361800436844056
FOOD_NORM_REFIT_R24,2019-06,12,2.862882741259073,5.252653728713258
FOOD_NORM_REFIT_R24,2019-07,3,0.47106781710950224,1.1102230246251565e-16
FOOD_NORM_REFIT_R24,2019-07,6,2.1616969235359385,4.229150249961526
FOOD_NORM_REFIT_R24,2019-07,12,2.790804051698548,4.317217186520889
FOOD_NORM_REFIT_R24,2019-08,3,0.9883374048009852,1.4638870748119985
FOOD_NORM_REFIT_R24,2019-08,6,2.9633692127960747,4.5052663940943205
FOOD_NORM_REFIT_R24,2019-08,12,2.5532851891800807,4.063764573182649
FOOD_NORM_REFIT_R24,2019-09,3,0.7991456122192724,2.7424022092232425
FOOD_NORM_REFIT_R24,2019-09,6,2.152627111273784,5.936995073020551
FOOD_NORM_REFIT_R24,2019-09,12,2.384441812647946,3.3716177683121704
FOOD_NORM_REFIT_R24,2019-10,3,1.738525265370328,4.229150249961526
FOOD_NORM_REFIT_R24,2019-10,6,1.74538061614791,5.715841383994886
FOOD_NORM_REFIT_R24,2019-10,12,2.6036419672567095,3.166252732255534
FOOD_NORM_REFIT_R24,2019-11,3,1.9522735655574837,3.041379319282322
FOOD_NORM_REFIT_R24,2019-11,6,2.198406659903745,5.133870661707194
FOOD_NORM_REFIT_R24,2019-11,12,2.510011046564879,1.8893949359961855
