origin,clock,poisoned_level_cells,poisoned_long_rates,P1_levels_identical,P2_long_rates_identical,P3_czso_identical,T_truncated_identical,clean_equals_frozen_run
2019-02,2019-03-10 22:59:00+00:00,270,90,True,True,True,True,True
2019-03,2019-04-09 21:59:00+00:00,267,89,True,True,True,True,True
2019-04,2019-05-12 21:59:00+00:00,264,88,True,True,True,True,True
2019-05,2019-06-10 21:59:00+00:00,261,87,True,True,True,True,True
2019-06,2019-07-10 21:59:00+00:00,258,86,True,True,True,True,True
2019-07,2019-08-11 21:59:00+00:00,255,85,True,True,True,True,True
2019-08,2019-09-09 21:59:00+00:00,252,84,True,True,True,True,True
2019-09,2019-10-09 21:59:00+00:00,249,83,True,True,True,True,True
2019-10,2019-11-10 22:59:00+00:00,246,82,True,True,True,True,True
2019-11,2019-12-09 22:59:00+00:00,243,81,True,True,True,True,True
2019-12,2020-01-12 22:59:00+00:00,240,80,True,True,True,True,True
2020-01,2020-02-13 22:59:00+00:00,237,79,True,True,True,True,True
2020-02,2020-03-09 22:59:00+00:00,234,78,True,True,True,True,True
2020-03,2020-04-13 21:59:00+00:00,231,77,True,True,True,True,True
2020-04,2020-05-12 21:59:00+00:00,228,76,True,True,True,True,True
2020-05,2020-06-09 21:59:00+00:00,225,75,True,True,True,True,True
2020-06,2020-07-09 21:59:00+00:00,222,74,True,True,True,True,True
2020-07,2020-08-12 21:59:00+00:00,219,73,True,True,True,True,True
2020-08,2020-09-09 21:59:00+00:00,216,72,True,True,True,True,True
2020-09,2020-10-11 21:59:00+00:00,213,71,True,True,True,True,True
2020-10,2020-11-09 22:59:00+00:00,210,70,True,True,True,True,True
2020-11,2020-12-09 22:59:00+00:00,207,69,True,True,True,True,True
2020-12,2021-01-12 22:59:00+00:00,204,68,True,True,True,True,True
2021-01,2021-02-11 22:59:00+00:00,201,67,True,True,True,True,True
2021-02,2021-03-09 22:59:00+00:00,198,66,True,True,True,True,True
2021-03,2021-04-12 21:59:00+00:00,195,65,True,True,True,True,True
