ym,Hodnota
2000-01,52.3267172
2000-02,53.82174485
2000-03,54.25052392
2000-04,54.25525459
2000-05,55.24355152
2000-06,54.81277978
2000-07,55.35583099
2000-08,58.15197333
2000-09,57.99981703
2000-10,58.45427526
2000-11,58.03352401
2000-12,59.87565278
2001-01,59.82529478
2001-02,59.09761866
2001-03,59.5671882
2001-04,59.91908081
2001-05,60.21103059
2001-06,59.70166345
2001-07,58.74498785
2001-08,60.32557533
2001-09,59.68085742
2001-10,59.65215129
2001-11,60.14077136
2001-12,60.75801395
2002-01,58.47938544
2002-02,59.8495983
2002-03,59.58995505
2002-04,60.17772915
2002-05,60.52179748
2002-06,60.0594619
2002-07,61.4815209
2002-08,60.5254081
2002-09,61.81598113
2002-10,62.4325773
2002-11,63.42361108
2002-12,63.592523
2003-01,61.89998822
2003-02,61.52468115
2003-03,61.40273639
2003-04,62.95787252
2003-05,61.84312685
2003-06,62.11304565
2003-07,62.33227874
2003-08,64.07005499
2003-09,64.31336336
2003-10,64.21715903
2003-11,65.13050991
2003-12,67.27106546
2004-01,66.56605066
2004-02,68.65531015
2004-03,68.15754136
2004-04,69.18485219
2004-05,69.06165493
2004-06,68.42777712
2004-07,69.56799571
2004-08,70.04618407
2004-09,69.72500074
2004-10,69.94752492
2004-11,70.12902964
2004-12,70.06313097
2005-01,69.15407113
2005-02,69.16205641
2005-03,69.30429736
2005-04,70.78315935
2005-05,70.2049104
2005-06,70.89389002
2005-07,71.05532426
2005-08,72.24092836
2005-09,72.3641046
2005-10,72.59062694
2005-11,73.70983881
2005-12,74.33407242
2006-01,75.01814407
2006-02,73.88600182
2006-03,75.28941669
2006-04,74.31707781
2006-05,77.78680003
2006-06,76.98937502
2006-07,76.97265393
2006-08,77.20526139
2006-09,78.81221744
2006-10,77.95077275
2006-11,79.64973875
2006-12,81.3587155
2007-01,84.04897623
2007-02,83.745111
2007-03,84.75093425
2007-04,83.62634365
2007-05,84.45498374
2007-06,83.85192315
2007-07,85.10461004
2007-08,84.26677793
2007-09,84.55318033
2007-10,85.01685974
2007-11,85.61806454
2007-12,87.81426362
2008-01,86.97561695
2008-02,88.05762504
2008-03,84.86181021
2008-04,86.71891106
2008-05,85.96806638
2008-06,84.4943005
2008-07,82.13068064
2008-08,80.83700193
2008-09,81.46769374
2008-10,78.75569541
2008-11,76.06492065
2008-12,74.69189062
2009-01,70.01319396
2009-02,70.38117914
2009-03,71.63792191
2009-04,70.29738236
2009-05,70.51195383
2009-06,72.16270683
2009-07,70.53702389
2009-08,73.27366767
2009-09,73.33843159
2009-10,73.61723813
2009-11,72.55637611
2009-12,74.69431962
2010-01,73.36331838
2010-02,73.29681086
2010-03,75.96077806
2010-04,76.92604407
2010-05,76.32231942
2010-06,77.52750286
2010-07,78.0015123
2010-08,80.28134273
2010-09,81.70047237
2010-10,81.11497086
2010-11,80.82607028
2010-12,80.46254419
2011-01,82.45405742
2011-02,81.4556106
2011-03,81.16171862
2011-04,81.57758132
2011-05,83.67329112
2011-06,82.45151965
2011-07,81.31269497
2011-08,82.42053975
2011-09,82.1602076
2011-10,82.10841525
2011-11,84.56828471
2011-12,84.24677108
2012-01,82.49095924
2012-02,83.54075179
2012-03,82.76090978
2012-04,82.75912347
2012-05,83.23682712
2012-06,82.50501466
2012-07,82.70328592
2012-08,80.80095691
2012-09,81.16587075
2012-10,79.38072255
2012-11,78.87000899
2012-12,80.56988559
2013-01,78.12655588
2013-02,79.3851201
2013-03,78.78936258
2013-04,80.20838164
2013-05,81.03045723
2013-06,81.12309549
2013-07,82.9675941
2013-08,84.34708684
2013-09,82.70438544
2013-10,83.69492993
2013-11,83.35570325
2013-12,85.30486633
2014-01,82.84535922
2014-02,84.38534856
2014-03,85.61015639
2014-04,85.75331835
2014-05,85.27913826
2014-06,85.32334391
2014-07,85.22937205
2014-08,86.23601654
2014-09,87.37948156
2014-10,86.50441941
2014-11,87.27963694
2014-12,89.33719806
2015-01,87.47603236
2015-02,88.57838333
2015-03,89.11769312
2015-04,90.08551341
2015-05,89.81551717
2015-06,89.65433726
2015-07,92.20328558
2015-08,90.79294207
2015-09,89.81753282
2015-10,91.51764488
2015-11,89.27397883
2015-12,89.48465613
2016-01,91.00311884
2016-02,92.75116049
2016-03,91.78229702
2016-04,91.6652854
2016-05,89.51807145
2016-06,92.86319796
2016-07,91.29454379
2016-08,92.84972182
2016-09,91.95890715
2016-10,93.34506198
2016-11,93.15892765
2016-12,92.75964076
2017-01,94.99001939
2017-02,96.04971323
2017-03,95.77478914
2017-04,98.89601263
2017-05,100.15593299
2017-06,96.62570023
2017-07,96.38764946
2017-08,98.73399763
2017-09,99.59389979
2017-10,97.94152459
2017-11,100.48811418
2017-12,101.88859988
2018-01,101.12594325
2018-02,98.94752961
2018-03,100.16015134
2018-04,98.76361415
2018-05,101.39901576
2018-06,103.10094747
2018-07,103.25793604
2018-08,100.79790304
2018-09,101.91531413
2018-10,100.64353518
2018-11,101.28609338
2018-12,101.94088182
2019-01,100.3269111
2019-02,100.55720596
2019-03,100.9857531
2019-04,102.51979506
2019-05,104.39729826
2019-06,99.73463331
2019-07,99.76494832
2019-08,100.1634793
2019-09,100.36345583
2019-10,100.48291039
2019-11,98.8588749
2019-12,98.79983765
2020-01,99.7327172
2020-02,101.01752041
2020-03,89.36987792
2020-04,70.02164655
2020-05,80.83853333
2020-06,89.86216317
2020-07,94.63866749
2020-08,97.56090039
2020-09,98.86223882
2020-10,101.47614058
2020-11,101.01831173
2020-12,100.76685656
2021-01,99.81496614
2021-02,98.23105682
2021-03,100.60469985
2021-04,102.82103358
2021-05,99.05038415
2021-06,99.75968794
2021-07,101.23453774
2021-08,98.64352682
2021-09,95.98152979
2021-10,97.16692386
2021-11,102.21375777
2021-12,98.46910968
2022-01,102.23935639
2022-02,99.21816083
2022-03,100.77842076
2022-04,99.58960031
2022-05,101.30464178
2022-06,102.79345026
2022-07,102.39655317
2022-08,103.15935383
2022-09,103.3514347
2022-10,99.97884569
2022-11,102.76183559
2022-12,102.75033364
2023-01,100.1807939
2023-02,100.81641098
2023-03,102.90704217
2023-04,100.39933198
2023-05,101.20600574
2023-06,102.33524313
2023-07,99.64635861
2023-08,100.15639619
2023-09,98.35740949
2023-10,101.35944363
2023-11,100.1200104
2023-12,102.70335047
2024-01,100.37137866
2024-02,100.00411294
2024-03,100.43516996
2024-04,100.77366796
2024-05,98.74053597
2024-06,99.75497865
2024-07,98.98918518
2024-08,100.89239455
2024-09,100.3381196
2024-10,99.75534428
2024-11,97.89258377
2024-12,99.79777218
2025-01,99.75658247
2025-02,101.95435158
2025-03,102.03977879
2025-04,102.85670022
2025-05,101.75489696
2025-06,100.87428038
2025-07,101.54101975
2025-08,100.89709018
2025-09,101.31501772
2025-10,101.74016414
2025-11,103.73058759
2025-12,104.79042111
2026-01,101.54355647
2026-02,102.95104828
2026-03,102.89845524
2026-04,104.35856979
2026-05,103.90611678
