label,code,Hodnota
2015,2015,100.0
leden 2015,2015-01,100.1
leden 2015,2015-01K,100.1
únor 2015,2015-02,100.0
leden - únor 2015,2015-02K,100.1
březen 2015,2015-03,100.5
leden - březen 2015,2015-03K,100.2
duben 2015,2015-04,100.9
leden - duben 2015,2015-04K,100.4
květen 2015,2015-05,101.3
leden - květen 2015,2015-05K,100.5
červen 2015,2015-06,101.1
leden - červen 2015,2015-06K,100.7
červenec 2015,2015-07,100.7
leden - červenec 2015,2015-07K,100.7
srpen 2015,2015-08,99.9
leden - srpen 2015,2015-08K,100.6
září 2015,2015-09,99.2
leden - září 2015,2015-09K,100.4
říjen 2015,2015-10,99.0
leden - říjen 2015,2015-10K,100.3
listopad 2015,2015-11,98.7
leden - listopad 2015,2015-11K,100.2
prosinec 2015,2015-12,98.2
leden - prosinec 2015,2015-12K,100.0
1. čtvrtletí 2015,2015-Q1,100.2
2. čtvrtletí 2015,2015-Q2,101.1
3. čtvrtletí 2015,2015-Q3,99.9
4. čtvrtletí 2015,2015-Q4,98.7
2016,2016,96.7
leden 2016,2016-01,96.6
leden 2016,2016-01K,96.6
únor 2016,2016-02,96.0
leden - únor 2016,2016-02K,96.4
březen 2016,2016-03,96.0
leden - březen 2016,2016-03K,96.2
duben 2016,2016-04,96.1
leden - duben 2016,2016-04K,96.2
květen 2016,2016-05,96.5
leden - květen 2016,2016-05K,96.3
červen 2016,2016-06,96.7
leden - červen 2016,2016-06K,96.4
červenec 2016,2016-07,96.7
leden - červenec 2016,2016-07K,96.4
srpen 2016,2016-08,96.6
leden - srpen 2016,2016-08K,96.4
září 2016,2016-09,96.8
leden - září 2016,2016-09K,96.5
říjen 2016,2016-10,97.3
leden - říjen 2016,2016-10K,96.6
listopad 2016,2016-11,97.4
leden - listopad 2016,2016-11K,96.6
prosinec 2016,2016-12,97.9
leden - prosinec 2016,2016-12K,96.7
1. čtvrtletí 2016,2016-Q1,96.2
2. čtvrtletí 2016,2016-Q2,96.5
3. čtvrtletí 2016,2016-Q3,96.7
4. čtvrtletí 2016,2016-Q4,97.5
2017,2017,98.5
leden 2017,2017-01,98.6
leden 2017,2017-01K,98.6
únor 2017,2017-02,99.0
leden - únor 2017,2017-02K,98.8
březen 2017,2017-03,98.9
leden - březen 2017,2017-03K,98.8
duben 2017,2017-04,99.2
leden - duben 2017,2017-04K,98.9
květen 2017,2017-05,98.7
leden - květen 2017,2017-05K,98.9
červen 2017,2017-06,98.0
leden - červen 2017,2017-06K,98.7
červenec 2017,2017-07,97.8
leden - červenec 2017,2017-07K,98.6
srpen 2017,2017-08,98.0
leden - srpen 2017,2017-08K,98.5
září 2017,2017-09,98.4
leden - září 2017,2017-09K,98.5
říjen 2017,2017-10,98.4
leden - říjen 2017,2017-10K,98.5
listopad 2017,2017-11,98.3
leden - listopad 2017,2017-11K,98.5
prosinec 2017,2017-12,98.6
leden - prosinec 2017,2017-12K,98.5
1. čtvrtletí 2017,2017-Q1,98.8
2. čtvrtletí 2017,2017-Q2,98.6
3. čtvrtletí 2017,2017-Q3,98.1
4. čtvrtletí 2017,2017-Q4,98.4
2018,2018,100.5
leden 2018,2018-01,99.1
leden 2018,2018-01K,99.1
únor 2018,2018-02,98.7
leden - únor 2018,2018-02K,98.9
březen 2018,2018-03,99.0
leden - březen 2018,2018-03K,98.9
duben 2018,2018-04,99.2
leden - duben 2018,2018-04K,99.0
květen 2018,2018-05,100.2
leden - květen 2018,2018-05K,99.2
červen 2018,2018-06,100.8
leden - červen 2018,2018-06K,99.5
červenec 2018,2018-07,101.1
leden - červenec 2018,2018-07K,99.7
srpen 2018,2018-08,101.2
leden - srpen 2018,2018-08K,99.9
září 2018,2018-09,101.5
leden - září 2018,2018-09K,100.1
říjen 2018,2018-10,102.2
leden - říjen 2018,2018-10K,100.3
listopad 2018,2018-11,102.1
leden - listopad 2018,2018-11K,100.5
prosinec 2018,2018-12,101.0
leden - prosinec 2018,2018-12K,100.5
1. čtvrtletí 2018,2018-Q1,98.9
2. čtvrtletí 2018,2018-Q2,100.1
3. čtvrtletí 2018,2018-Q3,101.3
4. čtvrtletí 2018,2018-Q4,101.8
2019,2019,103.1
leden 2019,2019-01,102.0
leden 2019,2019-01K,102.0
únor 2019,2019-02,102.3
leden - únor 2019,2019-02K,102.2
březen 2019,2019-03,102.8
leden - březen 2019,2019-03K,102.4
duben 2019,2019-04,103.5
leden - duben 2019,2019-04K,102.7
květen 2019,2019-05,104.0
leden - květen 2019,2019-05K,102.9
červen 2019,2019-06,103.3
leden - červen 2019,2019-06K,103.0
červenec 2019,2019-07,103.2
leden - červenec 2019,2019-07K,103.0
srpen 2019,2019-08,103.3
leden - srpen 2019,2019-08K,103.1
září 2019,2019-09,103.4
leden - září 2019,2019-09K,103.1
říjen 2019,2019-10,103.1
leden - říjen 2019,2019-10K,103.1
listopad 2019,2019-11,103.0
leden - listopad 2019,2019-11K,103.1
prosinec 2019,2019-12,103.1
leden - prosinec 2019,2019-12K,103.1
1. čtvrtletí 2019,2019-Q1,102.4
2. čtvrtletí 2019,2019-Q2,103.6
3. čtvrtletí 2019,2019-Q3,103.3
4. čtvrtletí 2019,2019-Q4,103.1
2020,2020,103.2
leden 2020,2020-01,104.4
leden 2020,2020-01K,104.4
únor 2020,2020-02,103.7
leden - únor 2020,2020-02K,104.1
březen 2020,2020-03,103.2
leden - březen 2020,2020-03K,103.8
duben 2020,2020-04,102.7
leden - duben 2020,2020-04K,103.5
květen 2020,2020-05,103.1
leden - květen 2020,2020-05K,103.4
červen 2020,2020-06,103.0
leden - červen 2020,2020-06K,103.4
červenec 2020,2020-07,103.1
leden - červenec 2020,2020-07K,103.3
srpen 2020,2020-08,102.8
leden - srpen 2020,2020-08K,103.3
září 2020,2020-09,103.0
leden - září 2020,2020-09K,103.2
říjen 2020,2020-10,103.4
leden - říjen 2020,2020-10K,103.2
listopad 2020,2020-11,102.9
leden - listopad 2020,2020-11K,103.2
prosinec 2020,2020-12,103.1
leden - prosinec 2020,2020-12K,103.2
1. čtvrtletí 2020,2020-Q1,103.8
2. čtvrtletí 2020,2020-Q2,102.9
3. čtvrtletí 2020,2020-Q3,103.0
4. čtvrtletí 2020,2020-Q4,103.1
2021,2021,110.6
leden 2021,2021-01,104.4
leden 2021,2021-01K,104.4
únor 2021,2021-02,105.1
leden - únor 2021,2021-02K,104.8
březen 2021,2021-03,106.6
leden - březen 2021,2021-03K,105.4
duben 2021,2021-04,107.4
leden - duben 2021,2021-04K,105.9
květen 2021,2021-05,108.4
leden - květen 2021,2021-05K,106.4
červen 2021,2021-06,109.3
leden - červen 2021,2021-06K,106.9
červenec 2021,2021-07,111.1
leden - červenec 2021,2021-07K,107.5
srpen 2021,2021-08,112.4
