target_month,actual,survey_mean,survey_median,release_dt
2018-01-31,0.3,0.2,0.2,20180215.0
2018-02-28,-0.2,0.2,0.2,20180315.0
2018-03-31,-0.1,0.1,0.2,20180413.0
2018-04-30,0.5,0.4,0.4,20180515.0
2018-05-31,0.2,0.3,0.3,20180614.0
2018-06-30,0.1,0.1,0.1,20180713.0
2018-07-31,-0.2,-0.1,-0.1,20180814.0
2018-08-31,0.0,-0.2,-0.1,20180913.0
2018-09-30,0.2,0.2,0.2,20181015.0
2018-10-31,0.4,0.4,0.4,20181114.0
2018-11-30,0.0,0.3,0.3,20181214.0
2018-12-31,0.0,0.1,0.1,20190115.0
2019-01-31,0.1,0.1,0.1,20190215.0
2019-02-28,0.4,0.1,0.1,20190315.0
2019-03-31,0.3,0.2,0.2,20190415.0
2019-04-30,1.1,0.6,0.6,20190515.0
2019-05-31,0.2,,,20190614.0
2019-06-30,0.3,0.1,0.2,20190715.0
2019-07-31,0.0,-0.1,-0.1,20190814.0
2019-08-31,0.0,-0.1,-0.1,20190913.0
2019-09-30,0.0,0.1,0.1,20191015.0
2019-10-31,0.2,0.3,0.3,20191114.0
2019-11-30,0.1,0.1,0.1,20191213.0
2019-12-31,0.8,0.3,0.3,20200115.0
2020-01-31,0.9,0.6,0.6,20200214.0
2020-02-29,0.7,0.3,0.3,20200313.0
2020-03-31,0.2,0.0,0.0,20200415.0
2020-04-30,-0.1,-0.2,-0.1,20200515.0
2020-05-31,-0.2,-0.2,-0.1,20200615.0
2020-06-30,0.6,0.2,0.3,20200715.0
2020-07-31,-0.2,-0.1,-0.1,20200814.0
2020-08-31,-0.1,0.0,0.0,20200915.0
2020-09-30,0.2,0.0,0.0,20201015.0
2020-10-31,0.1,0.2,0.2,20201113.0
2020-11-30,0.1,0.1,0.1,20201215.0
2020-12-31,0.1,0.3,0.3,20210115.0
2021-01-31,1.2,0.9,1.0,20210215.0
2021-02-28,0.5,0.6,0.6,20210315.0
2021-03-31,1.0,0.6,0.6,20210415.0
2021-04-30,0.8,0.5,0.5,20210514.0
2021-05-31,0.3,0.3,0.3,20210615.0
2021-06-30,0.1,0.3,0.3,20210715.0
2021-07-31,0.4,0.1,0.1,20210813.0
2021-08-31,0.3,0.1,0.1,20210915.0
2021-09-30,0.7,0.3,0.3,20211015.0
2021-10-31,1.1,0.6,0.6,20211115.0
2021-11-30,1.0,0.6,0.6,20211215.0
2021-12-31,0.9,0.5,0.6,20220114.0
2022-01-31,1.9,1.9,1.9,20220215.0
2022-02-28,-0.3,-0.3,-0.2,20220315.0
2022-03-31,3.3,2.2,2.5,20220415.0
2022-04-30,2.0,1.3,1.3,20220513.0
2022-05-31,1.7,1.4,1.5,20220615.0
2022-06-30,1.5,1.5,1.5,20220715.0
2022-07-31,0.5,0.5,0.5,20220812.0
2022-08-31,0.8,0.2,0.2,20220915.0
2022-09-30,1.6,1.0,0.9,20221014.0
2022-10-31,1.8,1.7,1.6,20221115.0
2022-11-30,0.7,1.1,1.1,20221215.0
2022-12-31,0.1,0.8,0.7,20230113.0
2023-01-31,2.4,2.8,2.8,20230215.0
2023-02-28,1.2,0.9,0.8,20230315.0
2023-03-31,1.1,1.0,1.1,20230414.0
2023-04-30,0.7,,,20230515.0
2023-05-31,0.0,0.3,0.3,20230615.0
2023-06-30,0.0,0.3,0.2,20230714.0
2023-07-31,-0.2,0.0,0.0,20230814.0
2023-08-31,0.0,0.0,0.0,20230915.0
2023-09-30,-0.4,0.1,0.1,20231013.0
2023-10-31,0.3,0.3,0.3,20231115.0
2023-11-30,0.7,0.6,0.7,20231215.0
2023-12-31,0.1,0.3,0.3,20240115.0
2024-01-31,0.4,0.5,0.5,20240215.0
2024-02-29,0.3,0.5,0.5,20240315.0
2024-03-31,0.2,0.4,0.4,20240415.0
2024-04-30,1.1,1.1,1.1,20240515.0
2024-05-31,0.1,0.5,0.5,20240614.0
2024-06-30,0.1,0.1,0.2,20240715.0
2024-07-31,1.4,1.4,1.4,20240814.0
2024-08-31,0.1,0.2,0.1,20240913.0
2024-09-30,0.1,0.1,0.1,20241015.0
2024-10-31,0.3,0.4,0.4,20241115.0
2024-11-30,0.5,0.4,0.4,20241213.0
2024-12-31,0.0,0.3,0.3,20250115.0
2025-01-31,1.0,0.7,0.7,20250214.0
2025-02-28,0.3,0.4,0.4,20250314.0
2025-03-31,0.2,0.3,0.3,20250415.0
2025-04-30,0.4,0.4,0.4,20250515.0
2025-05-31,-0.2,0.1,0.1,20250613.0
2025-06-30,0.1,0.1,0.1,20250715.0
2025-07-31,0.3,0.2,0.2,20250814.0
2025-08-31,0.0,0.0,0.0,20250915.0
2025-09-30,0.0,0.2,0.2,20251015.0
2025-10-31,0.1,0.3,0.3,20251114.0
2025-11-30,0.1,0.2,0.2,20251215.0
2025-12-31,0.0,0.1,0.1,20260115.0
2026-01-31,0.6,0.5,0.5,20260213.0
2026-02-28,0.3,0.3,0.3,20260313.0
2026-03-31,1.1,1.3,1.3,20260415.0
2026-04-30,0.6,,,20260515.0
2026-05-31,-0.3,0.2,0.2,20260615.0
2026-06-30,-0.5,-0.5,-0.5,20260715.0
2026-07-31,0.8,0.8,0.8,20260813.0
