date,ACTUAL_RELEASE
2025-01-31,1.3
2025-02-28,0.2
2025-03-31,0.1
2025-04-30,-0.1
2025-05-31,0.5
2025-06-30,0.3
2025-07-31,0.5
2025-08-31,0.1
2025-09-30,-0.6
2025-10-31,0.5
2025-11-30,-0.3
2025-12-31,-0.3
2026-01-31,0.9
2026-02-28,-0.1
2026-03-31,0.6
2026-04-30,0.5
2026-05-31,0.1
2026-06-30,-0.3
2026-07-31,0.6
