origin,h,target,as_of_utc,model,mm_forecast,mm_actual,yy_actual,yy_exante,cumulative_log_forecast,cumulative_log_actual
2019-02,1,2019-03,2019-03-10T22:59:00+00:00,MONTHLY_DOMESTIC_CORE_R17,0.07003924875200085,0.1863932898415576,2.969348659003822,2.9842584932249903,0.07001473271673553,0.18621979310646208
2019-02,2,2019-04,2019-03-10T22:59:00+00:00,MONTHLY_DOMESTIC_CORE_R17,0.3232374067454176,0.0930232558139509,2.769818529130847,3.0211044831736533,0.3927308503886783,0.2791998091031148
2019-02,3,2019-05,2019-03-10T22:59:00+00:00,MONTHLY_DOMESTIC_CORE_R17,0.22740446026967787,0.6505576208178487,2.9467680608364977,2.7646215647029275,0.61987713803889,0.9276504370292084
2019-02,4,2019-06,2019-03-10T22:59:00+00:00,MONTHLY_DOMESTIC_CORE_R17,0.172390143812543,0.1846722068328699,2.7462121212121224,2.55184666768399,0.7921188605942782,1.112152334386138
2019-02,5,2019-07,2019-03-10T22:59:00+00:00,MONTHLY_DOMESTIC_CORE_R17,0.33460779222565273,0.3686635944700533,2.9300567107750517,2.7004846440613033,1.1261680866040786,1.4801380302261997
2019-02,6,2019-08,2019-03-10T22:59:00+00:00,MONTHLY_DOMESTIC_CORE_R17,0.02926412405521292,0.0918273645546419,2.9272898961284195,2.633531922273671,1.1554279295497072,1.571923259249096
2019-02,7,2019-09,2019-03-10T22:59:00+00:00,MONTHLY_DOMESTIC_CORE_R17,-0.11953698326955138,-0.5504587155963248,2.6515151515151705,2.802070891249875,1.0358194438413912,1.019943936889315
2019-02,8,2019-10,2019-03-10T22:59:00+00:00,MONTHLY_DOMESTIC_CORE_R17,0.35530905921029676,0.4612546125461358,2.735849056603792,2.778025260438182,1.3904987716349193,1.4801380302262204
2019-02,9,2019-11,2019-03-10T22:59:00+00:00,MONTHLY_DOMESTIC_CORE_R17,0.0849101649004479,0.2754820936639035,3.116147308781873,2.962428617788794,1.4753729082478602,1.7552413674152
2019-02,10,2019-12,2019-03-10T22:59:00+00:00,MONTHLY_DOMESTIC_CORE_R17,0.1084946820279338,0.1831501831501825,3.207547169811327,2.9768976250831436,1.5838087773310865,1.938224035122816
2019-02,11,2020-01,2019-03-10T22:59:00+00:00,MONTHLY_DOMESTIC_CORE_R17,0.8609590816606921,1.4625228519195457,3.6414565826330487,2.7967280782732593,2.441082742746073,3.3901551675681305
2019-02,12,2020-02,2019-03-10T22:59:00+00:00,MONTHLY_DOMESTIC_CORE_R17,0.3134249880767513,0.2702702702702675,3.7278657968313063,2.7922911888748123,2.754017578613018,3.660060864484629
2019-02,0,2019-02,2019-03-10T22:59:00+00:00,MONTHLY_IMPORTED_CORE_R17,0.3177548805881821,0.1867413632119507,2.6794258373205744,2.8136990211578414,0.0,0.0
2019-02,1,2019-03,2019-03-10T22:59:00+00:00,MONTHLY_IMPORTED_CORE_R17,0.0715296176907132,0.1863932898415576,2.969348659003822,2.9857922643835404,0.07150404745248085,0.18621979310646208
2019-02,2,2019-04,2019-03-10T22:59:00+00:00,MONTHLY_IMPORTED_CORE_R17,0.32475039490159097,0.0930232558139509,2.769818529130847,3.0241925012785784,0.3957282671221349,0.2791998091031148
2019-02,3,2019-05,2019-03-10T22:59:00+00:00,MONTHLY_IMPORTED_CORE_R17,0.23063363462718878,0.6505576208178487,2.9467680608364977,2.771012913703511,0.6260963506040124,0.9276504370292084
2019-02,4,2019-06,2019-03-10T22:59:00+00:00,MONTHLY_IMPORTED_CORE_R17,0.17329054753936085,0.1846722068328699,2.7462121212121224,2.5591466322514025,0.7992369233105161,1.112152334386138
2019-02,5,2019-07,2019-03-10T22:59:00+00:00,MONTHLY_IMPORTED_CORE_R17,0.3484892484594692,0.3686635944700533,2.9300567107750517,2.722004979721042,1.1471203550512972,1.4801380302261997
2019-02,6,2019-08,2019-03-10T22:59:00+00:00,MONTHLY_IMPORTED_CORE_R17,0.02926412405521292,0.0918273645546419,2.9272898961284195,2.655038228349702,1.1763801979969255,1.571923259249096
2019-02,7,2019-09,2019-03-10T22:59:00+00:00,MONTHLY_IMPORTED_CORE_R17,-0.11953698326955138,-0.5504587155963248,2.6515151515151705,2.8236125137627917,1.0567717122886096,1.019943936889315
2019-02,8,2019-10,2019-03-10T22:59:00+00:00,MONTHLY_IMPORTED_CORE_R17,0.35530905921029676,0.4612546125461358,2.735849056603792,2.799561844318146,1.4114510400821376,1.4801380302262204
2019-02,9,2019-11,2019-03-10T22:59:00+00:00,MONTHLY_IMPORTED_CORE_R17,0.0849101649004479,0.2754820936639035,3.116147308781873,2.98400384240313,1.4963251766950783,1.7552413674152
2019-02,10,2019-12,2019-03-10T22:59:00+00:00,MONTHLY_IMPORTED_CORE_R17,0.1084946820279338,0.1831501831501825,3.207547169811327,2.9984758816003447,1.6047610457783048,1.938224035122816
2019-02,11,2020-01,2019-03-10T22:59:00+00:00,MONTHLY_IMPORTED_CORE_R17,0.8609590816606921,1.4625228519195457,3.6414565826330487,2.8182685812283763,2.4620350111932914,3.3901551675681305
2019-02,12,2020-02,2019-03-10T22:59:00+00:00,MONTHLY_IMPORTED_CORE_R17,0.3134249880767513,0.2702702702702675,3.7278657968313063,2.813830762103556,2.7749698470602366,3.660060864484629
2019-02,0,2019-02,2019-03-10T22:59:00+00:00,MONTHLY_BOTH_CORE_R17,0.3177548805881821,0.1867413632119507,2.6794258373205744,2.8136990211578414,0.0,0.0
2019-02,1,2019-03,2019-03-10T22:59:00+00:00,MONTHLY_BOTH_CORE_R17,0.0698004601237042,0.1863932898415576,2.969348659003822,2.984012750643032,0.06977611093244299,0.18621979310646208
2019-02,2,2019-04,2019-03-10T22:59:00+00:00,MONTHLY_BOTH_CORE_R17,0.3248491678271972,0.0930232558139509,2.769818529130847,3.022513752872144,0.3940987837520874,0.2791998091031148
2019-02,3,2019-05,2019-03-10T22:59:00+00:00,MONTHLY_BOTH_CORE_R17,0.22884799579698703,0.6505576208178487,2.9467680608364977,2.7675074241668995,0.622685321341772,0.9276504370292084
2019-02,4,2019-06,2019-03-10T22:59:00+00:00,MONTHLY_BOTH_CORE_R17,0.17181073599769683,0.1846722068328699,2.7462121212121224,2.5541333644515882,0.7943486315325363,1.112152334386138
