component,scope,sample,h,horizon_label,metric,model,n_rows_total,n_unavailable_targets,n_intended,n_scored,n_missing_forecasts,n_fallback,rmse,mae,bias
core,primary_control_calendar,full,0,pooled_h1_12,mm,CORE_SPLIT_MONTHLY_R13,24,0,24,0,24,0,,,
core,primary_control_calendar,full,0,pooled_h1_12,mm,MONTHLY_AR_CORE_R17,24,0,24,24,0,0,0.28937887929118083,0.22503992672776588,0.0069912611309691135
core,primary_control_calendar,full,0,pooled_h1_12,mm,MONTHLY_BOTH_CORE_R17,24,0,24,24,0,0,0.2903006317338136,0.22469103987451322,0.004402873987901739
core,primary_control_calendar,full,0,pooled_h1_12,mm,MONTHLY_DOMESTIC_CORE_R17,24,0,24,24,0,0,0.2880377134990768,0.22348753639888197,0.0026654978367999563
core,primary_control_calendar,full,0,pooled_h1_12,mm,MONTHLY_IMPORTED_CORE_R17,24,0,24,24,0,0,0.28771801483148,0.22385524931059378,0.005564366087427479
core,primary_control_calendar,full,0,pooled_h1_12,mm,MONTHLY_OWN_CORE_R17,24,0,24,24,0,0,0.29057188429469927,0.22504217014995234,0.006219169598512504
core,primary_control_calendar,full,0,pooled_h1_12,mm,STATE_FAST_R15,24,0,24,24,0,0,0.298995077173715,0.24010095981957336,0.01875513817844098
core,primary_control_calendar,full,0,pooled_h1_12,mm,TRANSMISSION_BOTH_R16,24,0,24,24,0,0,0.29545667715925156,0.23783571939256473,0.025628918542731388
core,common,full,0,pooled_h1_12,mm,CORE_SPLIT_MONTHLY_R13,24,0,0,0,0,0,,,
core,common,full,0,pooled_h1_12,mm,MONTHLY_AR_CORE_R17,24,0,0,0,0,0,,,
core,common,full,0,pooled_h1_12,mm,MONTHLY_BOTH_CORE_R17,24,0,0,0,0,0,,,
core,common,full,0,pooled_h1_12,mm,MONTHLY_DOMESTIC_CORE_R17,24,0,0,0,0,0,,,
core,common,full,0,pooled_h1_12,mm,MONTHLY_IMPORTED_CORE_R17,24,0,0,0,0,0,,,
core,common,full,0,pooled_h1_12,mm,MONTHLY_OWN_CORE_R17,24,0,0,0,0,0,,,
core,common,full,0,pooled_h1_12,mm,STATE_FAST_R15,24,0,0,0,0,0,,,
core,common,full,0,pooled_h1_12,mm,TRANSMISSION_BOTH_R16,24,0,0,0,0,0,,,
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_log,CORE_SPLIT_MONTHLY_R13,24,0,24,0,24,0,,,
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_log,MONTHLY_AR_CORE_R17,24,0,24,24,0,0,0.41343942780337484,0.34520673800118606,0.2724545850195185
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_log,MONTHLY_BOTH_CORE_R17,24,0,24,24,0,0,0.3961839136599733,0.3292017980793028,0.24946730689539418
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_log,MONTHLY_DOMESTIC_CORE_R17,24,0,24,24,0,0,0.3902892582560124,0.3219460405742354,0.23602151822175257
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_log,MONTHLY_IMPORTED_CORE_R17,24,0,24,24,0,0,0.40806245364710764,0.33919683927439276,0.260734616355517
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_log,MONTHLY_OWN_CORE_R17,24,0,24,24,0,0,0.40416871099414436,0.33734661693531187,0.26349917719326704
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_log,STATE_FAST_R15,24,0,24,24,0,0,0.5019623586540464,0.4113265323853112,0.3310523476604012
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_log,TRANSMISSION_BOTH_R16,24,0,24,24,0,0,0.49639496724575655,0.4160798919601049,0.3557703831552588
core,common,full,0,pooled_h1_12,cumulative_log,CORE_SPLIT_MONTHLY_R13,24,0,0,0,0,0,,,
core,common,full,0,pooled_h1_12,cumulative_log,MONTHLY_AR_CORE_R17,24,0,0,0,0,0,,,
core,common,full,0,pooled_h1_12,cumulative_log,MONTHLY_BOTH_CORE_R17,24,0,0,0,0,0,,,
core,common,full,0,pooled_h1_12,cumulative_log,MONTHLY_DOMESTIC_CORE_R17,24,0,0,0,0,0,,,
core,common,full,0,pooled_h1_12,cumulative_log,MONTHLY_IMPORTED_CORE_R17,24,0,0,0,0,0,,,
core,common,full,0,pooled_h1_12,cumulative_log,MONTHLY_OWN_CORE_R17,24,0,0,0,0,0,,,
core,common,full,0,pooled_h1_12,cumulative_log,STATE_FAST_R15,24,0,0,0,0,0,,,
core,common,full,0,pooled_h1_12,cumulative_log,TRANSMISSION_BOTH_R16,24,0,0,0,0,0,,,
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_pct,CORE_SPLIT_MONTHLY_R13,24,0,24,0,24,0,,,
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_pct,MONTHLY_AR_CORE_R17,24,0,24,24,0,0,0.4204283099177559,0.3508866680809799,0.276430050643641
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_pct,MONTHLY_BOTH_CORE_R17,24,0,24,24,0,0,0.4027933172059106,0.33454243598241057,0.2529401015640808
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_pct,MONTHLY_DOMESTIC_CORE_R17,24,0,24,24,0,0,0.3968108442911444,0.32715121832374744,0.23919556242083087
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_pct,MONTHLY_IMPORTED_CORE_R17,24,0,24,24,0,0,0.41496234544285876,0.3447661828980002,0.2644536990402187
core,primary_control_calendar,full,0,pooled_h1_12,cumulative_pct,MONTHLY_OWN_CORE_R17,24,0,24,24,0,0,0.41095325161275165,0.34285963396996505,0.2672945322732391
